,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00000
ou_tuple                                     [-0.02, 0.0]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451614,,False,1,2f9c0_00000,2025-04-23_19-40-14,40.60668420791626,40.60668420791626,2622480,node08,10.0.0.8,40.60668420791626,1,"(-0.02, 0.0)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00000,2f9c0_00000
1,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00001
ou_tuple                        [-0.02, 0.00078947368421]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451639,,False,1,2f9c0_00001,2025-04-23_19-40-39,65.56010007858276,65.56010007858276,2622498,node08,10.0.0.8,65.56010007858276,1,"(-0.02, 0.0007894736842105)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00001,2f9c0_00001
2,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00002
ou_tuple                   [-0.02, 0.0015789473684210001]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451611,,False,1,2f9c0_00002,2025-04-23_19-40-11,37.894017934799194,37.894017934799194,2622515,node08,10.0.0.8,37.894017934799194,1,"(-0.02, 0.001578947368421)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00002,2f9c0_00002
3,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00003
ou_tuple                       [-0.02, 0.002368421052631]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451610,,False,1,2f9c0_00003,2025-04-23_19-40-10,37.0032844543457,37.0032844543457,2622532,node08,10.0.0.8,37.0032844543457,1,"(-0.02, 0.0023684210526315)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00003,2f9c0_00003
4,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00004
ou_tuple                   [-0.02, 0.0031578947368420002]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451611,,False,1,2f9c0_00004,2025-04-23_19-40-11,37.49089074134827,37.49089074134827,2622566,node08,10.0.0.8,37.49089074134827,1,"(-0.02, 0.0031578947368421)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00004,2f9c0_00004
5,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00005
ou_tuple                       [-0.02, 0.003947368421052]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451644,,False,1,2f9c0_00005,2025-04-23_19-40-44,70.49060082435608,70.49060082435608,2622565,node08,10.0.0.8,70.49060082435608,1,"(-0.02, 0.0039473684210526)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00005,2f9c0_00005
6,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00006
ou_tuple                       [-0.02, 0.004736842105263]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451626,,False,1,2f9c0_00006,2025-04-23_19-40-26,52.68557024002075,52.68557024002075,2622599,node08,10.0.0.8,52.68557024002075,1,"(-0.02, 0.0047368421052631)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00006,2f9c0_00006
7,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00007
ou_tuple                       [-0.02, 0.005526315789473]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451613,,False,1,2f9c0_00007,2025-04-23_19-40-13,39.87574529647827,39.87574529647827,2622600,node08,10.0.0.8,39.87574529647827,1,"(-0.02, 0.0055263157894736)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00007,2f9c0_00007
8,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00008
ou_tuple                   [-0.02, 0.0063157894736840005]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451609,,False,1,2f9c0_00008,2025-04-23_19-40-09,35.70880913734436,35.70880913734436,2622617,node08,10.0.0.8,35.70880913734436,1,"(-0.02, 0.0063157894736842)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00008,2f9c0_00008
9,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00009
ou_tuple                   [-0.02, 0.0071052631578940005]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451610,,False,1,2f9c0_00009,2025-04-23_19-40-10,36.5874137878418,36.5874137878418,2622634,node08,10.0.0.8,36.5874137878418,1,"(-0.02, 0.0071052631578947)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00009,2f9c0_00009
10,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00010
ou_tuple                    [-0.02, 0.007894736842105001]
ITS4                                                  0.0
loss                                                  700
dtype: object",700,1745451613,,False,1,2f9c0_00010,2025-04-23_19-40-13,40.034424781799316,40.034424781799316,2622667,node08,10.0.0.8,40.034424781799316,1,"(-0.02, 0.0078947368421052)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00010,2f9c0_00010
11,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00011
ou_tuple                    [-0.02, 0.008684210526315001]
ITS4                                             0.003584
loss                                                  700
dtype: object",700,1745451643,,False,1,2f9c0_00011,2025-04-23_19-40-43,70.16679000854492,70.16679000854492,2622668,node08,10.0.0.8,70.16679000854492,1,"(-0.02, 0.0086842105263157)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00011,2f9c0_00011
12,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00012
ou_tuple                       [-0.02, 0.009473684210526]
ITS4                                             0.008363
loss                                                  700
dtype: object",700,1745451610,,False,1,2f9c0_00012,2025-04-23_19-40-10,36.48258018493652,36.48258018493652,2622729,node08,10.0.0.8,36.48258018493652,1,"(-0.02, 0.0094736842105263)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00012,2f9c0_00012
13,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00013
ou_tuple                       [-0.02, 0.010263157894736]
ITS4                                             0.017921
loss                                                  700
dtype: object",700,1745451614,,False,1,2f9c0_00013,2025-04-23_19-40-14,40.38859748840332,40.38859748840332,2622734,node08,10.0.0.8,40.38859748840332,1,"(-0.02, 0.0102631578947368)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00013,2f9c0_00013
14,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00014
ou_tuple                    [-0.02, 0.011052631578947002]
ITS4                                             0.035842
loss                                                  700
dtype: object",700,1745451621,,False,1,2f9c0_00014,2025-04-23_19-40-21,47.28555917739868,47.28555917739868,2622735,node08,10.0.0.8,47.28555917739868,1,"(-0.02, 0.0110526315789473)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00014,2f9c0_00014
15,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_med
simLabel              batch_i_ougrid_its4_20x20_med_00015
ou_tuple                    [-0.02, 0.011842105263157002]
ITS4                                             0.062127
loss                                                  700
dtype: object",700,1745451613,,False,1,2f9c0_00015,2025-04-23_19-40-13,40.03203463554382,40.03203463554382,2622736,node08,10.0.0.8,40.03203463554382,1,"(-0.02, 0.0118421052631578)",./exp_results/batch_i_ougrid_its4_20x20_med,batch_i_ougrid_its4_20x20_med_00015,2f9c0_00015
