,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2
simLabel              batch_i_ougrid_its4_20x20_tau_2_00000
ou_tuple                                       [-0.02, 0.0]
ITS4                                                    0.0
loss                                                    700
dtype: object",700,1745482574,,False,1,46a2e_00000,2025-04-24_04-16-14,36.966001987457275,36.966001987457275,2881705,node08,10.0.0.8,36.966001987457275,1,"(-0.02, 0.0)",./exp_results/batch_i_ougrid_its4_20x20_tau_2,batch_i_ougrid_its4_20x20_tau_2_00000,46a2e_00000
1,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2
simLabel              batch_i_ougrid_its4_20x20_tau_2_00001
ou_tuple                          [-0.02, 0.00078947368421]
ITS4                                                    0.0
loss                                                    700
dtype: object",700,1745482568,,False,1,46a2e_00001,2025-04-24_04-16-08,31.29298448562622,31.29298448562622,2881707,node08,10.0.0.8,31.29298448562622,1,"(-0.02, 0.0007894736842105)",./exp_results/batch_i_ougrid_its4_20x20_tau_2,batch_i_ougrid_its4_20x20_tau_2_00001,46a2e_00001
2,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2
simLabel              batch_i_ougrid_its4_20x20_tau_2_00002
ou_tuple                     [-0.02, 0.0015789473684210001]
ITS4                                                    0.0
loss                                                    700
dtype: object",700,1745482576,,False,1,46a2e_00002,2025-04-24_04-16-16,39.32925224304199,39.32925224304199,2881728,node08,10.0.0.8,39.32925224304199,1,"(-0.02, 0.001578947368421)",./exp_results/batch_i_ougrid_its4_20x20_tau_2,batch_i_ougrid_its4_20x20_tau_2_00002,46a2e_00002
3,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2
simLabel              batch_i_ougrid_its4_20x20_tau_2_00003
ou_tuple                         [-0.02, 0.002368421052631]
ITS4                                                    0.0
loss                                                    700
dtype: object",700,1745482576,,False,1,46a2e_00003,2025-04-24_04-16-16,39.03495121002197,39.03495121002197,2881766,node08,10.0.0.8,39.03495121002197,1,"(-0.02, 0.0023684210526315)",./exp_results/batch_i_ougrid_its4_20x20_tau_2,batch_i_ougrid_its4_20x20_tau_2_00003,46a2e_00003
4,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2
simLabel              batch_i_ougrid_its4_20x20_tau_2_00004
ou_tuple                     [-0.02, 0.0031578947368420002]
ITS4                                                    0.0
loss                                                    700
dtype: object",700,1745482576,,False,1,46a2e_00004,2025-04-24_04-16-16,38.88127684593201,38.88127684593201,2881768,node08,10.0.0.8,38.88127684593201,1,"(-0.02, 0.0031578947368421)",./exp_results/batch_i_ougrid_its4_20x20_tau_2,batch_i_ougrid_its4_20x20_tau_2_00004,46a2e_00004
5,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2
simLabel              batch_i_ougrid_its4_20x20_tau_2_00005
ou_tuple                         [-0.02, 0.003947368421052]
ITS4                                                    0.0
loss                                                    700
dtype: object",700,1745482574,,False,1,46a2e_00005,2025-04-24_04-16-14,36.58883452415466,36.58883452415466,2881788,node08,10.0.0.8,36.58883452415466,1,"(-0.02, 0.0039473684210526)",./exp_results/batch_i_ougrid_its4_20x20_tau_2,batch_i_ougrid_its4_20x20_tau_2_00005,46a2e_00005
6,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2
simLabel              batch_i_ougrid_its4_20x20_tau_2_00006
ou_tuple                         [-0.02, 0.004736842105263]
ITS4                                                    0.0
loss                                                    700
dtype: object",700,1745482572,,False,1,46a2e_00006,2025-04-24_04-16-12,34.492302894592285,34.492302894592285,2881843,node08,10.0.0.8,34.492302894592285,1,"(-0.02, 0.0047368421052631)",./exp_results/batch_i_ougrid_its4_20x20_tau_2,batch_i_ougrid_its4_20x20_tau_2_00006,46a2e_00006
7,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2
simLabel              batch_i_ougrid_its4_20x20_tau_2_00007
ou_tuple                         [-0.02, 0.005526315789473]
ITS4                                                    0.0
loss                                                    700
dtype: object",700,1745482569,,False,1,46a2e_00007,2025-04-24_04-16-09,32.45241665840149,32.45241665840149,2881845,node08,10.0.0.8,32.45241665840149,1,"(-0.02, 0.0055263157894736)",./exp_results/batch_i_ougrid_its4_20x20_tau_2,batch_i_ougrid_its4_20x20_tau_2_00007,46a2e_00007
8,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2
simLabel              batch_i_ougrid_its4_20x20_tau_2_00008
ou_tuple                     [-0.02, 0.0063157894736840005]
ITS4                                                    0.0
loss                                                    700
dtype: object",700,1745482574,,False,1,46a2e_00008,2025-04-24_04-16-14,37.301910400390625,37.301910400390625,2881863,node08,10.0.0.8,37.301910400390625,1,"(-0.02, 0.0063157894736842)",./exp_results/batch_i_ougrid_its4_20x20_tau_2,batch_i_ougrid_its4_20x20_tau_2_00008,46a2e_00008
9,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2
simLabel              batch_i_ougrid_its4_20x20_tau_2_00009
ou_tuple                     [-0.02, 0.0071052631578940005]
ITS4                                                    0.0
loss                                                    700
dtype: object",700,1745482622,,False,1,46a2e_00009,2025-04-24_04-17-02,85.0453097820282,85.0453097820282,2881865,node08,10.0.0.8,85.0453097820282,1,"(-0.02, 0.0071052631578947)",./exp_results/batch_i_ougrid_its4_20x20_tau_2,batch_i_ougrid_its4_20x20_tau_2_00009,46a2e_00009
