,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel      batch_i_ougrid_its4_20x20_tau_2_10sec_small_00000
ou_tuple                                          [-0.001, 0.0]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745934980,,False,1,2ed7b_00000,2025-04-29_09-56-20,216.6280336380005,216.6280336380005,38201,node08,10.0.0.8,216.6280336380005,1,"(-0.001, 0.0)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_10sec_small,batch_i_ougrid_its4_20x20_tau_2_10sec_small_00000,2ed7b_00000
1,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel      batch_i_ougrid_its4_20x20_tau_2_10sec_small_00001
ou_tuple                            [-0.001, 0.000394736842105]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745934981,,False,1,2ed7b_00001,2025-04-29_09-56-21,217.6117458343506,217.6117458343506,38222,node08,10.0.0.8,217.6117458343506,1,"(-0.001, 0.0003947368421052)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_10sec_small,batch_i_ougrid_its4_20x20_tau_2_10sec_small_00001,2ed7b_00001
2,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel      batch_i_ougrid_its4_20x20_tau_2_10sec_small_00002
ou_tuple                             [-0.001, 0.00078947368421]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745934971,,False,1,2ed7b_00002,2025-04-29_09-56-11,206.7779712677002,206.7779712677002,38243,node08,10.0.0.8,206.7779712677002,1,"(-0.001, 0.0007894736842105)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_10sec_small,batch_i_ougrid_its4_20x20_tau_2_10sec_small_00002,2ed7b_00002
3,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel      batch_i_ougrid_its4_20x20_tau_2_10sec_small_00003
ou_tuple                            [-0.001, 0.001184210526315]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745934937,,False,1,2ed7b_00003,2025-04-29_09-55-37,173.94724655151367,173.94724655151367,38263,node08,10.0.0.8,173.94724655151367,1,"(-0.001, 0.0011842105263157)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_10sec_small,batch_i_ougrid_its4_20x20_tau_2_10sec_small_00003,2ed7b_00003
4,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel      batch_i_ougrid_its4_20x20_tau_2_10sec_small_00004
ou_tuple                        [-0.001, 0.0015789473684210001]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745934959,,False,1,2ed7b_00004,2025-04-29_09-55-59,195.1408224105835,195.1408224105835,38299,node08,10.0.0.8,195.1408224105835,1,"(-0.001, 0.001578947368421)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_10sec_small,batch_i_ougrid_its4_20x20_tau_2_10sec_small_00004,2ed7b_00004
5,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel      batch_i_ougrid_its4_20x20_tau_2_10sec_small_00005
ou_tuple                            [-0.001, 0.001973684210526]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745934982,,False,1,2ed7b_00005,2025-04-29_09-56-22,218.2082588672638,218.2082588672638,38300,node08,10.0.0.8,218.2082588672638,1,"(-0.001, 0.0019736842105263)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_10sec_small,batch_i_ougrid_its4_20x20_tau_2_10sec_small_00005,2ed7b_00005
6,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel      batch_i_ougrid_its4_20x20_tau_2_10sec_small_00006
ou_tuple                            [-0.001, 0.002368421052631]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745934970,,False,1,2ed7b_00006,2025-04-29_09-56-10,206.51775646209717,206.51775646209717,39096,node08,10.0.0.8,206.51775646209717,1,"(-0.001, 0.0023684210526315)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_10sec_small,batch_i_ougrid_its4_20x20_tau_2_10sec_small_00006,2ed7b_00006
7,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel      batch_i_ougrid_its4_20x20_tau_2_10sec_small_00007
ou_tuple                            [-0.001, 0.002763157894736]
ITS4                                                   0.021505
loss                                                        700
dtype: object",700,1745934960,,False,1,2ed7b_00007,2025-04-29_09-56-00,196.22619533538818,196.22619533538818,39107,node08,10.0.0.8,196.22619533538818,1,"(-0.001, 0.0027631578947368)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_10sec_small,batch_i_ougrid_its4_20x20_tau_2_10sec_small_00007,2ed7b_00007
8,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel      batch_i_ougrid_its4_20x20_tau_2_10sec_small_00008
ou_tuple                        [-0.001, 0.0031578947368420002]
ITS4                                                   0.096774
loss                                                        700
dtype: object",700,1745934983,,False,1,2ed7b_00008,2025-04-29_09-56-23,219.51854038238525,219.51854038238525,39109,node08,10.0.0.8,219.51854038238525,1,"(-0.001, 0.0031578947368421)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_10sec_small,batch_i_ougrid_its4_20x20_tau_2_10sec_small_00008,2ed7b_00008
9,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel      batch_i_ougrid_its4_20x20_tau_2_10sec_small_00009
ou_tuple                        [-0.001, 0.0035526315789470003]
ITS4                                                   0.243728
loss                                                        700
dtype: object",700,1745934960,,False,1,2ed7b_00009,2025-04-29_09-56-00,196.37185168266296,196.37185168266296,39116,node08,10.0.0.8,196.37185168266296,1,"(-0.001, 0.0035526315789473)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_10sec_small,batch_i_ougrid_its4_20x20_tau_2_10sec_small_00009,2ed7b_00009
