,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel             batch_i_ougrid_its4_20x20_tau_2_5sec_00000
ou_tuple                                           [-0.01, 0.0]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745593310,,False,1,ecb02_00000,2025-04-25_11-01-50,107.09441328048706,107.09441328048706,3260870,node08,10.0.0.8,107.09441328048706,1,"(-0.01, 0.0)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_5sec,batch_i_ougrid_its4_20x20_tau_2_5sec_00000,ecb02_00000
1,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel             batch_i_ougrid_its4_20x20_tau_2_5sec_00001
ou_tuple                             [-0.01, 0.000394736842105]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745593337,,False,1,ecb02_00001,2025-04-25_11-02-17,134.22299981117249,134.22299981117249,3260871,node08,10.0.0.8,134.22299981117249,1,"(-0.01, 0.0003947368421052)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_5sec,batch_i_ougrid_its4_20x20_tau_2_5sec_00001,ecb02_00001
2,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel             batch_i_ougrid_its4_20x20_tau_2_5sec_00002
ou_tuple                              [-0.01, 0.00078947368421]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745593313,,False,1,ecb02_00002,2025-04-25_11-01-53,110.23248505592346,110.23248505592346,3260891,node08,10.0.0.8,110.23248505592346,1,"(-0.01, 0.0007894736842105)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_5sec,batch_i_ougrid_its4_20x20_tau_2_5sec_00002,ecb02_00002
3,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel             batch_i_ougrid_its4_20x20_tau_2_5sec_00003
ou_tuple                             [-0.01, 0.001184210526315]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745593311,,False,1,ecb02_00003,2025-04-25_11-01-51,107.83729267120361,107.83729267120361,3260944,node08,10.0.0.8,107.83729267120361,1,"(-0.01, 0.0011842105263157)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_5sec,batch_i_ougrid_its4_20x20_tau_2_5sec_00003,ecb02_00003
4,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel             batch_i_ougrid_its4_20x20_tau_2_5sec_00004
ou_tuple                         [-0.01, 0.0015789473684210001]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745593314,,False,1,ecb02_00004,2025-04-25_11-01-54,110.83085489273071,110.83085489273071,3260942,node08,10.0.0.8,110.83085489273071,1,"(-0.01, 0.001578947368421)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_5sec,batch_i_ougrid_its4_20x20_tau_2_5sec_00004,ecb02_00004
5,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel             batch_i_ougrid_its4_20x20_tau_2_5sec_00005
ou_tuple                             [-0.01, 0.001973684210526]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745593325,,False,1,ecb02_00005,2025-04-25_11-02-05,122.66463947296143,122.66463947296143,3260943,node08,10.0.0.8,122.66463947296143,1,"(-0.01, 0.0019736842105263)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_5sec,batch_i_ougrid_its4_20x20_tau_2_5sec_00005,ecb02_00005
6,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel             batch_i_ougrid_its4_20x20_tau_2_5sec_00006
ou_tuple                             [-0.01, 0.002368421052631]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745593338,,False,1,ecb02_00006,2025-04-25_11-02-18,134.74962854385376,134.74962854385376,3260961,node08,10.0.0.8,134.74962854385376,1,"(-0.01, 0.0023684210526315)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_5sec,batch_i_ougrid_its4_20x20_tau_2_5sec_00006,ecb02_00006
7,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel             batch_i_ougrid_its4_20x20_tau_2_5sec_00007
ou_tuple                             [-0.01, 0.002763157894736]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745593322,,False,1,ecb02_00007,2025-04-25_11-02-02,119.42836785316467,119.42836785316467,3260962,node08,10.0.0.8,119.42836785316467,1,"(-0.01, 0.0027631578947368)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_5sec,batch_i_ougrid_its4_20x20_tau_2_5sec_00007,ecb02_00007
8,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel             batch_i_ougrid_its4_20x20_tau_2_5sec_00008
ou_tuple                         [-0.01, 0.0031578947368420002]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745593326,,False,1,ecb02_00008,2025-04-25_11-02-06,122.58583474159241,122.58583474159241,3260963,node08,10.0.0.8,122.58583474159241,1,"(-0.01, 0.0031578947368421)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_5sec,batch_i_ougrid_its4_20x20_tau_2_5sec_00008,ecb02_00008
9,"saveFolder    ./exp_results/batch_i_ougrid_its4_20x20_tau_2_...
simLabel             batch_i_ougrid_its4_20x20_tau_2_5sec_00009
ou_tuple                         [-0.01, 0.0035526315789470003]
ITS4                                                        0.0
loss                                                        700
dtype: object",700,1745593296,,False,1,ecb02_00009,2025-04-25_11-01-36,93.42244505882263,93.42244505882263,3260967,node08,10.0.0.8,93.42244505882263,1,"(-0.01, 0.0035526315789473)",./exp_results/batch_i_ougrid_its4_20x20_tau_2_5sec,batch_i_ougrid_its4_20x20_tau_2_5sec_00009,ecb02_00009
