,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel             batch_i_ougrid_pv4_20x20_tau_2_10sec_00000
ou_tuple                                           [0.002, 0.0]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746449378,,False,1,49320_00000,2025-05-05_08-49-38,32.85470676422119,32.85470676422119,595761,node08,10.0.0.8,32.85470676422119,1,"(0.002, 0.0)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec,batch_i_ougrid_pv4_20x20_tau_2_10sec_00000,49320_00000
1,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel             batch_i_ougrid_pv4_20x20_tau_2_10sec_00001
ou_tuple                              [0.002, 0.00078947368421]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746449371,,False,1,49320_00001,2025-05-05_08-49-31,26.122220516204834,26.122220516204834,595779,node08,10.0.0.8,26.122220516204834,1,"(0.002, 0.0007894736842105)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec,batch_i_ougrid_pv4_20x20_tau_2_10sec_00001,49320_00001
2,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel             batch_i_ougrid_pv4_20x20_tau_2_10sec_00002
ou_tuple                         [0.002, 0.0015789473684210001]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746449371,,False,1,49320_00002,2025-05-05_08-49-31,25.994021892547607,25.994021892547607,595814,node08,10.0.0.8,25.994021892547607,1,"(0.002, 0.001578947368421)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec,batch_i_ougrid_pv4_20x20_tau_2_10sec_00002,49320_00002
3,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel             batch_i_ougrid_pv4_20x20_tau_2_10sec_00003
ou_tuple                             [0.002, 0.002368421052631]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746449378,,False,1,49320_00003,2025-05-05_08-49-38,33.40657162666321,33.40657162666321,595817,node08,10.0.0.8,33.40657162666321,1,"(0.002, 0.0023684210526315)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec,batch_i_ougrid_pv4_20x20_tau_2_10sec_00003,49320_00003
4,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel             batch_i_ougrid_pv4_20x20_tau_2_10sec_00004
ou_tuple                         [0.002, 0.0031578947368420002]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746449371,,False,1,49320_00004,2025-05-05_08-49-31,26.326460123062134,26.326460123062134,595848,node08,10.0.0.8,26.326460123062134,1,"(0.002, 0.0031578947368421)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec,batch_i_ougrid_pv4_20x20_tau_2_10sec_00004,49320_00004
5,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel             batch_i_ougrid_pv4_20x20_tau_2_10sec_00005
ou_tuple                             [0.002, 0.003947368421052]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746449377,,False,1,49320_00005,2025-05-05_08-49-37,31.777911901474,31.777911901474,595858,node08,10.0.0.8,31.777911901474,1,"(0.002, 0.0039473684210526)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec,batch_i_ougrid_pv4_20x20_tau_2_10sec_00005,49320_00005
6,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel             batch_i_ougrid_pv4_20x20_tau_2_10sec_00006
ou_tuple                             [0.002, 0.004736842105263]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746449364,,False,1,49320_00006,2025-05-05_08-49-24,19.528839588165283,19.528839588165283,595901,node08,10.0.0.8,19.528839588165283,1,"(0.002, 0.0047368421052631)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec,batch_i_ougrid_pv4_20x20_tau_2_10sec_00006,49320_00006
7,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel             batch_i_ougrid_pv4_20x20_tau_2_10sec_00007
ou_tuple                             [0.002, 0.005526315789473]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746449378,,False,1,49320_00007,2025-05-05_08-49-38,32.9414324760437,32.9414324760437,595902,node08,10.0.0.8,32.9414324760437,1,"(0.002, 0.0055263157894736)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec,batch_i_ougrid_pv4_20x20_tau_2_10sec_00007,49320_00007
8,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel             batch_i_ougrid_pv4_20x20_tau_2_10sec_00008
ou_tuple                         [0.002, 0.0063157894736840005]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746449377,,False,1,49320_00008,2025-05-05_08-49-37,32.420254945755005,32.420254945755005,595904,node08,10.0.0.8,32.420254945755005,1,"(0.002, 0.0063157894736842)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec,batch_i_ougrid_pv4_20x20_tau_2_10sec_00008,49320_00008
9,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel             batch_i_ougrid_pv4_20x20_tau_2_10sec_00009
ou_tuple                         [0.002, 0.0071052631578940005]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746449378,,False,1,49320_00009,2025-05-05_08-49-38,33.08536100387573,33.08536100387573,595940,node08,10.0.0.8,33.08536100387573,1,"(0.002, 0.0071052631578947)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec,batch_i_ougrid_pv4_20x20_tau_2_10sec_00009,49320_00009
