,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_...
ou_tuple                                           [0.002, 0.0]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746544601,,False,1,03f94_00000,2025-05-06_11-16-41,23.76892876625061,23.76892876625061,1146066,node08,10.0.0.8,23.76892876625061,1,"(0.002, 0.0)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small,batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small_00000,03f94_00000
1,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_...
ou_tuple                         [0.002, 0.0021428571428570003]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746544605,,False,1,03f94_00001,2025-05-06_11-16-45,27.954528331756592,27.954528331756592,1146084,node08,10.0.0.8,27.954528331756592,1,"(0.002, 0.0021428571428571)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small,batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small_00001,03f94_00001
2,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_...
ou_tuple                         [0.002, 0.0042857142857140006]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746544602,,False,1,03f94_00002,2025-05-06_11-16-42,25.393829822540283,25.393829822540283,1146069,node08,10.0.0.8,25.393829822540283,1,"(0.002, 0.0042857142857142)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small,batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small_00002,03f94_00002
3,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_...
ou_tuple                          [0.002, 0.006428571428571001]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746544605,,False,1,03f94_00003,2025-05-06_11-16-45,28.114978075027466,28.114978075027466,1146117,node08,10.0.0.8,28.114978075027466,1,"(0.002, 0.0064285714285714)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small,batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small_00003,03f94_00003
4,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_...
ou_tuple                          [0.002, 0.008571428571428001]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746544602,,False,1,03f94_00004,2025-05-06_11-16-42,24.736379623413086,24.736379623413086,1146118,node08,10.0.0.8,24.736379623413086,1,"(0.002, 0.0085714285714285)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small,batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small_00004,03f94_00004
5,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_...
ou_tuple                          [0.002, 0.010714285714285001]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746544606,,False,1,03f94_00005,2025-05-06_11-16-46,28.869118213653564,28.869118213653564,1146119,node08,10.0.0.8,28.869118213653564,1,"(0.002, 0.0107142857142857)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small,batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small_00005,03f94_00005
6,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_...
ou_tuple                          [0.002, 0.012857142857142002]
PV4                                                    0.010753
loss                                                        700
dtype: object",700,1746544605,,False,1,03f94_00006,2025-05-06_11-16-45,28.251890182495117,28.251890182495117,1146137,node08,10.0.0.8,28.251890182495117,1,"(0.002, 0.0128571428571428)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small,batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small_00006,03f94_00006
7,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_...
ou_tuple                                         [0.002, 0.015]
PV4                                                    0.043011
loss                                                        700
dtype: object",700,1746544605,,False,1,03f94_00007,2025-05-06_11-16-45,27.9339337348938,27.9339337348938,1146154,node08,10.0.0.8,27.9339337348938,1,"(0.002, 0.015)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small,batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small_00007,03f94_00007
8,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_...
ou_tuple                            [0.005285714285714001, 0.0]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746544602,,False,1,03f94_00008,2025-05-06_11-16-42,24.77780318260193,24.77780318260193,1146190,node08,10.0.0.8,24.77780318260193,1,"(0.0052857142857142, 0.0)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small,batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small_00008,03f94_00008
9,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_...
ou_tuple          [0.005285714285714001, 0.0021428571428570003]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746544605,,False,1,03f94_00009,2025-05-06_11-16-45,27.677672863006592,27.677672863006592,1146192,node08,10.0.0.8,27.677672863006592,1,"(0.0052857142857142, 0.0021428571428571)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small,batch_i_ougrid_pv4_20x20_tau_2_10sec_currents_small_00009,03f94_00009
