,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00000
ou_tuple                                           [0.002, 0.0]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746540841,,False,1,3efda_00000,2025-05-06_10-14-01,30.590015411376953,30.590015411376953,880270,node08,10.0.0.8,30.590015411376953,1,"(0.002, 0.0)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std,batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00000,3efda_00000
1,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00001
ou_tuple                         [0.002, 0.0015789473684210001]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746540835,,False,1,3efda_00001,2025-05-06_10-13-55,24.07525610923767,24.07525610923767,880271,node08,10.0.0.8,24.07525610923767,1,"(0.002, 0.001578947368421)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std,batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00001,3efda_00001
2,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00002
ou_tuple                         [0.002, 0.0031578947368420002]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746540839,,False,1,3efda_00002,2025-05-06_10-13-59,28.46633505821228,28.46633505821228,880272,node08,10.0.0.8,28.46633505821228,1,"(0.002, 0.0031578947368421)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std,batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00002,3efda_00002
3,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00003
ou_tuple                             [0.002, 0.004736842105263]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746540840,,False,1,3efda_00003,2025-05-06_10-14-00,28.990660667419434,28.990660667419434,880290,node08,10.0.0.8,28.990660667419434,1,"(0.002, 0.0047368421052631)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std,batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00003,3efda_00003
4,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00004
ou_tuple                         [0.002, 0.0063157894736840005]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746540840,,False,1,3efda_00004,2025-05-06_10-14-00,29.394832372665405,29.394832372665405,880328,node08,10.0.0.8,29.394832372665405,1,"(0.002, 0.0063157894736842)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std,batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00004,3efda_00004
5,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00005
ou_tuple                          [0.002, 0.007894736842105001]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746540839,,False,1,3efda_00005,2025-05-06_10-13-59,28.584553241729736,28.584553241729736,880331,node08,10.0.0.8,28.584553241729736,1,"(0.002, 0.0078947368421052)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std,batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00005,3efda_00005
6,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00006
ou_tuple                             [0.002, 0.009473684210526]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746540832,,False,1,3efda_00006,2025-05-06_10-13-52,20.95212173461914,20.95212173461914,880387,node08,10.0.0.8,20.95212173461914,1,"(0.002, 0.0094736842105263)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std,batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00006,3efda_00006
7,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00007
ou_tuple                          [0.002, 0.011052631578947002]
PV4                                                         0.0
loss                                                        700
dtype: object",700,1746540840,,False,1,3efda_00007,2025-05-06_10-14-00,28.8850736618042,28.8850736618042,880385,node08,10.0.0.8,28.8850736618042,1,"(0.002, 0.0110526315789473)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std,batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00007,3efda_00007
8,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00008
ou_tuple                          [0.002, 0.012631578947368001]
PV4                                                    0.010753
loss                                                        700
dtype: object",700,1746540841,,False,1,3efda_00008,2025-05-06_10-14-01,29.400829792022705,29.400829792022705,880389,node08,10.0.0.8,29.400829792022705,1,"(0.002, 0.0126315789473684)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std,batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00008,3efda_00008
9,"saveFolder    ./exp_results/batch_i_ougrid_pv4_20x20_tau_2_1...
simLabel      batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00009
ou_tuple                          [0.002, 0.014210526315789002]
PV4                                                    0.032258
loss                                                        700
dtype: object",700,1746540835,,False,1,3efda_00009,2025-05-06_10-13-55,23.688855171203613,23.688855171203613,880423,node08,10.0.0.8,23.688855171203613,1,"(0.002, 0.0142105263157894)",./exp_results/batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std,batch_i_ougrid_pv4_20x20_tau_2_10sec_hi_std_00009,3efda_00009
