,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_ct5a_20x20
simLabel              batch_ougrid_ct5a_20x20_00000
ou_tuple                               [-0.01, 0.0]
CT5A                                            0.0
loss                                            700
dtype: object",700,1745396516,,False,1,ebb00_00000,2025-04-23_04-21-56,31.00709366798401,31.00709366798401,2155860,node08,10.0.0.8,31.00709366798401,1,"(-0.01, 0.0)",./exp_results/batch_ougrid_ct5a_20x20,batch_ougrid_ct5a_20x20_00000,ebb00_00000
1,"saveFolder    ./exp_results/batch_ougrid_ct5a_20x20
simLabel              batch_ougrid_ct5a_20x20_00001
ou_tuple                 [-0.01, 0.001052631578947]
CT5A                                            0.0
loss                                            700
dtype: object",700,1745396539,,False,1,ebb00_00001,2025-04-23_04-22-19,54.05148649215698,54.05148649215698,2155880,node08,10.0.0.8,54.05148649215698,1,"(-0.01, 0.0010526315789473)",./exp_results/batch_ougrid_ct5a_20x20,batch_ougrid_ct5a_20x20_00001,ebb00_00001
2,"saveFolder    ./exp_results/batch_ougrid_ct5a_20x20
simLabel              batch_ougrid_ct5a_20x20_00002
ou_tuple                 [-0.01, 0.002105263157894]
CT5A                                            0.0
loss                                            700
dtype: object",700,1745396518,,False,1,ebb00_00002,2025-04-23_04-21-58,33.1506826877594,33.1506826877594,2155904,node08,10.0.0.8,33.1506826877594,1,"(-0.01, 0.0021052631578947)",./exp_results/batch_ougrid_ct5a_20x20,batch_ougrid_ct5a_20x20_00002,ebb00_00002
3,"saveFolder    ./exp_results/batch_ougrid_ct5a_20x20
simLabel              batch_ougrid_ct5a_20x20_00003
ou_tuple             [-0.01, 0.0031578947368420002]
CT5A                                            0.0
loss                                            700
dtype: object",700,1745396541,,False,1,ebb00_00003,2025-04-23_04-22-21,56.392696380615234,56.392696380615234,2155942,node08,10.0.0.8,56.392696380615234,1,"(-0.01, 0.0031578947368421)",./exp_results/batch_ougrid_ct5a_20x20,batch_ougrid_ct5a_20x20_00003,ebb00_00003
4,"saveFolder    ./exp_results/batch_ougrid_ct5a_20x20
simLabel              batch_ougrid_ct5a_20x20_00004
ou_tuple                 [-0.01, 0.004210526315789]
CT5A                                            0.0
loss                                            700
dtype: object",700,1745396511,,False,1,ebb00_00004,2025-04-23_04-21-51,26.5029513835907,26.5029513835907,2155943,node08,10.0.0.8,26.5029513835907,1,"(-0.01, 0.0042105263157894)",./exp_results/batch_ougrid_ct5a_20x20,batch_ougrid_ct5a_20x20_00004,ebb00_00004
5,"saveFolder    ./exp_results/batch_ougrid_ct5a_20x20
simLabel              batch_ougrid_ct5a_20x20_00005
ou_tuple              [-0.01, 0.005263157894736001]
CT5A                                            0.0
loss                                            700
dtype: object",700,1745396541,,False,1,ebb00_00005,2025-04-23_04-22-21,56.3609344959259,56.3609344959259,2155962,node08,10.0.0.8,56.3609344959259,1,"(-0.01, 0.0052631578947368)",./exp_results/batch_ougrid_ct5a_20x20,batch_ougrid_ct5a_20x20_00005,ebb00_00005
6,"saveFolder    ./exp_results/batch_ougrid_ct5a_20x20
simLabel              batch_ougrid_ct5a_20x20_00006
ou_tuple             [-0.01, 0.0063157894736840005]
CT5A                                            0.0
loss                                            700
dtype: object",700,1745396516,,False,1,ebb00_00006,2025-04-23_04-21-56,30.875983715057373,30.875983715057373,2155999,node08,10.0.0.8,30.875983715057373,1,"(-0.01, 0.0063157894736842)",./exp_results/batch_ougrid_ct5a_20x20,batch_ougrid_ct5a_20x20_00006,ebb00_00006
7,"saveFolder    ./exp_results/batch_ougrid_ct5a_20x20
simLabel              batch_ougrid_ct5a_20x20_00007
ou_tuple                 [-0.01, 0.007368421052631]
CT5A                                            0.0
loss                                            700
dtype: object",700,1745396545,,False,1,ebb00_00007,2025-04-23_04-22-25,60.413434982299805,60.413434982299805,2156051,node08,10.0.0.8,60.413434982299805,1,"(-0.01, 0.0073684210526315)",./exp_results/batch_ougrid_ct5a_20x20,batch_ougrid_ct5a_20x20_00007,ebb00_00007
8,"saveFolder    ./exp_results/batch_ougrid_ct5a_20x20
simLabel              batch_ougrid_ct5a_20x20_00008
ou_tuple                 [-0.01, 0.008421052631578]
CT5A                                            0.0
loss                                            700
dtype: object",700,1745396517,,False,1,ebb00_00008,2025-04-23_04-21-57,32.18182301521301,32.18182301521301,2156057,node08,10.0.0.8,32.18182301521301,1,"(-0.01, 0.0084210526315789)",./exp_results/batch_ougrid_ct5a_20x20,batch_ougrid_ct5a_20x20_00008,ebb00_00008
9,"saveFolder    ./exp_results/batch_ougrid_ct5a_20x20
simLabel              batch_ougrid_ct5a_20x20_00009
ou_tuple                 [-0.01, 0.009473684210526]
CT5A                                       0.002786
loss                                            700
dtype: object",700,1745396512,,False,1,ebb00_00009,2025-04-23_04-21-52,26.81196928024292,26.81196928024292,2156055,node08,10.0.0.8,26.81196928024292,1,"(-0.01, 0.0094736842105263)",./exp_results/batch_ougrid_ct5a_20x20,batch_ougrid_ct5a_20x20_00009,ebb00_00009
