,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_ire_4x4
simLabel              batch_ougrid_ire_4x4_00000
ou_tuple                            [-0.04, 0.0]
IRE                                          0.0
IREM                                         0.0
loss                                         700
dtype: object",700,1745355881,,False,1,5ce76_00000,2025-04-22_17-04-41,11.652252197265625,11.652252197265625,466671,node08,10.0.0.8,11.652252197265625,1,"(-0.04, 0.0)",./exp_results/batch_ougrid_ire_4x4,batch_ougrid_ire_4x4_00000,5ce76_00000
1,"saveFolder    ./exp_results/batch_ougrid_ire_4x4
simLabel              batch_ougrid_ire_4x4_00001
ou_tuple           [-0.04, 0.013333333333333001]
IRE                                     1.012903
IREM                                    1.141935
loss                                         700
dtype: object",700,1745355882,,False,1,5ce76_00001,2025-04-22_17-04-42,12.590456247329712,12.590456247329712,466672,node08,10.0.0.8,12.590456247329712,1,"(-0.04, 0.0133333333333333)",./exp_results/batch_ougrid_ire_4x4,batch_ougrid_ire_4x4_00001,5ce76_00001
2,"saveFolder    ./exp_results/batch_ougrid_ire_4x4
simLabel              batch_ougrid_ire_4x4_00002
ou_tuple           [-0.04, 0.026666666666666002]
IRE                                    23.529032
IREM                                   25.109677
loss                                         700
dtype: object",700,1745355884,,False,1,5ce76_00002,2025-04-22_17-04-44,14.790653944015503,14.790653944015503,466673,node08,10.0.0.8,14.790653944015503,1,"(-0.04, 0.0266666666666666)",./exp_results/batch_ougrid_ire_4x4,batch_ougrid_ire_4x4_00002,5ce76_00002
3,"saveFolder    ./exp_results/batch_ougrid_ire_4x4
simLabel              batch_ougrid_ire_4x4_00003
ou_tuple                           [-0.04, 0.04]
IRE                                    42.012903
IREM                                   43.670968
loss                                         700
dtype: object",700,1745355889,,False,1,5ce76_00003,2025-04-22_17-04-49,19.755372762680054,19.755372762680054,466674,node08,10.0.0.8,19.755372762680054,1,"(-0.04, 0.04)",./exp_results/batch_ougrid_ire_4x4,batch_ougrid_ire_4x4_00003,5ce76_00003
4,"saveFolder    ./exp_results/batch_ougrid_ire_4x4
simLabel              batch_ougrid_ire_4x4_00004
ou_tuple               [-0.016666666666666, 0.0]
IRE                                          0.0
IREM                                         0.0
loss                                         700
dtype: object",700,1745355884,,False,1,5ce76_00004,2025-04-22_17-04-44,14.093287467956543,14.093287467956543,466691,node08,10.0.0.8,14.093287467956543,1,"(-0.0166666666666666, 0.0)",./exp_results/batch_ougrid_ire_4x4,batch_ougrid_ire_4x4_00004,5ce76_00004
5,"saveFolder            ./exp_results/batch_ougrid_ire_4x4
simLabel                      batch_ougrid_ire_4x4_00005
ou_tuple      [-0.016666666666666, 0.013333333333333001]
IRE                                             22.76129
IREM                                           23.948387
loss                                                 700
dtype: object",700,1745355884,,False,1,5ce76_00005,2025-04-22_17-04-44,14.700587749481201,14.700587749481201,466708,node08,10.0.0.8,14.700587749481201,1,"(-0.0166666666666666, 0.0133333333333333)",./exp_results/batch_ougrid_ire_4x4,batch_ougrid_ire_4x4_00005,5ce76_00005
6,"saveFolder            ./exp_results/batch_ougrid_ire_4x4
simLabel                      batch_ougrid_ire_4x4_00006
ou_tuple      [-0.016666666666666, 0.026666666666666002]
IRE                                            50.290323
IREM                                           51.664516
loss                                                 700
dtype: object",700,1745355886,,False,1,5ce76_00006,2025-04-22_17-04-46,16.185177326202393,16.185177326202393,466725,node08,10.0.0.8,16.185177326202393,1,"(-0.0166666666666666, 0.0266666666666666)",./exp_results/batch_ougrid_ire_4x4,batch_ougrid_ire_4x4_00006,5ce76_00006
7,"saveFolder    ./exp_results/batch_ougrid_ire_4x4
simLabel              batch_ougrid_ire_4x4_00007
ou_tuple              [-0.016666666666666, 0.04]
IRE                                    75.890323
IREM                                   76.845161
loss                                         700
dtype: object",700,1745355884,,False,1,5ce76_00007,2025-04-22_17-04-44,14.960726976394653,14.960726976394653,466742,node08,10.0.0.8,14.960726976394653,1,"(-0.0166666666666666, 0.04)",./exp_results/batch_ougrid_ire_4x4,batch_ougrid_ire_4x4_00007,5ce76_00007
8,"saveFolder    ./exp_results/batch_ougrid_ire_4x4
simLabel              batch_ougrid_ire_4x4_00008
ou_tuple                [0.006666666666666, 0.0]
IRE                                         76.0
IREM                                        76.0
loss                                         700
dtype: object",700,1745355890,,False,1,5ce76_00008,2025-04-22_17-04-50,20.607823848724365,20.607823848724365,466775,node08,10.0.0.8,20.607823848724365,1,"(0.0066666666666666, 0.0)",./exp_results/batch_ougrid_ire_4x4,batch_ougrid_ire_4x4_00008,5ce76_00008
9,"saveFolder           ./exp_results/batch_ougrid_ire_4x4
simLabel                     batch_ougrid_ire_4x4_00009
ou_tuple      [0.006666666666666, 0.013333333333333001]
IRE                                           91.670968
IREM                                               91.6
loss                                                700
dtype: object",700,1745355891,,False,1,5ce76_00009,2025-04-22_17-04-51,21.266721963882446,21.266721963882446,466792,node08,10.0.0.8,21.266721963882446,1,"(0.0066666666666666, 0.0133333333333333)",./exp_results/batch_ougrid_ire_4x4,batch_ougrid_ire_4x4_00009,5ce76_00009
