,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00000
ou_tuple                                     [-0.04, 0.0]
IT2                                                   0.0
IT3                                                   0.0
loss                                                  700
dtype: object",700,1744994517,,False,1,d446d_00000,2025-04-18_12-41-57,2654.2178564071655,2654.2178564071655,2975637,node08,10.0.0.8,2654.2178564071655,1,"(-0.04, 0.0)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00000,d446d_00000
1,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00001
ou_tuple                    [-0.04, 0.005555555555555001]
IT2                                                   0.0
IT3                                                   0.0
loss                                                  700
dtype: object",700,1744992282,,False,1,d446d_00001,2025-04-18_12-04-42,418.62819504737854,418.62819504737854,2975639,node08,10.0.0.8,418.62819504737854,1,"(-0.04, 0.0055555555555555)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00001,d446d_00001
2,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00002
ou_tuple                       [-0.04, 0.011111111111111]
IT2                                                   0.0
IT3                                                   0.0
loss                                                  700
dtype: object",700,1744992394,,False,1,d446d_00002,2025-04-18_12-06-34,530.5299959182739,530.5299959182739,2975656,node08,10.0.0.8,530.5299959182739,1,"(-0.04, 0.0111111111111111)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00002,d446d_00002
3,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00003
ou_tuple                       [-0.04, 0.016666666666666]
IT2                                              0.002959
IT3                                              0.000224
loss                                                  700
dtype: object",700,1744993705,,False,1,d446d_00003,2025-04-18_12-28-25,1841.2322192192078,1841.2322192192078,2975673,node08,10.0.0.8,1841.2322192192078,1,"(-0.04, 0.0166666666666666)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00003,d446d_00003
4,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00004
ou_tuple                       [-0.04, 0.022222222222222]
IT2                                               0.06213
IT3                                              0.015916
loss                                                  700
dtype: object",700,1744992811,,False,1,d446d_00004,2025-04-18_12-13-31,947.4727268218994,947.4727268218994,2975706,node08,10.0.0.8,947.4727268218994,1,"(-0.04, 0.0222222222222222)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00004,d446d_00004
5,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00005
ou_tuple                    [-0.04, 0.027777777777777003]
IT2                                              0.449704
IT3                                              0.222372
loss                                                  700
dtype: object",700,1744995068,,False,1,d446d_00005,2025-04-18_12-51-08,3204.2980222702026,3204.2980222702026,2975707,node08,10.0.0.8,3204.2980222702026,1,"(-0.04, 0.0277777777777777)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00005,d446d_00005
6,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00006
ou_tuple                       [-0.04, 0.033333333333333]
IT2                                              1.467456
IT3                                              0.880744
loss                                                  700
dtype: object",700,1744994611,,False,1,d446d_00006,2025-04-18_12-43-31,2747.6823256015778,2747.6823256015778,2975724,node08,10.0.0.8,2747.6823256015778,1,"(-0.04, 0.0333333333333333)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00006,d446d_00006
7,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00007
ou_tuple                       [-0.04, 0.038888888888888]
IT2                                              2.940828
IT3                                              2.042591
loss                                                  700
dtype: object",700,1744993261,,False,1,d446d_00007,2025-04-18_12-21-01,1397.2762820720673,1397.2762820720673,2975741,node08,10.0.0.8,1397.2762820720673,1,"(-0.04, 0.0388888888888888)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00007,d446d_00007
8,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00008
ou_tuple                       [-0.04, 0.044444444444444]
IT2                                              4.671598
IT3                                              3.537323
loss                                                  700
dtype: object",700,1744993990,,False,1,d446d_00008,2025-04-18_12-33-10,2126.8721985816956,2126.8721985816956,2975774,node08,10.0.0.8,2126.8721985816956,1,"(-0.04, 0.0444444444444444)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00008,d446d_00008
9,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00009
ou_tuple                                    [-0.04, 0.05]
IT2                                              6.612426
IT3                                              5.191885
loss                                                  700
dtype: object",700,1744995065,,False,1,d446d_00009,2025-04-18_12-51-05,3201.992069005966,3201.992069005966,2975791,node08,10.0.0.8,3201.992069005966,1,"(-0.04, 0.05)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00009,d446d_00009
10,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00010
ou_tuple                     [-0.027777777777777003, 0.0]
IT2                                                   0.0
IT3                                                   0.0
loss                                                  700
dtype: object",700,1744994368,,False,1,d446d_00010,2025-04-18_12-39-28,2504.6077167987823,2504.6077167987823,2975792,node08,10.0.0.8,2504.6077167987823,1,"(-0.0277777777777777, 0.0)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00010,d446d_00010
11,"saveFolder      ./exp_results/batch_ougrid_it23_10x10_large
simLabel                batch_ougrid_it23_10x10_large_00011
ou_tuple      [-0.027777777777777003, 0.005555555555555001]
IT2                                                     0.0
IT3                                                     0.0
loss                                                    700
dtype: object",700,1744992920,,False,1,d446d_00011,2025-04-18_12-15-20,1056.367793083191,1056.367793083191,2975841,node08,10.0.0.8,1056.367793083191,1,"(-0.0277777777777777, 0.0055555555555555)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00011,d446d_00011
12,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00012
ou_tuple       [-0.027777777777777003, 0.011111111111111]
IT2                                                   0.0
IT3                                                   0.0
loss                                                  700
dtype: object",700,1744992691,,False,1,d446d_00012,2025-04-18_12-11-31,827.6491756439209,827.6491756439209,2975842,node08,10.0.0.8,827.6491756439209,1,"(-0.0277777777777777, 0.0111111111111111)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00012,d446d_00012
13,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00013
ou_tuple       [-0.027777777777777003, 0.016666666666666]
IT2                                              0.038462
IT3                                              0.005156
loss                                                  700
dtype: object",700,1744994153,,False,1,d446d_00013,2025-04-18_12-35-53,2289.17284655571,2289.17284655571,2975843,node08,10.0.0.8,2289.17284655571,1,"(-0.0277777777777777, 0.0166666666666666)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00013,d446d_00013
14,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00014
ou_tuple       [-0.027777777777777003, 0.022222222222222]
IT2                                               0.45858
IT3                                              0.201524
loss                                                  700
dtype: object",700,1744993450,,False,1,d446d_00014,2025-04-18_12-24-10,1586.720662355423,1586.720662355423,2975860,node08,10.0.0.8,1586.720662355423,1,"(-0.0277777777777777, 0.0222222222222222)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00014,d446d_00014
15,"saveFolder      ./exp_results/batch_ougrid_it23_10x10_large
simLabel                batch_ougrid_it23_10x10_large_00015
ou_tuple      [-0.027777777777777003, 0.027777777777777003]
IT2                                                1.692308
IT3                                                1.010312
loss                                                    700
dtype: object",700,1744993959,,False,1,d446d_00015,2025-04-18_12-32-39,2095.3102955818176,2095.3102955818176,2975877,node08,10.0.0.8,2095.3102955818176,1,"(-0.0277777777777777, 0.0277777777777777)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00015,d446d_00015
16,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00016
ou_tuple       [-0.027777777777777003, 0.033333333333333]
IT2                                              3.585799
IT3                                              2.475902
loss                                                  700
dtype: object",700,1744992390,,False,1,d446d_00016,2025-04-18_12-06-30,527.207013130188,527.207013130188,2975910,node08,10.0.0.8,527.207013130188,1,"(-0.0277777777777777, 0.0333333333333333)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00016,d446d_00016
17,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00017
ou_tuple       [-0.027777777777777003, 0.038888888888888]
IT2                                              5.816568
IT3                                              4.326833
loss                                                  700
dtype: object",700,1744993545,,False,1,d446d_00017,2025-04-18_12-25-45,1681.7962038516998,1681.7962038516998,2975911,node08,10.0.0.8,1681.7962038516998,1,"(-0.0277777777777777, 0.0388888888888888)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00017,d446d_00017
18,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00018
ou_tuple       [-0.027777777777777003, 0.044444444444444]
IT2                                               7.97929
IT3                                              6.231114
loss                                                  700
dtype: object",700,1744993120,,False,1,d446d_00018,2025-04-18_12-18-40,1256.9655871391296,1256.9655871391296,2975928,node08,10.0.0.8,1256.9655871391296,1,"(-0.0277777777777777, 0.0444444444444444)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00018,d446d_00018
19,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00019
ou_tuple                    [-0.027777777777777003, 0.05]
IT2                                             10.035503
IT3                                              8.050885
loss                                                  700
dtype: object",700,1744994806,,False,1,d446d_00019,2025-04-18_12-46-46,2942.7391843795776,2942.7391843795776,2975945,node08,10.0.0.8,2942.7391843795776,1,"(-0.0277777777777777, 0.05)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00019,d446d_00019
20,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00020
ou_tuple                     [-0.015555555555555002, 0.0]
IT2                                                   0.0
IT3                                                   0.0
loss                                                  700
dtype: object",700,1744995219,,False,1,d446d_00020,2025-04-18_12-53-39,2933.2774860858917,2933.2774860858917,2988700,node08,10.0.0.8,2933.2774860858917,1,"(-0.0155555555555555, 0.0)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00020,d446d_00020
21,"saveFolder      ./exp_results/batch_ougrid_it23_10x10_large
simLabel                batch_ougrid_it23_10x10_large_00021
ou_tuple      [-0.015555555555555002, 0.005555555555555001]
IT2                                                     0.0
IT3                                                     0.0
loss                                                    700
dtype: object",700,1744995592,,False,1,d446d_00021,2025-04-18_12-59-52,3197.4507977962494,3197.4507977962494,2989361,node08,10.0.0.8,3197.4507977962494,1,"(-0.0155555555555555, 0.0055555555555555)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00021,d446d_00021
22,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00022
ou_tuple       [-0.015555555555555002, 0.011111111111111]
IT2                                              0.014793
IT3                                              0.000448
loss                                                  700
dtype: object",700,1744995522,,False,1,d446d_00022,2025-04-18_12-58-42,3123.8576221466064,3123.8576221466064,2989439,node08,10.0.0.8,3123.8576221466064,1,"(-0.0155555555555555, 0.0111111111111111)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00022,d446d_00022
23,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00023
ou_tuple       [-0.015555555555555002, 0.016666666666666]
IT2                                              0.491124
IT3                                              0.187178
loss                                                  700
dtype: object",700,1744995633,,False,1,d446d_00023,2025-04-18_13-00-33,2938.3250875473022,2938.3250875473022,2990709,node08,10.0.0.8,2938.3250875473022,1,"(-0.0155555555555555, 0.0166666666666666)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00023,d446d_00023
24,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00024
ou_tuple       [-0.015555555555555002, 0.022222222222222]
IT2                                              2.289941
IT3                                               1.31002
loss                                                  700
dtype: object",700,1744995970,,False,1,d446d_00024,2025-04-18_13-06-10,3155.0521552562714,3155.0521552562714,2991374,node08,10.0.0.8,3155.0521552562714,1,"(-0.0155555555555555, 0.0222222222222222)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00024,d446d_00024
25,"saveFolder      ./exp_results/batch_ougrid_it23_10x10_large
simLabel                batch_ougrid_it23_10x10_large_00025
ou_tuple      [-0.015555555555555002, 0.027777777777777003]
IT2                                                4.789941
IT3                                                3.299036
loss                                                    700
dtype: object",700,1744996131,,False,1,d446d_00025,2025-04-18_13-08-51,3206.6652343273163,3206.6652343273163,2992036,node08,10.0.0.8,3206.6652343273163,1,"(-0.0155555555555555, 0.0277777777777777)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00025,d446d_00025
26,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00026
ou_tuple       [-0.015555555555555002, 0.033333333333333]
IT2                                              7.550296
IT3                                              5.606142
loss                                                  700
dtype: object",700,1744996063,,False,1,d446d_00026,2025-04-18_13-07-43,2938.392058134079,2938.392058134079,2992728,node08,10.0.0.8,2938.392058134079,1,"(-0.0155555555555555, 0.0333333333333333)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00026,d446d_00026
27,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00027
ou_tuple       [-0.015555555555555002, 0.038888888888888]
IT2                                                  10.0
IT3                                              7.812822
loss                                                  700
dtype: object",700,1744996454,,False,1,d446d_00027,2025-04-18_13-14-14,3189.229340314865,3189.229340314865,2993399,node08,10.0.0.8,3189.229340314865,1,"(-0.0155555555555555, 0.0388888888888888)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00027,d446d_00027
28,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00028
ou_tuple       [-0.015555555555555002, 0.044444444444444]
IT2                                             12.284024
IT3                                              9.822461
loss                                                  700
dtype: object",700,1744996505,,False,1,d446d_00028,2025-04-18_13-15-05,3050.569005727768,3050.569005727768,2994085,node08,10.0.0.8,3050.569005727768,1,"(-0.0155555555555555, 0.0444444444444444)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00028,d446d_00028
29,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00029
ou_tuple                    [-0.015555555555555002, 0.05]
IT2                                             14.085799
IT3                                             11.604797
loss                                                  700
dtype: object",700,1744996698,,False,1,d446d_00029,2025-04-18_13-18-18,3148.915210723877,3148.915210723877,2994744,node08,10.0.0.8,3148.915210723877,1,"(-0.0155555555555555, 0.05)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00029,d446d_00029
30,"saveFolder    ./exp_results/batch_ougrid_it23_10x10_large
simLabel              batch_ougrid_it23_10x10_large_00030
ou_tuple                        [-0.003333333333333, 0.0]
IT2                                                   0.0
IT3                                                   0.0
loss                                                  700
dtype: object",700,1744996897,,False,1,d446d_00030,2025-04-18_13-21-37,3187.850428342819,3187.850428342819,2995422,node08,10.0.0.8,3187.850428342819,1,"(-0.0033333333333333, 0.0)",./exp_results/batch_ougrid_it23_10x10_large,batch_ougrid_it23_10x10_large_00030,d446d_00030
