,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_itp4_10x10_large
simLabel              batch_ougrid_itp4_10x10_large_00000
ou_tuple                                     [-0.07, 0.0]
ITP4                                                  0.0
loss                                                  700
dtype: object",700,1744947849,,False,1,234b0_00000,2025-04-17_23-44-09,95.90115571022034,95.90115571022034,2904582,node08,10.0.0.8,95.90115571022034,1,"(-0.07, 0.0)",./exp_results/batch_ougrid_itp4_10x10_large,batch_ougrid_itp4_10x10_large_00000,234b0_00000
1,"saveFolder    ./exp_results/batch_ougrid_itp4_10x10_large
simLabel              batch_ougrid_itp4_10x10_large_00001
ou_tuple                       [-0.07, 0.007777777777777]
ITP4                                                  0.0
loss                                                  700
dtype: object",700,1744948172,,False,1,234b0_00001,2025-04-17_23-49-32,418.29202151298523,418.29202151298523,2904583,node08,10.0.0.8,418.29202151298523,1,"(-0.07, 0.0077777777777777)",./exp_results/batch_ougrid_itp4_10x10_large,batch_ougrid_itp4_10x10_large_00001,234b0_00001
2,"saveFolder    ./exp_results/batch_ougrid_itp4_10x10_large
simLabel              batch_ougrid_itp4_10x10_large_00002
ou_tuple                    [-0.07, 0.015555555555555002]
ITP4                                                  0.0
loss                                                  700
dtype: object",700,1744947829,,False,1,234b0_00002,2025-04-17_23-43-49,75.41000580787659,75.41000580787659,2904632,node08,10.0.0.8,75.41000580787659,1,"(-0.07, 0.0155555555555555)",./exp_results/batch_ougrid_itp4_10x10_large,batch_ougrid_itp4_10x10_large_00002,234b0_00002
3,"saveFolder    ./exp_results/batch_ougrid_itp4_10x10_large
simLabel              batch_ougrid_itp4_10x10_large_00003
ou_tuple                       [-0.07, 0.023333333333333]
ITP4                                                  0.0
loss                                                  700
dtype: object",700,1744948035,,False,1,234b0_00003,2025-04-17_23-47-15,281.43309330940247,281.43309330940247,2904649,node08,10.0.0.8,281.43309330940247,1,"(-0.07, 0.0233333333333333)",./exp_results/batch_ougrid_itp4_10x10_large,batch_ougrid_itp4_10x10_large_00003,234b0_00003
4,"saveFolder    ./exp_results/batch_ougrid_itp4_10x10_large
simLabel              batch_ougrid_itp4_10x10_large_00004
ou_tuple                    [-0.07, 0.031111111111111003]
ITP4                                             0.013142
loss                                                  700
dtype: object",700,1744947830,,False,1,234b0_00004,2025-04-17_23-43-50,76.44478940963745,76.44478940963745,2904682,node08,10.0.0.8,76.44478940963745,1,"(-0.07, 0.0311111111111111)",./exp_results/batch_ougrid_itp4_10x10_large,batch_ougrid_itp4_10x10_large_00004,234b0_00004
5,"saveFolder    ./exp_results/batch_ougrid_itp4_10x10_large
simLabel              batch_ougrid_itp4_10x10_large_00005
ou_tuple                       [-0.07, 0.038888888888888]
ITP4                                             0.178017
loss                                                  700
dtype: object",700,1744947948,,False,1,234b0_00005,2025-04-17_23-45-48,194.31076073646545,194.31076073646545,2904683,node08,10.0.0.8,194.31076073646545,1,"(-0.07, 0.0388888888888888)",./exp_results/batch_ougrid_itp4_10x10_large,batch_ougrid_itp4_10x10_large_00005,234b0_00005
6,"saveFolder    ./exp_results/batch_ougrid_itp4_10x10_large
simLabel              batch_ougrid_itp4_10x10_large_00006
ou_tuple                       [-0.07, 0.046666666666666]
ITP4                                             0.826762
loss                                                  700
dtype: object",700,1744948147,,False,1,234b0_00006,2025-04-17_23-49-07,393.3304760456085,393.3304760456085,2904700,node08,10.0.0.8,393.3304760456085,1,"(-0.07, 0.0466666666666666)",./exp_results/batch_ougrid_itp4_10x10_large,batch_ougrid_itp4_10x10_large_00006,234b0_00006
7,"saveFolder    ./exp_results/batch_ougrid_itp4_10x10_large
simLabel              batch_ougrid_itp4_10x10_large_00007
ou_tuple                    [-0.07, 0.054444444444444004]
ITP4                                             1.991637
loss                                                  700
dtype: object",700,1744948070,,False,1,234b0_00007,2025-04-17_23-47-50,316.18573212623596,316.18573212623596,2904701,node08,10.0.0.8,316.18573212623596,1,"(-0.07, 0.0544444444444444)",./exp_results/batch_ougrid_itp4_10x10_large,batch_ougrid_itp4_10x10_large_00007,234b0_00007
8,"saveFolder    ./exp_results/batch_ougrid_itp4_10x10_large
simLabel              batch_ougrid_itp4_10x10_large_00008
ou_tuple                    [-0.07, 0.062222222222222005]
ITP4                                             3.567503
loss                                                  700
dtype: object",700,1744947898,,False,1,234b0_00008,2025-04-17_23-44-58,144.3033971786499,144.3033971786499,2904718,node08,10.0.0.8,144.3033971786499,1,"(-0.07, 0.0622222222222222)",./exp_results/batch_ougrid_itp4_10x10_large,batch_ougrid_itp4_10x10_large_00008,234b0_00008
9,"saveFolder    ./exp_results/batch_ougrid_itp4_10x10_large
simLabel              batch_ougrid_itp4_10x10_large_00009
ou_tuple                                    [-0.07, 0.07]
ITP4                                             5.339307
loss                                                  700
dtype: object",700,1744948132,,False,1,234b0_00009,2025-04-17_23-48-52,378.4655592441559,378.4655592441559,2904735,node08,10.0.0.8,378.4655592441559,1,"(-0.07, 0.07)",./exp_results/batch_ougrid_itp4_10x10_large,batch_ougrid_itp4_10x10_large_00009,234b0_00009
