,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_itp4_4x4_med_3s
simLabel              batch_ougrid_itp4_4x4_med_3s_00000
ou_tuple                                    [-0.06, 0.0]
ITP4                                                 0.0
loss                                                 700
dtype: object",700,1745018345,,False,1,54509_00000,2025-04-18_19-19-05,73.59572529792786,73.59572529792786,3231717,node08,10.0.0.8,73.59572529792786,1,"(-0.06, 0.0)",./exp_results/batch_ougrid_itp4_4x4_med_3s,batch_ougrid_itp4_4x4_med_3s_00000,54509_00000
1,"saveFolder    ./exp_results/batch_ougrid_itp4_4x4_med_3s
simLabel              batch_ougrid_itp4_4x4_med_3s_00001
ou_tuple                      [-0.06, 0.016666666666666]
ITP4                                                 0.0
loss                                                 700
dtype: object",700,1745018347,,False,1,54509_00001,2025-04-18_19-19-07,76.43514037132263,76.43514037132263,3231718,node08,10.0.0.8,76.43514037132263,1,"(-0.06, 0.0166666666666666)",./exp_results/batch_ougrid_itp4_4x4_med_3s,batch_ougrid_itp4_4x4_med_3s_00001,54509_00001
2,"saveFolder    ./exp_results/batch_ougrid_itp4_4x4_med_3s
simLabel              batch_ougrid_itp4_4x4_med_3s_00002
ou_tuple                      [-0.06, 0.033333333333333]
ITP4                                            0.109916
loss                                                 700
dtype: object",700,1745018351,,False,1,54509_00002,2025-04-18_19-19-11,79.71944093704224,79.71944093704224,3231719,node08,10.0.0.8,79.71944093704224,1,"(-0.06, 0.0333333333333333)",./exp_results/batch_ougrid_itp4_4x4_med_3s,batch_ougrid_itp4_4x4_med_3s_00002,54509_00002
3,"saveFolder    ./exp_results/batch_ougrid_itp4_4x4_med_3s
simLabel              batch_ougrid_itp4_4x4_med_3s_00003
ou_tuple                                   [-0.06, 0.05]
ITP4                                            2.169654
loss                                                 700
dtype: object",700,1745018338,,False,1,54509_00003,2025-04-18_19-18-58,66.81373071670532,66.81373071670532,3231720,node08,10.0.0.8,66.81373071670532,1,"(-0.06, 0.05)",./exp_results/batch_ougrid_itp4_4x4_med_3s,batch_ougrid_itp4_4x4_med_3s_00003,54509_00003
4,"saveFolder    ./exp_results/batch_ougrid_itp4_4x4_med_3s
simLabel              batch_ougrid_itp4_4x4_med_3s_00004
ou_tuple                       [-0.023333333333333, 0.0]
ITP4                                                 0.0
loss                                                 700
dtype: object",700,1745018348,,False,1,54509_00004,2025-04-18_19-19-08,77.16330766677856,77.16330766677856,3231721,node08,10.0.0.8,77.16330766677856,1,"(-0.0233333333333333, 0.0)",./exp_results/batch_ougrid_itp4_4x4_med_3s,batch_ougrid_itp4_4x4_med_3s_00004,54509_00004
5,"saveFolder    ./exp_results/batch_ougrid_itp4_4x4_med_3s
simLabel              batch_ougrid_itp4_4x4_med_3s_00005
ou_tuple         [-0.023333333333333, 0.016666666666666]
ITP4                                            0.027479
loss                                                 700
dtype: object",700,1745018349,,False,1,54509_00005,2025-04-18_19-19-09,77.697674036026,77.697674036026,3231722,node08,10.0.0.8,77.697674036026,1,"(-0.0233333333333333, 0.0166666666666666)",./exp_results/batch_ougrid_itp4_4x4_med_3s,batch_ougrid_itp4_4x4_med_3s_00005,54509_00005
6,"saveFolder    ./exp_results/batch_ougrid_itp4_4x4_med_3s
simLabel              batch_ougrid_itp4_4x4_med_3s_00006
ou_tuple         [-0.023333333333333, 0.033333333333333]
ITP4                                            3.667861
loss                                                 700
dtype: object",700,1745018334,,False,1,54509_00006,2025-04-18_19-18-54,63.16035294532776,63.16035294532776,3231723,node08,10.0.0.8,63.16035294532776,1,"(-0.0233333333333333, 0.0333333333333333)",./exp_results/batch_ougrid_itp4_4x4_med_3s,batch_ougrid_itp4_4x4_med_3s_00006,54509_00006
7,"saveFolder    ./exp_results/batch_ougrid_itp4_4x4_med_3s
simLabel              batch_ougrid_itp4_4x4_med_3s_00007
ou_tuple                      [-0.023333333333333, 0.05]
ITP4                                            9.820789
loss                                                 700
dtype: object",700,1745018351,,False,1,54509_00007,2025-04-18_19-19-11,79.78503155708313,79.78503155708313,3231724,node08,10.0.0.8,79.78503155708313,1,"(-0.0233333333333333, 0.05)",./exp_results/batch_ougrid_itp4_4x4_med_3s,batch_ougrid_itp4_4x4_med_3s_00007,54509_00007
8,"saveFolder    ./exp_results/batch_ougrid_itp4_4x4_med_3s
simLabel              batch_ougrid_itp4_4x4_med_3s_00008
ou_tuple                     [0.013333333333333001, 0.0]
ITP4                                                 0.0
loss                                                 700
dtype: object",700,1745018347,,False,1,54509_00008,2025-04-18_19-19-07,76.21355509757996,76.21355509757996,3231725,node08,10.0.0.8,76.21355509757996,1,"(0.0133333333333333, 0.0)",./exp_results/batch_ougrid_itp4_4x4_med_3s,batch_ougrid_itp4_4x4_med_3s_00008,54509_00008
9,"saveFolder    ./exp_results/batch_ougrid_itp4_4x4_med_3s
simLabel              batch_ougrid_itp4_4x4_med_3s_00009
ou_tuple       [0.013333333333333001, 0.016666666666666]
ITP4                                           12.406213
loss                                                 700
dtype: object",700,1745018351,,False,1,54509_00009,2025-04-18_19-19-11,79.96066093444824,79.96066093444824,3231726,node08,10.0.0.8,79.96066093444824,1,"(0.0133333333333333, 0.0166666666666666)",./exp_results/batch_ougrid_itp4_4x4_med_3s,batch_ougrid_itp4_4x4_med_3s_00009,54509_00009
