,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_its4_4x4_med
simLabel              batch_ougrid_its4_4x4_med_00000
ou_tuple                                 [-0.02, 0.0]
ITS4                                              0.0
loss                                              700
dtype: object",700,1745350148,,False,1,e0816_00000,2025-04-22_15-29-08,69.7852897644043,69.7852897644043,3892625,node08,10.0.0.8,69.7852897644043,1,"(-0.02, 0.0)",./exp_results/batch_ougrid_its4_4x4_med,batch_ougrid_its4_4x4_med_00000,e0816_00000
1,"saveFolder    ./exp_results/batch_ougrid_its4_4x4_med
simLabel              batch_ougrid_its4_4x4_med_00001
ou_tuple                               [-0.02, 0.005]
ITS4                                              0.0
loss                                              700
dtype: object",700,1745350152,,False,1,e0816_00001,2025-04-22_15-29-12,74.09942865371704,74.09942865371704,3892626,node08,10.0.0.8,74.09942865371704,1,"(-0.02, 0.005)",./exp_results/batch_ougrid_its4_4x4_med,batch_ougrid_its4_4x4_med_00001,e0816_00001
2,"saveFolder    ./exp_results/batch_ougrid_its4_4x4_med
simLabel              batch_ougrid_its4_4x4_med_00002
ou_tuple                                [-0.02, 0.01]
ITS4                                         0.203106
loss                                              700
dtype: object",700,1745350145,,False,1,e0816_00002,2025-04-22_15-29-05,66.74005460739136,66.74005460739136,3892643,node08,10.0.0.8,66.74005460739136,1,"(-0.02, 0.01)",./exp_results/batch_ougrid_its4_4x4_med,batch_ougrid_its4_4x4_med_00002,e0816_00002
3,"saveFolder    ./exp_results/batch_ougrid_its4_4x4_med
simLabel              batch_ougrid_its4_4x4_med_00003
ou_tuple                               [-0.02, 0.015]
ITS4                                         2.940263
loss                                              700
dtype: object",700,1745350144,,False,1,e0816_00003,2025-04-22_15-29-04,66.23131823539734,66.23131823539734,3892708,node08,10.0.0.8,66.23131823539734,1,"(-0.02, 0.015)",./exp_results/batch_ougrid_its4_4x4_med,batch_ougrid_its4_4x4_med_00003,e0816_00003
4,"saveFolder    ./exp_results/batch_ougrid_its4_4x4_med
simLabel              batch_ougrid_its4_4x4_med_00004
ou_tuple                    [-0.003333333333333, 0.0]
ITS4                                              0.0
loss                                              700
dtype: object",700,1745350144,,False,1,e0816_00004,2025-04-22_15-29-04,66.11889743804932,66.11889743804932,3892709,node08,10.0.0.8,66.11889743804932,1,"(-0.0033333333333333, 0.0)",./exp_results/batch_ougrid_its4_4x4_med,batch_ougrid_its4_4x4_med_00004,e0816_00004
5,"saveFolder    ./exp_results/batch_ougrid_its4_4x4_med
simLabel              batch_ougrid_its4_4x4_med_00005
ou_tuple                  [-0.003333333333333, 0.005]
ITS4                                         2.610514
loss                                              700
dtype: object",700,1745350138,,False,1,e0816_00005,2025-04-22_15-28-58,60.16452741622925,60.16452741622925,3892742,node08,10.0.0.8,60.16452741622925,1,"(-0.0033333333333333, 0.005)",./exp_results/batch_ougrid_its4_4x4_med,batch_ougrid_its4_4x4_med_00005,e0816_00005
6,"saveFolder    ./exp_results/batch_ougrid_its4_4x4_med
simLabel              batch_ougrid_its4_4x4_med_00006
ou_tuple                   [-0.003333333333333, 0.01]
ITS4                                        10.992832
loss                                              700
dtype: object",700,1745350147,,False,1,e0816_00006,2025-04-22_15-29-07,68.60577273368835,68.60577273368835,3892743,node08,10.0.0.8,68.60577273368835,1,"(-0.0033333333333333, 0.01)",./exp_results/batch_ougrid_its4_4x4_med,batch_ougrid_its4_4x4_med_00006,e0816_00006
7,"saveFolder    ./exp_results/batch_ougrid_its4_4x4_med
simLabel              batch_ougrid_its4_4x4_med_00007
ou_tuple                  [-0.003333333333333, 0.015]
ITS4                                          16.9319
loss                                              700
dtype: object",700,1745350155,,False,1,e0816_00007,2025-04-22_15-29-15,76.54812002182007,76.54812002182007,3892760,node08,10.0.0.8,76.54812002182007,1,"(-0.0033333333333333, 0.015)",./exp_results/batch_ougrid_its4_4x4_med,batch_ougrid_its4_4x4_med_00007,e0816_00007
8,"saveFolder    ./exp_results/batch_ougrid_its4_4x4_med
simLabel              batch_ougrid_its4_4x4_med_00008
ou_tuple                  [0.013333333333333001, 0.0]
ITS4                                             41.0
loss                                              700
dtype: object",700,1745350156,,False,1,e0816_00008,2025-04-22_15-29-16,78.54029321670532,78.54029321670532,3892761,node08,10.0.0.8,78.54029321670532,1,"(0.0133333333333333, 0.0)",./exp_results/batch_ougrid_its4_4x4_med,batch_ougrid_its4_4x4_med_00008,e0816_00008
9,"saveFolder    ./exp_results/batch_ougrid_its4_4x4_med
simLabel              batch_ougrid_its4_4x4_med_00009
ou_tuple                [0.013333333333333001, 0.005]
ITS4                                         25.48626
loss                                              700
dtype: object",700,1745350143,,False,1,e0816_00009,2025-04-22_15-29-03,64.80206322669983,64.80206322669983,3892762,node08,10.0.0.8,64.80206322669983,1,"(0.0133333333333333, 0.005)",./exp_results/batch_ougrid_its4_4x4_med,batch_ougrid_its4_4x4_med_00009,e0816_00009
