,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_ngf_0
simLabel              batch_ougrid_ngf_0_00000
ou_tuple                          [-0.03, 0.0]
NGF1                                       0.0
NGF2                                       0.0
NGF3                                       0.0
NGF4                                       0.0
NGF5A                                      0.0
NGF5B                                      0.0
NGF6                                       0.0
loss                                       700
dtype: object",700,1744737056,,False,1,857e4_00000,2025-04-15_13-10-56,23.251686096191406,23.251686096191406,1758961,node16,10.0.0.16,23.251686096191406,1,"(-0.03, 0.0)",./exp_results/batch_ougrid_ngf_0,batch_ougrid_ngf_0_00000,857e4_00000
1,"saveFolder    ./exp_results/batch_ougrid_ngf_0
simLabel              batch_ougrid_ngf_0_00001
ou_tuple        [-0.03, 0.0010344827586200001]
NGF1                                       0.0
NGF2                                       0.0
NGF3                                       0.0
NGF4                                       0.0
NGF5A                                      0.0
NGF5B                                      0.0
NGF6                                       0.0
loss                                       700
dtype: object",700,1744737062,,False,1,857e4_00001,2025-04-15_13-11-02,29.19017767906189,29.19017767906189,1758962,node16,10.0.0.16,29.19017767906189,1,"(-0.03, 0.0010344827586206)",./exp_results/batch_ougrid_ngf_0,batch_ougrid_ngf_0_00001,857e4_00001
2,"saveFolder    ./exp_results/batch_ougrid_ngf_0
simLabel              batch_ougrid_ngf_0_00002
ou_tuple        [-0.03, 0.0020689655172410003]
NGF1                                       0.0
NGF2                                       0.0
NGF3                                       0.0
NGF4                                       0.0
NGF5A                                      0.0
NGF5B                                      0.0
NGF6                                       0.0
loss                                       700
dtype: object",700,1744737062,,False,1,857e4_00002,2025-04-15_13-11-02,29.157142877578735,29.157142877578735,1758979,node16,10.0.0.16,29.157142877578735,1,"(-0.03, 0.0020689655172413)",./exp_results/batch_ougrid_ngf_0,batch_ougrid_ngf_0_00002,857e4_00002
3,"saveFolder    ./exp_results/batch_ougrid_ngf_0
simLabel              batch_ougrid_ngf_0_00003
ou_tuple        [-0.03, 0.0031034482758620003]
NGF1                                       0.0
NGF2                                       0.0
NGF3                                       0.0
NGF4                                       0.0
NGF5A                                      0.0
NGF5B                                      0.0
NGF6                                       0.0
loss                                       700
dtype: object",700,1744737061,,False,1,857e4_00003,2025-04-15_13-11-01,28.84025502204895,28.84025502204895,1758996,node16,10.0.0.16,28.84025502204895,1,"(-0.03, 0.003103448275862)",./exp_results/batch_ougrid_ngf_0,batch_ougrid_ngf_0_00003,857e4_00003
4,"saveFolder    ./exp_results/batch_ougrid_ngf_0
simLabel              batch_ougrid_ngf_0_00004
ou_tuple         [-0.03, 0.004137931034482001]
NGF1                                       0.0
NGF2                                       0.0
NGF3                                       0.0
NGF4                                       0.0
NGF5A                                      0.0
NGF5B                                      0.0
NGF6                                       0.0
loss                                       700
dtype: object",700,1744737057,,False,1,857e4_00004,2025-04-15_13-10-57,23.708320379257202,23.708320379257202,1759013,node16,10.0.0.16,23.708320379257202,1,"(-0.03, 0.0041379310344827)",./exp_results/batch_ougrid_ngf_0,batch_ougrid_ngf_0_00004,857e4_00004
5,"saveFolder    ./exp_results/batch_ougrid_ngf_0
simLabel              batch_ougrid_ngf_0_00005
ou_tuple         [-0.03, 0.005172413793103001]
NGF1                                       0.0
NGF2                                       0.0
NGF3                                       0.0
NGF4                                       0.0
NGF5A                                      0.0
NGF5B                                      0.0
NGF6                                       0.0
loss                                       700
dtype: object",700,1744737062,,False,1,857e4_00005,2025-04-15_13-11-02,29.556553602218628,29.556553602218628,1759014,node16,10.0.0.16,29.556553602218628,1,"(-0.03, 0.0051724137931034)",./exp_results/batch_ougrid_ngf_0,batch_ougrid_ngf_0_00005,857e4_00005
6,"saveFolder    ./exp_results/batch_ougrid_ngf_0
simLabel              batch_ougrid_ngf_0_00006
ou_tuple         [-0.03, 0.006206896551724001]
NGF1                                       0.0
NGF2                                       0.0
NGF3                                       0.0
NGF4                                       0.0
NGF5A                                      0.0
NGF5B                                      0.0
NGF6                                       0.0
loss                                       700
dtype: object",700,1744737055,,False,1,857e4_00006,2025-04-15_13-10-55,21.79367685317993,21.79367685317993,1759047,node16,10.0.0.16,21.79367685317993,1,"(-0.03, 0.0062068965517241)",./exp_results/batch_ougrid_ngf_0,batch_ougrid_ngf_0_00006,857e4_00006
7,"saveFolder    ./exp_results/batch_ougrid_ngf_0
simLabel              batch_ougrid_ngf_0_00007
ou_tuple        [-0.03, 0.0072413793103440005]
NGF1                                       0.0
NGF2                                       0.0
NGF3                                       0.0
NGF4                                       0.0
NGF5A                                      0.0
NGF5B                                      0.0
NGF6                                       0.0
loss                                       700
dtype: object",700,1744737060,,False,1,857e4_00007,2025-04-15_13-11-00,27.50360941886902,27.50360941886902,1759064,node16,10.0.0.16,27.50360941886902,1,"(-0.03, 0.0072413793103448)",./exp_results/batch_ougrid_ngf_0,batch_ougrid_ngf_0_00007,857e4_00007
8,"saveFolder    ./exp_results/batch_ougrid_ngf_0
simLabel              batch_ougrid_ngf_0_00008
ou_tuple            [-0.03, 0.008275862068965]
NGF1                                  0.006623
NGF2                                       0.0
NGF3                                       0.0
NGF4                                       0.0
NGF5A                                      0.0
NGF5B                                      0.0
NGF6                                       0.0
loss                                       700
dtype: object",700,1744737053,,False,1,857e4_00008,2025-04-15_13-10-53,19.984325408935547,19.984325408935547,1759065,node16,10.0.0.16,19.984325408935547,1,"(-0.03, 0.0082758620689655)",./exp_results/batch_ougrid_ngf_0,batch_ougrid_ngf_0_00008,857e4_00008
9,"saveFolder    ./exp_results/batch_ougrid_ngf_0
simLabel              batch_ougrid_ngf_0_00009
ou_tuple         [-0.03, 0.009310344827586001]
NGF1                                   0.02649
NGF2                                       0.0
NGF3                                  0.013333
NGF4                                       0.0
NGF5A                                      0.0
NGF5B                                      0.0
NGF6                                       0.0
loss                                       700
dtype: object",700,1744737058,,False,1,857e4_00009,2025-04-15_13-10-58,24.928634881973267,24.928634881973267,1759066,node16,10.0.0.16,24.928634881973267,1,"(-0.03, 0.0093103448275862)",./exp_results/batch_ougrid_ngf_0,batch_ougrid_ngf_0_00009,857e4_00009
