,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_pv_20x20
simLabel              batch_ougrid_pv_20x20_00000
ou_tuple                             [-0.01, 0.0]
PV2                                           0.0
PV3                                           0.0
PV4                                           0.0
PV5A                                          0.0
PV5B                                          0.0
PV6                                           0.0
loss                                          700
dtype: object",700,1745358600,,False,1,a33a1_00000,2025-04-22_17-50-00,32.30300569534302,32.30300569534302,1515457,node08,10.0.0.8,32.30300569534302,1,"(-0.01, 0.0)",./exp_results/batch_ougrid_pv_20x20,batch_ougrid_pv_20x20_00000,a33a1_00000
1,"saveFolder    ./exp_results/batch_ougrid_pv_20x20
simLabel              batch_ougrid_pv_20x20_00001
ou_tuple               [-0.01, 0.001052631578947]
PV2                                           0.0
PV3                                           0.0
PV4                                           0.0
PV5A                                          0.0
PV5B                                          0.0
PV6                                           0.0
loss                                          700
dtype: object",700,1745358600,,False,1,a33a1_00001,2025-04-22_17-50-00,32.11992955207825,32.11992955207825,1515458,node08,10.0.0.8,32.11992955207825,1,"(-0.01, 0.0010526315789473)",./exp_results/batch_ougrid_pv_20x20,batch_ougrid_pv_20x20_00001,a33a1_00001
2,"saveFolder    ./exp_results/batch_ougrid_pv_20x20
simLabel              batch_ougrid_pv_20x20_00002
ou_tuple               [-0.01, 0.002105263157894]
PV2                                           0.0
PV3                                           0.0
PV4                                           0.0
PV5A                                          0.0
PV5B                                          0.0
PV6                                           0.0
loss                                          700
dtype: object",700,1745358600,,False,1,a33a1_00002,2025-04-22_17-50-00,32.30149054527283,32.30149054527283,1515459,node08,10.0.0.8,32.30149054527283,1,"(-0.01, 0.0021052631578947)",./exp_results/batch_ougrid_pv_20x20,batch_ougrid_pv_20x20_00002,a33a1_00002
3,"saveFolder    ./exp_results/batch_ougrid_pv_20x20
simLabel              batch_ougrid_pv_20x20_00003
ou_tuple           [-0.01, 0.0031578947368420002]
PV2                                           0.0
PV3                                           0.0
PV4                                           0.0
PV5A                                          0.0
PV5B                                          0.0
PV6                                           0.0
loss                                          700
dtype: object",700,1745358600,,False,1,a33a1_00003,2025-04-22_17-50-00,32.71201276779175,32.71201276779175,1515461,node08,10.0.0.8,32.71201276779175,1,"(-0.01, 0.0031578947368421)",./exp_results/batch_ougrid_pv_20x20,batch_ougrid_pv_20x20_00003,a33a1_00003
4,"saveFolder    ./exp_results/batch_ougrid_pv_20x20
simLabel              batch_ougrid_pv_20x20_00004
ou_tuple               [-0.01, 0.004210526315789]
PV2                                           0.0
PV3                                           0.0
PV4                                           0.0
PV5A                                          0.0
PV5B                                          0.0
PV6                                           0.0
loss                                          700
dtype: object",700,1745358602,,False,1,a33a1_00004,2025-04-22_17-50-02,34.35607409477234,34.35607409477234,1515462,node08,10.0.0.8,34.35607409477234,1,"(-0.01, 0.0042105263157894)",./exp_results/batch_ougrid_pv_20x20,batch_ougrid_pv_20x20_00004,a33a1_00004
5,"saveFolder    ./exp_results/batch_ougrid_pv_20x20
simLabel              batch_ougrid_pv_20x20_00005
ou_tuple            [-0.01, 0.005263157894736001]
PV2                                           0.0
PV3                                           0.0
PV4                                           0.0
PV5A                                          0.0
PV5B                                          0.0
PV6                                           0.0
loss                                          700
dtype: object",700,1745358598,,False,1,a33a1_00005,2025-04-22_17-49-58,29.96209454536438,29.96209454536438,1515529,node08,10.0.0.8,29.96209454536438,1,"(-0.01, 0.0052631578947368)",./exp_results/batch_ougrid_pv_20x20,batch_ougrid_pv_20x20_00005,a33a1_00005
6,"saveFolder    ./exp_results/batch_ougrid_pv_20x20
simLabel              batch_ougrid_pv_20x20_00006
ou_tuple           [-0.01, 0.0063157894736840005]
PV2                                           0.0
PV3                                           0.0
PV4                                           0.0
PV5A                                          0.0
PV5B                                          0.0
PV6                                           0.0
loss                                          700
dtype: object",700,1745358600,,False,1,a33a1_00006,2025-04-22_17-50-00,32.72090554237366,32.72090554237366,1515530,node08,10.0.0.8,32.72090554237366,1,"(-0.01, 0.0063157894736842)",./exp_results/batch_ougrid_pv_20x20,batch_ougrid_pv_20x20_00006,a33a1_00006
7,"saveFolder    ./exp_results/batch_ougrid_pv_20x20
simLabel              batch_ougrid_pv_20x20_00007
ou_tuple               [-0.01, 0.007368421052631]
PV2                                           0.0
PV3                                           0.0
PV4                                           0.0
PV5A                                          0.0
PV5B                                          0.0
PV6                                           0.0
loss                                          700
dtype: object",700,1745358595,,False,1,a33a1_00007,2025-04-22_17-49-55,27.432050943374634,27.432050943374634,1515531,node08,10.0.0.8,27.432050943374634,1,"(-0.01, 0.0073684210526315)",./exp_results/batch_ougrid_pv_20x20,batch_ougrid_pv_20x20_00007,a33a1_00007
8,"saveFolder    ./exp_results/batch_ougrid_pv_20x20
simLabel              batch_ougrid_pv_20x20_00008
ou_tuple               [-0.01, 0.008421052631578]
PV2                                           0.0
PV3                                           0.0
PV4                                           0.0
PV5A                                          0.0
PV5B                                          0.0
PV6                                           0.0
loss                                          700
dtype: object",700,1745358599,,False,1,a33a1_00008,2025-04-22_17-49-59,31.34434485435486,31.34434485435486,1515533,node08,10.0.0.8,31.34434485435486,1,"(-0.01, 0.0084210526315789)",./exp_results/batch_ougrid_pv_20x20,batch_ougrid_pv_20x20_00008,a33a1_00008
9,"saveFolder    ./exp_results/batch_ougrid_pv_20x20
simLabel              batch_ougrid_pv_20x20_00009
ou_tuple               [-0.01, 0.009473684210526]
PV2                                           0.0
PV3                                           0.0
PV4                                           0.0
PV5A                                          0.0
PV5B                                          0.0
PV6                                           0.0
loss                                          700
dtype: object",700,1745358602,,False,1,a33a1_00009,2025-04-22_17-50-02,34.313560009002686,34.313560009002686,1515572,node08,10.0.0.8,34.313560009002686,1,"(-0.01, 0.0094736842105263)",./exp_results/batch_ougrid_pv_20x20,batch_ougrid_pv_20x20_00009,a33a1_00009
