,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder          ./exp_results/batch_ougrid_pyr_20x20
simLabel                    batch_ougrid_pyr_20x20_00000
ou_tuple      [0.0031578947368420002, 0.010526315789473]
IT2                                             2.973373
IT3                                             1.433759
ITP4                                            1.541219
IT5A                                            3.231198
IT5B                                            2.583864
CT5B                                            0.730361
PT5B                                            0.095541
IT6                                             3.567889
CT6                                             0.628345
loss                                                 700
dtype: object",700,1745365712,,False,1,36f76_00000,2025-04-22_19-48-32,454.2431216239929,454.2431216239929,1965764,node08,10.0.0.8,454.2431216239929,1,"(0.0031578947368421, 0.0105263157894736)",./exp_results/batch_ougrid_pyr_20x20,batch_ougrid_pyr_20x20_00000,36f76_00000
1,"saveFolder             ./exp_results/batch_ougrid_pyr_20x20
simLabel                       batch_ougrid_pyr_20x20_00001
ou_tuple      [0.0031578947368420002, 0.011578947368421001]
IT2                                                3.745562
IT3                                                2.026003
ITP4                                               2.156511
IT5A                                                3.89415
IT5B                                                3.29087
CT5B                                               1.093418
PT5B                                               0.218684
IT6                                                4.261645
CT6                                                1.021804
loss                                                    700
dtype: object",700,1745365530,,False,1,36f76_00001,2025-04-22_19-45-30,272.5648765563965,272.5648765563965,1965768,node08,10.0.0.8,272.5648765563965,1,"(0.0031578947368421, 0.011578947368421)",./exp_results/batch_ougrid_pyr_20x20,batch_ougrid_pyr_20x20_00001,36f76_00001
2,"saveFolder             ./exp_results/batch_ougrid_pyr_20x20
simLabel                       batch_ougrid_pyr_20x20_00002
ou_tuple      [0.0031578947368420002, 0.012631578947368001]
IT2                                                 4.60355
IT3                                                2.651648
ITP4                                               2.810036
IT5A                                               4.551532
IT5B                                               3.912951
CT5B                                               1.528662
PT5B                                               0.414013
IT6                                                4.906838
CT6                                                 1.44004
loss                                                    700
dtype: object",700,1745365733,,False,1,36f76_00002,2025-04-22_19-48-53,476.0621016025543,476.0621016025543,1965782,node08,10.0.0.8,476.0621016025543,1,"(0.0031578947368421, 0.0126315789473684)",./exp_results/batch_ougrid_pyr_20x20,batch_ougrid_pyr_20x20_00002,36f76_00002
3,"saveFolder          ./exp_results/batch_ougrid_pyr_20x20
simLabel                    batch_ougrid_pyr_20x20_00003
ou_tuple      [0.0031578947368420002, 0.013684210526315]
IT2                                             5.440828
IT3                                             3.300381
ITP4                                            3.517324
IT5A                                            5.314763
IT5B                                            4.501062
CT5B                                            1.864119
PT5B                                            0.698514
IT6                                             5.435084
CT6                                             1.812686
loss                                                 700
dtype: object",700,1745365526,,False,1,36f76_00003,2025-04-22_19-45-26,268.9399902820587,268.9399902820587,1965799,node08,10.0.0.8,268.9399902820587,1,"(0.0031578947368421, 0.0136842105263157)",./exp_results/batch_ougrid_pyr_20x20,batch_ougrid_pyr_20x20_00003,36f76_00003
4,"saveFolder             ./exp_results/batch_ougrid_pyr_20x20
simLabel                       batch_ougrid_pyr_20x20_00004
ou_tuple      [0.0031578947368420002, 0.014736842105263001]
IT2                                                6.272189
IT3                                                3.962564
ITP4                                               4.248507
IT5A                                               5.888579
IT5B                                               5.021231
CT5B                                               2.078556
PT5B                                               1.038217
IT6                                                5.751239
CT6                                                2.039643
loss                                                    700
dtype: object",700,1745365536,,False,1,36f76_00004,2025-04-22_19-45-36,279.01784443855286,279.01784443855286,1965816,node08,10.0.0.8,279.01784443855286,1,"(0.0031578947368421, 0.0147368421052631)",./exp_results/batch_ougrid_pyr_20x20,batch_ougrid_pyr_20x20_00004,36f76_00004
5,"saveFolder             ./exp_results/batch_ougrid_pyr_20x20
simLabel                       batch_ougrid_pyr_20x20_00005
ou_tuple      [0.0031578947368420002, 0.015789473684210003]
IT2                                                6.994083
IT3                                                4.591347
ITP4                                               4.953405
IT5A                                               6.562674
IT5B                                               5.416136
CT5B                                               2.174098
PT5B                                                1.41189
IT6                                                5.967294
CT6                                                1.996036
loss                                                    700
dtype: object",700,1745365534,,False,1,36f76_00005,2025-04-22_19-45-34,276.49379205703735,276.49379205703735,1965833,node08,10.0.0.8,276.49379205703735,1,"(0.0031578947368421, 0.0157894736842105)",./exp_results/batch_ougrid_pyr_20x20,batch_ougrid_pyr_20x20_00005,36f76_00005
6,"saveFolder             ./exp_results/batch_ougrid_pyr_20x20
simLabel                       batch_ougrid_pyr_20x20_00006
ou_tuple      [0.0031578947368420002, 0.016842105263157003]
IT2                                                7.769231
IT3                                                5.247254
ITP4                                               5.622461
IT5A                                               7.250696
IT5B                                               5.789809
CT5B                                               2.019108
PT5B                                               1.866242
IT6                                                5.887017
CT6                                                1.896928
loss                                                    700
dtype: object",700,1745365562,,False,1,36f76_00006,2025-04-22_19-46-02,304.390930891037,304.390930891037,1965834,node08,10.0.0.8,304.390930891037,1,"(0.0031578947368421, 0.0168421052631578)",./exp_results/batch_ougrid_pyr_20x20,batch_ougrid_pyr_20x20_00006,36f76_00006
7,"saveFolder          ./exp_results/batch_ougrid_pyr_20x20
simLabel                    batch_ougrid_pyr_20x20_00007
ou_tuple      [0.0031578947368420002, 0.017894736842105]
IT2                                              8.56213
IT3                                             5.902937
ITP4                                            6.321386
IT5A                                            7.902507
IT5B                                            5.723992
CT5B                                            1.679406
PT5B                                            2.354565
IT6                                               5.6333
CT6                                             1.648167
loss                                                 700
dtype: object",700,1745365565,,False,1,36f76_00007,2025-04-22_19-46-05,307.59940457344055,307.59940457344055,1965867,node08,10.0.0.8,307.59940457344055,1,"(0.0031578947368421, 0.0178947368421052)",./exp_results/batch_ougrid_pyr_20x20,batch_ougrid_pyr_20x20_00007,36f76_00007
8,"saveFolder          ./exp_results/batch_ougrid_pyr_20x20
simLabel                    batch_ougrid_pyr_20x20_00008
ou_tuple      [0.0031578947368420002, 0.018947368421052]
IT2                                             9.257396
IT3                                             6.530374
ITP4                                            7.017921
IT5A                                            7.576602
IT5B                                            6.008493
CT5B                                            1.343949
PT5B                                            2.940552
IT6                                             5.421209
CT6                                             1.304262
loss                                                 700
dtype: object",700,1745365570,,False,1,36f76_00008,2025-04-22_19-46-10,312.20799827575684,312.20799827575684,1965868,node08,10.0.0.8,312.20799827575684,1,"(0.0031578947368421, 0.0189473684210526)",./exp_results/batch_ougrid_pyr_20x20,batch_ougrid_pyr_20x20_00008,36f76_00008
9,"saveFolder    ./exp_results/batch_ougrid_pyr_20x20
simLabel              batch_ougrid_pyr_20x20_00009
ou_tuple             [0.0031578947368420002, 0.02]
IT2                                       9.890533
IT3                                        7.16252
ITP4                                       7.57945
IT5A                                      8.008357
IT5B                                      5.942675
CT5B                                      0.951168
PT5B                                      3.503185
IT6                                        4.60555
CT6                                       1.061447
loss                                           700
dtype: object",700,1745365556,,False,1,36f76_00009,2025-04-22_19-45-56,298.1587963104248,298.1587963104248,1965901,node08,10.0.0.8,298.1587963104248,1,"(0.0031578947368421, 0.02)",./exp_results/batch_ougrid_pyr_20x20,batch_ougrid_pyr_20x20_00009,36f76_00009
