,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00000
ou_tuple                          [-0.04, 0.0]
SOM2                                       0.0
SOM3                                       0.0
SOM4                                       0.0
SOM5A                                      0.0
SOM5B                                      0.0
SOM6                                       0.0
loss                                       700
dtype: object",700,1744898993,,False,1,88b66_00000,2025-04-17_10-09-53,30.771605491638184,30.771605491638184,1949449,node08,10.0.0.8,30.771605491638184,1,"(-0.04, 0.0)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00000,88b66_00000
1,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00001
ou_tuple            [-0.04, 0.001724137931034]
SOM2                                       0.0
SOM3                                       0.0
SOM4                                       0.0
SOM5A                                      0.0
SOM5B                                      0.0
SOM6                                       0.0
loss                                       700
dtype: object",700,1744898987,,False,1,88b66_00001,2025-04-17_10-09-47,24.696677923202515,24.696677923202515,1949450,node08,10.0.0.8,24.696677923202515,1,"(-0.04, 0.0017241379310344)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00001,88b66_00001
2,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00002
ou_tuple            [-0.04, 0.003448275862068]
SOM2                                       0.0
SOM3                                       0.0
SOM4                                       0.0
SOM5A                                      0.0
SOM5B                                      0.0
SOM6                                       0.0
loss                                       700
dtype: object",700,1744898994,,False,1,88b66_00002,2025-04-17_10-09-54,31.59518337249756,31.59518337249756,1949483,node08,10.0.0.8,31.59518337249756,1,"(-0.04, 0.0034482758620689)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00002,88b66_00002
3,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00003
ou_tuple         [-0.04, 0.005172413793103001]
SOM2                                       0.0
SOM3                                       0.0
SOM4                                       0.0
SOM5A                                      0.0
SOM5B                                      0.0
SOM6                                       0.0
loss                                       700
dtype: object",700,1744898998,,False,1,88b66_00003,2025-04-17_10-09-58,35.85576510429382,35.85576510429382,1949484,node08,10.0.0.8,35.85576510429382,1,"(-0.04, 0.0051724137931034)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00003,88b66_00003
4,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00004
ou_tuple            [-0.04, 0.006896551724137]
SOM2                                       0.0
SOM3                                       0.0
SOM4                                       0.0
SOM5A                                      0.0
SOM5B                                      0.0
SOM6                                       0.0
loss                                       700
dtype: object",700,1744898986,,False,1,88b66_00004,2025-04-17_10-09-46,23.521320581436157,23.521320581436157,1949501,node08,10.0.0.8,23.521320581436157,1,"(-0.04, 0.0068965517241379)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00004,88b66_00004
5,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00005
ou_tuple            [-0.04, 0.008620689655172]
SOM2                                       0.0
SOM3                                       0.0
SOM4                                       0.0
SOM5A                                      0.0
SOM5B                                      0.0
SOM6                                       0.0
loss                                       700
dtype: object",700,1744898994,,False,1,88b66_00005,2025-04-17_10-09-54,31.43043041229248,31.43043041229248,1949518,node08,10.0.0.8,31.43043041229248,1,"(-0.04, 0.0086206896551724)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00005,88b66_00005
6,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00006
ou_tuple         [-0.04, 0.010344827586206001]
SOM2                                       0.0
SOM3                                       0.0
SOM4                                       0.0
SOM5A                                      0.0
SOM5B                                      0.0
SOM6                                       0.0
loss                                       700
dtype: object",700,1744898998,,False,1,88b66_00006,2025-04-17_10-09-58,35.59711956977844,35.59711956977844,1949538,node08,10.0.0.8,35.59711956977844,1,"(-0.04, 0.0103448275862068)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00006,88b66_00006
7,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00007
ou_tuple         [-0.04, 0.012068965517241001]
SOM2                                       0.0
SOM3                                  0.014286
SOM4                                       0.0
SOM5A                                      0.0
SOM5B                                      0.0
SOM6                                       0.0
loss                                       700
dtype: object",700,1744898988,,False,1,88b66_00007,2025-04-17_10-09-48,25.346279859542847,25.346279859542847,1949584,node08,10.0.0.8,25.346279859542847,1,"(-0.04, 0.0120689655172413)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00007,88b66_00007
8,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00008
ou_tuple         [-0.04, 0.013793103448275001]
SOM2                                       0.0
SOM3                                  0.014286
SOM4                                  0.041667
SOM5A                                 0.023256
SOM5B                                 0.008929
SOM6                                  0.031746
loss                                       700
dtype: object",700,1744898994,,False,1,88b66_00008,2025-04-17_10-09-54,31.668893098831177,31.668893098831177,1949585,node08,10.0.0.8,31.668893098831177,1,"(-0.04, 0.0137931034482758)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00008,88b66_00008
9,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00009
ou_tuple         [-0.04, 0.015517241379310001]
SOM2                                       0.0
SOM3                                  0.028571
SOM4                                  0.083333
SOM5A                                 0.046512
SOM5B                                 0.053571
SOM6                                  0.126984
loss                                       700
dtype: object",700,1744898994,,False,1,88b66_00009,2025-04-17_10-09-54,31.669211387634277,31.669211387634277,1949586,node08,10.0.0.8,31.669211387634277,1,"(-0.04, 0.0155172413793103)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00009,88b66_00009
10,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00010
ou_tuple            [-0.04, 0.017241379310344]
SOM2                                       0.2
SOM3                                  0.142857
SOM4                                     0.125
SOM5A                                 0.162791
SOM5B                                 0.116071
SOM6                                  0.253968
loss                                       700
dtype: object",700,1744898987,,False,1,88b66_00010,2025-04-17_10-09-47,24.176196813583374,24.176196813583374,1949603,node08,10.0.0.8,24.176196813583374,1,"(-0.04, 0.0172413793103448)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00010,88b66_00010
11,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00011
ou_tuple            [-0.04, 0.018965517241379]
SOM2                                       0.2
SOM3                                  0.414286
SOM4                                  0.333333
SOM5A                                 0.302326
SOM5B                                   0.3125
SOM6                                   0.52381
loss                                       700
dtype: object",700,1744898987,,False,1,88b66_00011,2025-04-17_10-09-47,24.39211893081665,24.39211893081665,1949620,node08,10.0.0.8,24.39211893081665,1,"(-0.04, 0.0189655172413793)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00011,88b66_00011
12,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00012
ou_tuple         [-0.04, 0.020689655172413002]
SOM2                                       1.0
SOM3                                  0.857143
SOM4                                       0.5
SOM5A                                 0.627907
SOM5B                                 0.678571
SOM6                                  0.904762
loss                                       700
dtype: object",700,1744898988,,False,1,88b66_00012,2025-04-17_10-09-48,25.106942415237427,25.106942415237427,1949637,node08,10.0.0.8,25.106942415237427,1,"(-0.04, 0.0206896551724137)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00012,88b66_00012
13,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00013
ou_tuple            [-0.04, 0.022413793103448]
SOM2                                       1.2
SOM3                                  1.457143
SOM4                                  0.916667
SOM5A                                 1.139535
SOM5B                                 1.276786
SOM6                                  1.444444
loss                                       700
dtype: object",700,1744899018,,False,1,88b66_00013,2025-04-17_10-10-18,26.77295684814453,26.77295684814453,1957869,node08,10.0.0.8,26.77295684814453,1,"(-0.04, 0.0224137931034482)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00013,88b66_00013
14,"saveFolder    ./exp_results/batch_ougrid_som_0
simLabel              batch_ougrid_som_0_00014
ou_tuple         [-0.04, 0.024137931034482002]
SOM2                                       2.4
SOM3                                  2.157143
SOM4                                  1.458333
SOM5A                                 1.697674
SOM5B                                 2.142857
SOM6                                  2.238095
loss                                       700
dtype: object",700,1744899018,,False,1,88b66_00014,2025-04-17_10-10-18,26.21336531639099,26.21336531639099,1957875,node08,10.0.0.8,26.21336531639099,1,"(-0.04, 0.0241379310344827)",./exp_results/batch_ougrid_som_0,batch_ougrid_som_0_00014,88b66_00014
