,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_som_20x20_med
simLabel              batch_ougrid_som_20x20_med_00000
ou_tuple                                  [-0.03, 0.0]
SOM2                                               0.0
SOM3                                               0.0
SOM4                                               0.0
SOM5A                                              0.0
SOM5B                                              0.0
SOM6                                               0.0
loss                                               700
dtype: object",700,1745353491,,False,1,c2716_00000,2025-04-22_16-24-51,25.880521774291992,25.880521774291992,70819,node08,10.0.0.8,25.880521774291992,1,"(-0.03, 0.0)",./exp_results/batch_ougrid_som_20x20_med,batch_ougrid_som_20x20_med_00000,c2716_00000
1,"saveFolder    ./exp_results/batch_ougrid_som_20x20_med
simLabel              batch_ougrid_som_20x20_med_00001
ou_tuple                    [-0.03, 0.002105263157894]
SOM2                                               0.0
SOM3                                               0.0
SOM4                                               0.0
SOM5A                                              0.0
SOM5B                                              0.0
SOM6                                               0.0
loss                                               700
dtype: object",700,1745353490,,False,1,c2716_00001,2025-04-22_16-24-50,24.726238489151,24.726238489151,70836,node08,10.0.0.8,24.726238489151,1,"(-0.03, 0.0021052631578947)",./exp_results/batch_ougrid_som_20x20_med,batch_ougrid_som_20x20_med_00001,c2716_00001
2,"saveFolder    ./exp_results/batch_ougrid_som_20x20_med
simLabel              batch_ougrid_som_20x20_med_00002
ou_tuple                    [-0.03, 0.004210526315789]
SOM2                                               0.0
SOM3                                               0.0
SOM4                                               0.0
SOM5A                                              0.0
SOM5B                                              0.0
SOM6                                               0.0
loss                                               700
dtype: object",700,1745353490,,False,1,c2716_00002,2025-04-22_16-24-50,24.628289937973022,24.628289937973022,70853,node08,10.0.0.8,24.628289937973022,1,"(-0.03, 0.0042105263157894)",./exp_results/batch_ougrid_som_20x20_med,batch_ougrid_som_20x20_med_00002,c2716_00002
3,"saveFolder    ./exp_results/batch_ougrid_som_20x20_med
simLabel              batch_ougrid_som_20x20_med_00003
ou_tuple                [-0.03, 0.0063157894736840005]
SOM2                                               0.0
SOM3                                               0.0
SOM4                                               0.0
SOM5A                                              0.0
SOM5B                                              0.0
SOM6                                               0.0
loss                                               700
dtype: object",700,1745353485,,False,1,c2716_00003,2025-04-22_16-24-45,19.33249855041504,19.33249855041504,70886,node08,10.0.0.8,19.33249855041504,1,"(-0.03, 0.0063157894736842)",./exp_results/batch_ougrid_som_20x20_med,batch_ougrid_som_20x20_med_00003,c2716_00003
4,"saveFolder    ./exp_results/batch_ougrid_som_20x20_med
simLabel              batch_ougrid_som_20x20_med_00004
ou_tuple                    [-0.03, 0.008421052631578]
SOM2                                               0.0
SOM3                                               0.0
SOM4                                               0.0
SOM5A                                              0.0
SOM5B                                              0.0
SOM6                                               0.0
loss                                               700
dtype: object",700,1745353485,,False,1,c2716_00004,2025-04-22_16-24-45,19.583901405334473,19.583901405334473,70887,node08,10.0.0.8,19.583901405334473,1,"(-0.03, 0.0084210526315789)",./exp_results/batch_ougrid_som_20x20_med,batch_ougrid_som_20x20_med_00004,c2716_00004
5,"saveFolder    ./exp_results/batch_ougrid_som_20x20_med
simLabel              batch_ougrid_som_20x20_med_00005
ou_tuple                    [-0.03, 0.010526315789473]
SOM2                                               0.0
SOM3                                          0.014286
SOM4                                          0.041667
SOM5A                                              0.0
SOM5B                                              0.0
SOM6                                          0.031746
loss                                               700
dtype: object",700,1745353490,,False,1,c2716_00005,2025-04-22_16-24-50,25.21657109260559,25.21657109260559,70915,node08,10.0.0.8,25.21657109260559,1,"(-0.03, 0.0105263157894736)",./exp_results/batch_ougrid_som_20x20_med,batch_ougrid_som_20x20_med_00005,c2716_00005
6,"saveFolder    ./exp_results/batch_ougrid_som_20x20_med
simLabel              batch_ougrid_som_20x20_med_00006
ou_tuple                 [-0.03, 0.012631578947368001]
SOM2                                               0.0
SOM3                                          0.071429
SOM4                                          0.083333
SOM5A                                         0.069767
SOM5B                                           0.0625
SOM6                                          0.126984
loss                                               700
dtype: object",700,1745353491,,False,1,c2716_00006,2025-04-22_16-24-51,26.083518505096436,26.083518505096436,70953,node08,10.0.0.8,26.083518505096436,1,"(-0.03, 0.0126315789473684)",./exp_results/batch_ougrid_som_20x20_med,batch_ougrid_som_20x20_med_00006,c2716_00006
7,"saveFolder    ./exp_results/batch_ougrid_som_20x20_med
simLabel              batch_ougrid_som_20x20_med_00007
ou_tuple                 [-0.03, 0.014736842105263001]
SOM2                                               0.2
SOM3                                          0.357143
SOM4                                          0.166667
SOM5A                                         0.232558
SOM5B                                         0.276786
SOM6                                          0.396825
loss                                               700
dtype: object",700,1745353490,,False,1,c2716_00007,2025-04-22_16-24-50,24.904715061187744,24.904715061187744,70956,node08,10.0.0.8,24.904715061187744,1,"(-0.03, 0.0147368421052631)",./exp_results/batch_ougrid_som_20x20_med,batch_ougrid_som_20x20_med_00007,c2716_00007
8,"saveFolder    ./exp_results/batch_ougrid_som_20x20_med
simLabel              batch_ougrid_som_20x20_med_00008
ou_tuple                 [-0.03, 0.016842105263157003]
SOM2                                               1.2
SOM3                                          0.985714
SOM4                                          0.583333
SOM5A                                         0.837209
SOM5B                                         0.776786
SOM6                                          1.063492
loss                                               700
dtype: object",700,1745353492,,False,1,c2716_00008,2025-04-22_16-24-52,26.219037532806396,26.219037532806396,70971,node08,10.0.0.8,26.219037532806396,1,"(-0.03, 0.0168421052631578)",./exp_results/batch_ougrid_som_20x20_med,batch_ougrid_som_20x20_med_00008,c2716_00008
9,"saveFolder    ./exp_results/batch_ougrid_som_20x20_med
simLabel              batch_ougrid_som_20x20_med_00009
ou_tuple                    [-0.03, 0.018947368421052]
SOM2                                               2.2
SOM3                                          1.914286
SOM4                                          1.208333
SOM5A                                         1.534884
SOM5B                                         1.910714
SOM6                                          2.047619
loss                                               700
dtype: object",700,1745353483,,False,1,c2716_00009,2025-04-22_16-24-43,17.904808044433594,17.904808044433594,70990,node08,10.0.0.8,17.904808044433594,1,"(-0.03, 0.0189473684210526)",./exp_results/batch_ougrid_som_20x20_med,batch_ougrid_som_20x20_med_00009,c2716_00009
