,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_ti_4x4
simLabel              batch_ougrid_ti_4x4_00000
ou_tuple                           [-0.04, 0.0]
TI                                          0.0
TIM                                         0.0
loss                                        700
dtype: object",700,1745355594,,False,1,b215b_00000,2025-04-22_16-59-54,11.034379482269287,11.034379482269287,422810,node08,10.0.0.8,11.034379482269287,1,"(-0.04, 0.0)",./exp_results/batch_ougrid_ti_4x4,batch_ougrid_ti_4x4_00000,b215b_00000
1,"saveFolder    ./exp_results/batch_ougrid_ti_4x4
simLabel              batch_ougrid_ti_4x4_00001
ou_tuple          [-0.04, 0.013333333333333001]
TI                                     0.039216
TIM                                    0.019608
loss                                        700
dtype: object",700,1745355596,,False,1,b215b_00001,2025-04-22_16-59-56,12.435510158538818,12.435510158538818,422827,node08,10.0.0.8,12.435510158538818,1,"(-0.04, 0.0133333333333333)",./exp_results/batch_ougrid_ti_4x4,batch_ougrid_ti_4x4_00001,b215b_00001
2,"saveFolder    ./exp_results/batch_ougrid_ti_4x4
simLabel              batch_ougrid_ti_4x4_00002
ou_tuple          [-0.04, 0.026666666666666002]
TI                                     5.431373
TIM                                    5.215686
loss                                        700
dtype: object",700,1745355594,,False,1,b215b_00002,2025-04-22_16-59-54,10.88605546951294,10.88605546951294,422828,node08,10.0.0.8,10.88605546951294,1,"(-0.04, 0.0266666666666666)",./exp_results/batch_ougrid_ti_4x4,batch_ougrid_ti_4x4_00002,b215b_00002
3,"saveFolder    ./exp_results/batch_ougrid_ti_4x4
simLabel              batch_ougrid_ti_4x4_00003
ou_tuple                          [-0.04, 0.04]
TI                                    19.568627
TIM                                   19.784314
loss                                        700
dtype: object",700,1745355601,,False,1,b215b_00003,2025-04-22_17-00-01,18.02403950691223,18.02403950691223,422830,node08,10.0.0.8,18.02403950691223,1,"(-0.04, 0.04)",./exp_results/batch_ougrid_ti_4x4,batch_ougrid_ti_4x4_00003,b215b_00003
4,"saveFolder    ./exp_results/batch_ougrid_ti_4x4
simLabel              batch_ougrid_ti_4x4_00004
ou_tuple              [-0.016666666666666, 0.0]
TI                                          0.0
TIM                                         0.0
loss                                        700
dtype: object",700,1745355601,,False,1,b215b_00004,2025-04-22_17-00-01,17.421191692352295,17.421191692352295,422829,node08,10.0.0.8,17.421191692352295,1,"(-0.0166666666666666, 0.0)",./exp_results/batch_ougrid_ti_4x4,batch_ougrid_ti_4x4_00004,b215b_00004
5,"saveFolder             ./exp_results/batch_ougrid_ti_4x4
simLabel                       batch_ougrid_ti_4x4_00005
ou_tuple      [-0.016666666666666, 0.013333333333333001]
TI                                              4.196078
TIM                                             4.372549
loss                                                 700
dtype: object",700,1745355601,,False,1,b215b_00005,2025-04-22_17-00-01,17.898938417434692,17.898938417434692,422831,node08,10.0.0.8,17.898938417434692,1,"(-0.0166666666666666, 0.0133333333333333)",./exp_results/batch_ougrid_ti_4x4,batch_ougrid_ti_4x4_00005,b215b_00005
6,"saveFolder             ./exp_results/batch_ougrid_ti_4x4
simLabel                       batch_ougrid_ti_4x4_00006
ou_tuple      [-0.016666666666666, 0.026666666666666002]
TI                                             25.215686
TIM                                            25.392157
loss                                                 700
dtype: object",700,1745355598,,False,1,b215b_00006,2025-04-22_16-59-58,14.210615634918213,14.210615634918213,422864,node08,10.0.0.8,14.210615634918213,1,"(-0.0166666666666666, 0.0266666666666666)",./exp_results/batch_ougrid_ti_4x4,batch_ougrid_ti_4x4_00006,b215b_00006
7,"saveFolder    ./exp_results/batch_ougrid_ti_4x4
simLabel              batch_ougrid_ti_4x4_00007
ou_tuple             [-0.016666666666666, 0.04]
TI                                    40.254902
TIM                                   40.117647
loss                                        700
dtype: object",700,1745355601,,False,1,b215b_00007,2025-04-22_17-00-01,17.981706619262695,17.981706619262695,422865,node08,10.0.0.8,17.981706619262695,1,"(-0.0166666666666666, 0.04)",./exp_results/batch_ougrid_ti_4x4,batch_ougrid_ti_4x4_00007,b215b_00007
8,"saveFolder    ./exp_results/batch_ougrid_ti_4x4
simLabel              batch_ougrid_ti_4x4_00008
ou_tuple               [0.006666666666666, 0.0]
TI                                         33.0
TIM                                        33.0
loss                                        700
dtype: object",700,1745355597,,False,1,b215b_00008,2025-04-22_16-59-57,13.631117820739746,13.631117820739746,422908,node08,10.0.0.8,13.631117820739746,1,"(0.0066666666666666, 0.0)",./exp_results/batch_ougrid_ti_4x4,batch_ougrid_ti_4x4_00008,b215b_00008
9,"saveFolder            ./exp_results/batch_ougrid_ti_4x4
simLabel                      batch_ougrid_ti_4x4_00009
ou_tuple      [0.006666666666666, 0.013333333333333001]
TI                                            41.470588
TIM                                           41.431373
loss                                                700
dtype: object",700,1745355602,,False,1,b215b_00009,2025-04-22_17-00-02,18.333590507507324,18.333590507507324,422930,node08,10.0.0.8,18.333590507507324,1,"(0.0066666666666666, 0.0133333333333333)",./exp_results/batch_ougrid_ti_4x4,batch_ougrid_ti_4x4_00009,b215b_00009
