,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_tuple,config/saveFolder,config/simLabel,logdir
0,"saveFolder    ./exp_results/batch_ougrid_vip_0
simLabel              batch_ougrid_vip_0_00000
ou_tuple                          [-0.04, 0.0]
VIP2                                       0.0
VIP3                                       0.0
VIP4                                       0.0
VIP5A                                      0.0
VIP5B                                      0.0
VIP6                                       0.0
loss                                       700
dtype: object",700,1745037239,,False,1,61574_00000,2025-04-19_00-33-59,40.630796670913696,40.630796670913696,3264334,node08,10.0.0.8,40.630796670913696,1,"(-0.04, 0.0)",./exp_results/batch_ougrid_vip_0,batch_ougrid_vip_0_00000,61574_00000
1,"saveFolder    ./exp_results/batch_ougrid_vip_0
simLabel              batch_ougrid_vip_0_00001
ou_tuple            [-0.04, 0.001724137931034]
VIP2                                       0.0
VIP3                                       0.0
VIP4                                       0.0
VIP5A                                      0.0
VIP5B                                      0.0
VIP6                                       0.0
loss                                       700
dtype: object",700,1745037223,,False,1,61574_00001,2025-04-19_00-33-43,23.765635013580322,23.765635013580322,3264335,node08,10.0.0.8,23.765635013580322,1,"(-0.04, 0.0017241379310344)",./exp_results/batch_ougrid_vip_0,batch_ougrid_vip_0_00001,61574_00001
2,"saveFolder    ./exp_results/batch_ougrid_vip_0
simLabel              batch_ougrid_vip_0_00002
ou_tuple            [-0.04, 0.003448275862068]
VIP2                                       0.0
VIP3                                       0.0
VIP4                                       0.0
VIP5A                                      0.0
VIP5B                                      0.0
VIP6                                       0.0
loss                                       700
dtype: object",700,1745037219,,False,1,61574_00002,2025-04-19_00-33-39,20.308058977127075,20.308058977127075,3264352,node08,10.0.0.8,20.308058977127075,1,"(-0.04, 0.0034482758620689)",./exp_results/batch_ougrid_vip_0,batch_ougrid_vip_0_00002,61574_00002
3,"saveFolder    ./exp_results/batch_ougrid_vip_0
simLabel              batch_ougrid_vip_0_00003
ou_tuple         [-0.04, 0.005172413793103001]
VIP2                                       0.0
VIP3                                       0.0
VIP4                                       0.0
VIP5A                                      0.0
VIP5B                                      0.0
VIP6                                       0.0
loss                                       700
dtype: object",700,1745037222,,False,1,61574_00003,2025-04-19_00-33-42,23.29477024078369,23.29477024078369,3264353,node08,10.0.0.8,23.29477024078369,1,"(-0.04, 0.0051724137931034)",./exp_results/batch_ougrid_vip_0,batch_ougrid_vip_0_00003,61574_00003
4,"saveFolder    ./exp_results/batch_ougrid_vip_0
simLabel              batch_ougrid_vip_0_00004
ou_tuple            [-0.04, 0.006896551724137]
VIP2                                       0.0
VIP3                                       0.0
VIP4                                       0.0
VIP5A                                      0.0
VIP5B                                      0.0
VIP6                                       0.0
loss                                       700
dtype: object",700,1745037241,,False,1,61574_00004,2025-04-19_00-34-01,42.28318762779236,42.28318762779236,3264386,node08,10.0.0.8,42.28318762779236,1,"(-0.04, 0.0068965517241379)",./exp_results/batch_ougrid_vip_0,batch_ougrid_vip_0_00004,61574_00004
5,"saveFolder    ./exp_results/batch_ougrid_vip_0
simLabel              batch_ougrid_vip_0_00005
ou_tuple            [-0.04, 0.008620689655172]
VIP2                                       0.0
VIP3                                       0.0
VIP4                                       0.0
VIP5A                                      0.0
VIP5B                                      0.0
VIP6                                       0.0
loss                                       700
dtype: object",700,1745037240,,False,1,61574_00005,2025-04-19_00-34-00,40.5763258934021,40.5763258934021,3264403,node08,10.0.0.8,40.5763258934021,1,"(-0.04, 0.0086206896551724)",./exp_results/batch_ougrid_vip_0,batch_ougrid_vip_0_00005,61574_00005
6,"saveFolder    ./exp_results/batch_ougrid_vip_0
simLabel              batch_ougrid_vip_0_00006
ou_tuple         [-0.04, 0.010344827586206001]
VIP2                                       0.0
VIP3                                       0.0
VIP4                                       0.0
VIP5A                                      0.0
VIP5B                                      0.0
VIP6                                       0.0
loss                                       700
dtype: object",700,1745037223,,False,1,61574_00006,2025-04-19_00-33-43,23.37417459487915,23.37417459487915,3264404,node08,10.0.0.8,23.37417459487915,1,"(-0.04, 0.0103448275862068)",./exp_results/batch_ougrid_vip_0,batch_ougrid_vip_0_00006,61574_00006
7,"saveFolder    ./exp_results/batch_ougrid_vip_0
simLabel              batch_ougrid_vip_0_00007
ou_tuple         [-0.04, 0.012068965517241001]
VIP2                                       0.0
VIP3                                       0.0
VIP4                                       0.0
VIP5A                                      0.0
VIP5B                                      0.0
VIP6                                       0.0
loss                                       700
dtype: object",700,1745037248,,False,1,61574_00007,2025-04-19_00-34-08,49.570191383361816,49.570191383361816,3264421,node08,10.0.0.8,49.570191383361816,1,"(-0.04, 0.0120689655172413)",./exp_results/batch_ougrid_vip_0,batch_ougrid_vip_0_00007,61574_00007
8,"saveFolder    ./exp_results/batch_ougrid_vip_0
simLabel              batch_ougrid_vip_0_00008
ou_tuple         [-0.04, 0.013793103448275001]
VIP2                                       0.0
VIP3                                  0.004739
VIP4                                       0.0
VIP5A                                      0.0
VIP5B                                      0.0
VIP6                                       0.0
loss                                       700
dtype: object",700,1745037257,,False,1,61574_00008,2025-04-19_00-34-17,57.677234411239624,57.677234411239624,3264438,node08,10.0.0.8,57.677234411239624,1,"(-0.04, 0.0137931034482758)",./exp_results/batch_ougrid_vip_0,batch_ougrid_vip_0_00008,61574_00008
9,"saveFolder    ./exp_results/batch_ougrid_vip_0
simLabel              batch_ougrid_vip_0_00009
ou_tuple         [-0.04, 0.015517241379310001]
VIP2                                       0.0
VIP3                                  0.009479
VIP4                                       0.0
VIP5A                                      0.0
VIP5B                                      0.0
VIP6                                  0.083333
loss                                       700
dtype: object",700,1745037222,,False,1,61574_00009,2025-04-19_00-33-42,22.844788789749146,22.844788789749146,3264477,node08,10.0.0.8,22.844788789749146,1,"(-0.04, 0.0155172413793103)",./exp_results/batch_ougrid_vip_0,batch_ougrid_vip_0_00009,61574_00009
