pop_name,ou_mean_min,ou_mean_max
NGF1,-0.01,0.015
NGF2,-0.01,0.015
NGF3,-0.01,0.015
NGF4,-0.01,0.015
NGF5A,-0.01,0.015
NGF5B,-0.01,0.015
NGF6,-0.01,0.015
SOM2,-0.01,0.01
SOM3,-0.01,0.01
SOM4,-0.05,0.015
SOM5A,-0.01,0.01
SOM5B,-0.01,0.01
SOM6,-0.01,0.01
PV2,0,0.025
PV3,0,0.025
PV4,0,0.025
PV5A,0,0.025
PV5B,0,0.025
PV6,0,0.025
VIP2,-0.01,0.015
VIP3,-0.01,0.015
VIP4,-0.01,0.015
VIP5A,-0.01,0.015
VIP5B,-0.01,0.015
VIP6,-0.01,0.015
IT2,-0.01,0.02
IT3,-0.01,0.02
IT6,-0.01,0.015
ITP4,-0.01,0.02
ITS4,-0.01,0.005
IT5A,-0.01,0.02
IT5B,-0.01,0.015
PT5B,-0.005,0.03
CT5A,-0.005,0.017
CT5B,-0.005,0.017
CT6,-0.005,0.017
TC,-0.01,0.015
TCM,-0.01,0.015
HTC,-0.01,0.015
IRE,-0.01,0.007
IREM,-0.01,0.007
TI,-0.01,0.015
TIM,-0.01,0.015
