pop_name,ou_mean_min,ou_mean_max
NGF1,-0.01,0.015
NGF2,-0.01,0.015
NGF3,-0.01,0.015
NGF4,-0.01,0.015
NGF5A,-0.01,0.015
NGF5B,-0.01,0.015
NGF6,-0.01,0.015
SOM2,-0.02,0.01
SOM3,-0.02,0.01
SOM4,-0.02,0.01
SOM5A,-0.015,0.015
SOM5B,-0.015,0.015
SOM6,-0.015,0.015
PV2,-0.015,0.02
PV3,-0.015,0.02
PV4,-0.02,0.02
PV5A,-0.01,0.02
PV5B,-0.01,0.02
PV6,-0.035,0.01
VIP2,-0.01,0.015
VIP3,-0.01,0.015
VIP4,-0.01,0.015
VIP5A,-0.01,0.015
VIP5B,-0.01,0.015
VIP6,-0.025,0.005
IT2,0,0.04
IT3,0,0.04
IT6,0,0.03
ITP4,-0.01,0.02
ITS4,-0.01,0.01
IT5A,-0.02,0.025
IT5B,0,0.02
PT5B,0,0.035
CT5A,0,0.025
CT5B,0,0.025
CT6,0,0.025
TC,-0.01,0.015
TCM,-0.01,0.015
HTC,-0.01,0.015
IRE,-0.01,0.01
IREM,-0.01,0.01
TI,-0.01,0.02
TIM,-0.01,0.02
