pop_name,ou_mean_min,ou_mean_max
NGF1,-0.02,0.03
NGF2,-0.02,0.03
NGF3,-0.02,0.03
NGF4,-0.02,0.03
NGF5A,-0.02,0.03
NGF5B,-0.02,0.03
NGF6,-0.02,0.03
SOM2,-0.02,0.03
SOM3,-0.02,0.03
SOM4,-0.02,0.03
SOM5A,-0.02,0.03
SOM5B,-0.02,0.03
SOM6,-0.02,0.03
PV2,-0.02,0.04
PV3,-0.02,0.04
PV4,-0.02,0.04
PV5A,-0.02,0.04
PV5B,-0.02,0.04
PV6,-0.02,0.04
VIP2,-0.02,0.02
VIP3,-0.02,0.02
VIP4,-0.02,0.02
VIP5A,-0.02,0.02
VIP5B,-0.02,0.02
VIP6,-0.02,0.02
IT2,-0.02,0.04
IT3,-0.02,0.04
IT6,-0.02,0.04
ITP4,-0.02,0.03
ITS4,-0.02,0.02
IT5A,-0.02,0.04
IT5B,-0.02,0.02
PT5B,-0.02,0.03
CT5A,-0.02,0.03
CT5B,-0.02,0.03
CT6,-0.02,0.03
TC,-0.02,0.02
TCM,-0.02,0.02
HTC,-0.02,0.02
IRE,-0.02,0.02
IREM,-0.02,0.02
TI,-0.02,0.02
TIM,-0.02,0.02
