pop_name,target_rate,target_cv
CT5A,0.5,0.38
CT5B,0.5,0.32
CT6,0.5,0.33
HTC,10.0,0.69
IRE,10.4,1.78
IREM,10.5,2.0
IT2,0.1,0.5
IT3,0.1,0.38
IT5A,2.5,0.08
IT5B,2.0,0.26
IT6,2.0,0.26
ITP4,2.1,0.28
ITS4,4.8,0.32
NGF1,20.3,0.62
NGF2,20.3,0.6
NGF3,20.3,0.62
NGF4,20.3,0.66
NGF5A,20.6,0.67
NGF5B,20.4,0.65
NGF6,20.6,0.6
PT5B,3.8,0.37
PV2,9.3,0.83
PV3,9.6,0.92
PV4,10.1,1.08
PV5A,9.2,1.06
PV5B,9.3,1.01
PV6,12.1,1.17
SOM2,5.6,0.4
SOM3,5.1,0.46
SOM4,7.5,0.2
SOM5A,4.9,0.5
SOM5B,4.9,0.55
SOM6,5.0,0.43
TC,9.9,0.69
TCM,9.9,0.73
TI,10.4,0.65
TIM,10.6,0.66
VIP2,13.9,0.41
VIP3,13.9,0.39
VIP4,14.2,0.34
VIP5A,14.2,0.37
VIP5B,13.8,0.36
VIP6,20.9,0.21
