pop_name,ou_mean_min,ou_mean_max,ou_std_min,ou_std_max
IT2,-0.0312,0.0319,0,0.03
IT3,-0.0311,0.0297,0,0.03
ITP4,-0.0357,0.0365,0,0.03
ITS4,-0.046,0.0074,0,0.03
IT5A,-0.0522,0.0252,0,0.03
CT5A,-0.0382,0.0367,0,0.03
IT5B,-0.0465,0.0288,0,0.03
CT5B,-0.0373,0.0371,0,0.03
PT5B,-0.0403,0.0213,0,0.03
IT6,-0.0307,0.0398,0,0.03
CT6,-0.0316,0.043,0,0.03
PV2,-0.0622,-0.0225,0,0.03
PV3,-0.0612,-0.0274,0,0.03
PV4,-0.0405,-0.0054,0,0.03
PV5A,-0.0331,0.003,0,0.03
PV5B,-0.0329,0.0032,0,0.03
PV6,-0.0406,-0.0088,0,0.03
SOM2,-0.0477,-0.0093,0,0.03
SOM3,-0.0475,-0.0092,0,0.03
SOM4,-0.0432,-0.0054,0,0.03
SOM5A,-0.0365,-0.001,0,0.03
SOM5B,-0.0372,-0.0013,0,0.03
SOM6,-0.0315,0.0029,0,0.03
VIP2,-0.05,0.0003,0,0.03
VIP3,-0.05,0.0003,0,0.03
VIP4,-0.0498,-0.0028,0,0.03
VIP5A,-0.0441,0.0057,0,0.03
VIP5B,-0.0474,0.0059,0,0.03
VIP6,-0.0588,-0.0137,0,0.03
NGF1,-0.0567,0.0106,0,0.03
NGF2,-0.0602,0.0135,0,0.03
NGF3,-0.062,0.0137,0,0.03
NGF4,-0.0577,0.0129,0,0.03
NGF5A,-0.0613,0.0124,0,0.03
NGF5B,-0.0592,0.0135,0,0.03
NGF6,-0.0544,0.0113,0,0.03
TC,-0.0601,0.0425,0,0.03
TCM,-0.0506,0.0693,0,0.03
HTC,-0.0608,0.0403,0,0.03
TI,-0.0466,0.0189,0,0.03
TIM,-0.0503,0.0207,0,0.03
IRE,-0.0648,0.007,0,0.03
IREM,-0.0688,0.0067,0,0.03
