pop_name,ou_mean_min,ou_mean_max,ou_std_min,ou_std_max
NGF1,-0.0528,0.0087,0,0.03
NGF2,-0.0561,0.0113,0,0.03
NGF3,-0.0574,0.01,0,0.03
NGF4,-0.054,0.0106,0,0.03
NGF5A,-0.057,0.0096,0,0.03
NGF5B,-0.0557,0.0097,0,0.03
NGF6,-0.0518,0.0087,0,0.03
PV2,-0.06,0.03,0,0.04
PV3,-0.06,0.03,0,0.04
PV4,-0.06,0.04,0,0.04
PV5A,-0.06,0.04,0,0.04
PV5B,-0.06,0.04,0,0.04
PV6,-0.06,0.04,0,0.04
SOM2,-0.02,0.01,0,0.02
SOM3,-0.02,0.01,0,0.02
SOM4,-0.02,0.01,0,0.02
SOM5A,-0.02,0.01,0,0.02
SOM5B,-0.02,0.01,0,0.02
SOM6,-0.02,0.01,0,0.02
VIP2,-0.03,0.02,0,0.03
VIP3,-0.03,0.02,0,0.03
VIP4,-0.04,0.01,0,0.03
VIP5A,-0.04,0.01,0,0.03
VIP5B,-0.04,0.01,0,0.03
VIP6,-0.04,0.01,0,0.03
TC,-0.0644,0.015,0,0.03
TCM,-0.064,0.0265,0,0.03
HTC,-0.065,0.015,0,0.03
TI,-0.0438,0.0142,0,0.03
TIM,-0.045,0.0152,0,0.03
IRE,-0.0586,0.0041,0,0.03
IREM,-0.0623,0.0045,0,0.03
IT2,-0.015,0.03,0,0.03
IT3,-0.015,0.03,0,0.03
ITS4,-0.015,0.02,0,0.03
ITP4,-0.025,0.04,0,0.03
IT5A,-0.025,0.02,0,0.03
CT5A,-0.025,0.05,0,0.03
IT5B,-0.025,0.02,0,0.03
CT5B,-0.025,0.05,0,0.03
PT5B,-0.025,0.02,0,0.03
IT6,-0.025,0.04,0,0.03
CT6,-0.015,0.05,0,0.03
