,pop,target_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,NGF1,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NGF2,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NGF3,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NGF4,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NGF5A,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NGF5B,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NGF6,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SOM2,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SOM3,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SOM4,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SOM5A,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SOM5B,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SOM6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PV2,9.3,320.3,317.5,,,,,,,,,293.4,320.5,178.2,202.0,318.9,313.8,315.8,320.2,318.9,321.2,170.4,176.1,,,,,,,,,322.2,318.2,,,,,,,,,316.5,318.2,,,,,,,,,233.7,320.7,,,,,,,,
14,PV3,9.6,291.6,316.6,,,,,,,,,305.3,315.8,179.3,202.3,319.2,314.9,316.7,320.7,319.4,322.3,170.8,175.8,,,,,,,,,322.9,319.6,,,,,,,,,316.1,317.7,,,,,,,,,287.2,320.6,,,,,,,,
15,PV4,10.1,,,29.5,32.3,,,,,,,,,179.0,181.1,,,,,,,178.0,178.3,50.9,46.8,89.1,82.7,95.5,69.1,73.2,79.2,,,117.6,171.3,,,,,,,,,116.5,174.6,,,,,,,,,20.7,80.8,,,,,,
16,PV5A,9.2,,,,,12.1,11.3,,,,,,,,,161.0,159.4,,,,,,,,,47.2,45.1,,,,,162.4,161.3,61.1,120.3,10.8,9.4,58.0,60.5,9.6,10.4,,,,,56.9,57.2,,,,,,,,,11.9,9.1,,,,
17,PV5B,9.3,,,,,,,10.3,9.9,,,,,,,,,166.8,168.6,,,,,,,,,50.3,33.8,,,,,,,,,63.4,65.5,,,167.0,167.7,69.9,132.4,61.7,61.5,9.6,10.2,9.8,9.4,,,,,,,9.4,9.7,,
18,PV6,12.1,,,,,,,,,14.0,17.1,,,,,,,,,13.4,14.7,,,,,,,,,26.4,31.1,,,,,,,,,12.7,12.7,,,,,,,,,16.5,11.3,12.6,8.4,12.1,33.5,22.2,16.4,10.7,18.3,11.3,11.6
19,VIP2,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,VIP3,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VIP4,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,VIP5A,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,VIP5B,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,VIP6,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,IT2,0.1,11.9,12.2,,,,,,,,,11.8,12.1,15.8,15.2,11.8,12.0,11.6,12.3,12.3,12.3,15.4,15.3,,,,,,,,,12.2,11.8,,,,,,,,,12.1,12.2,,,,,,,,,12.9,11.8,,,,,,,,
26,IT3,0.1,25.5,23.7,,,,,,,,,24.3,26.1,5.3,7.4,25.2,23.3,23.8,24.8,25.4,26.3,4.1,5.0,,,,,,,,,26.3,25.5,,,,,,,,,23.3,24.3,,,,,,,,,25.2,26.0,,,,,,,,
27,IT6,2.0,,,,,,,,,2.2,2.3,,,,,,,,,2.1,2.3,,,,,,,,,2.5,2.7,,,,,,,,,2.1,2.0,,,,,,,,,2.2,1.9,2.1,1.8,1.9,2.8,2.4,2.2,1.9,2.4,1.9,1.9
28,ITP4,2.1,,,3.0,3.3,,,,,,,,,36.9,36.4,,,,,,,37.4,37.1,4.9,4.5,7.4,6.6,8.0,5.5,6.6,7.2,,,12.0,37.2,,,,,,,,,11.4,37.6,,,,,,,,,2.5,7.4,,,,,,
29,ITS4,4.8,,,5.7,5.9,,,,,,,,,23.8,23.4,,,,,,,24.8,24.4,7.0,6.8,8.5,8.1,8.8,7.4,8.3,8.6,,,10.8,23.4,,,,,,,,,10.5,24.7,,,,,,,,,5.3,8.6,,,,,,
30,IT5A,2.5,,,,,8.1,6.9,,,,,,,,,31.5,31.7,,,,,,,,,28.3,28.3,,,,,31.6,31.6,28.6,29.2,6.2,4.1,28.3,28.5,4.3,5.8,,,,,28.5,28.3,,,,,,,,,8.1,4.3,,,,
31,IT5B,2.0,,,,,,,2.5,2.2,,,,,,,,,28.2,28.2,,,,,,,,,20.3,14.0,,,,,,,,,26.3,26.1,,,28.1,28.3,25.5,27.5,25.7,25.9,2.3,2.6,2.3,2.0,,,,,,,2.1,2.0,,
32,PT5B,3.8,,,,,,,4.7,4.5,,,,,,,,,42.9,43.2,,,,,,,,,13.5,10.0,,,,,,,,,15.2,16.0,,,43.0,43.4,14.8,34.2,15.5,15.7,4.7,4.8,4.4,4.1,,,,,,,3.8,4.2,,
33,CT5A,0.5,,,,,0.7,0.6,,,,,,,,,10.1,10.4,,,,,,,,,1.3,1.4,,,,,11.7,10.6,2.0,5.4,0.7,0.6,4.5,5.3,0.6,0.6,,,,,4.4,4.7,,,,,,,,,0.7,0.6,,,,
34,CT5B,0.5,,,,,,,0.7,0.5,,,,,,,,,34.8,35.1,,,,,,,,,2.7,1.8,,,,,,,,,4.1,4.7,,,35.0,35.9,3.3,11.2,4.0,4.1,0.7,0.7,0.7,0.5,,,,,,,0.5,0.6,,
35,CT6,0.5,,,,,,,,,0.5,0.6,,,,,,,,,0.5,0.5,,,,,,,,,0.9,1.1,,,,,,,,,0.5,0.5,,,,,,,,,0.5,0.4,0.5,0.4,0.5,1.1,0.7,0.6,0.5,0.6,0.5,0.5
36,TC,9.9,,9.9,,10.0,,10.0,,10.3,,9.8,,10.0,,10.4,,10.4,,11.7,,9.9,,10.4,,9.9,,9.7,,9.9,,9.9,,10.4,,9.9,,10.0,,10.7,,10.2,,11.7,,10.3,,10.8,,10.2,,10.3,,9.9,,9.9,,10.2,,10.3,,9.9
37,TCM,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,HTC,10.0,,9.4,,9.1,,9.2,,9.9,,9.4,,9.6,,8.8,,10.5,,10.9,,9.6,,8.7,,8.9,,9.9,,9.9,,9.6,,10.5,,10.1,,9.2,,10.3,,9.8,,10.9,,10.2,,10.3,,10.1,,9.1,,9.5,,9.5,,9.8,,9.1,,9.5
39,IRE,10.4,,10.7,,9.1,,9.6,,8.8,,9.6,,10.6,,10.8,,9.8,,10.2,,10.3,,10.9,,9.2,,9.5,,10.0,,8.4,,9.9,,9.5,,9.6,,8.0,,9.8,,10.3,,10.0,,8.2,,8.8,,10.7,,10.3,,8.6,,9.7,,10.7,,9.5
40,IREM,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,TI,10.4,,10.8,,10.5,,10.7,,11.1,,10.8,,10.8,,10.8,,11.0,,11.0,,11.0,,10.9,,10.4,,11.0,,10.7,,10.9,,11.1,,11.0,,10.8,,10.9,,11.0,,11.1,,10.8,,10.9,,11.2,,10.9,,10.8,,10.9,,10.9,,11.0,,10.9
42,TIM,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
