,pop,target_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,NGF1,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NGF2,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NGF3,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NGF4,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NGF5A,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NGF5B,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NGF6,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SOM2,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SOM3,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SOM4,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SOM5A,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SOM5B,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SOM6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PV2,9.3,7.8,6.8,,,,,,,,,10.2,5.7,0.0,0.0,0.0,7.8,0.0,28.6,4.2,0.0,0.0,0.0,,,,,,,,,8.2,6.3,,,,,,,,,86.3,70.5,,,,,,,,,8.2,10.2,,,,,,,,
14,PV3,9.6,8.2,8.4,,,,,,,,,11.0,7.0,0.0,0.0,0.0,9.1,0.0,32.2,5.8,0.0,0.0,0.0,,,,,,,,,10.0,6.8,,,,,,,,,91.5,75.4,,,,,,,,,8.9,8.1,,,,,,,,
15,PV4,10.1,,,0.0,0.0,,,,,,,,,310.6,309.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.7,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,288.9,,,,,,,,,0.0,277.1,,,,,,
16,PV5A,9.2,,,,,6.9,6.7,,,,,,,,,251.7,7.6,,,,,,,,,0.4,0.4,,,,,11.1,6.5,0.4,0.4,6.7,7.3,6.2,140.3,7.0,7.6,,,,,143.1,7.3,,,,,,,,,7.9,7.4,,,,
17,PV5B,9.3,,,,,,,109.9,127.3,,,,,,,,,257.6,61.7,,,,,,,,,0.5,168.6,,,,,,,,,5.7,144.0,,,127.6,124.3,0.5,170.1,144.4,6.5,129.2,128.6,7.6,14.7,,,,,,,40.8,131.7,,
18,PV6,12.1,,,,,,,,,18.7,19.9,,,,,,,,,2.7,34.8,,,,,,,,,0.8,2.2,,,,,,,,,1.3,9.1,,,,,,,,,1.8,21.0,15.1,2.3,0.9,36.9,7.2,5.6,68.5,244.9,4.8,7.1
19,VIP2,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,VIP3,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VIP4,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,VIP5A,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,VIP5B,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,VIP6,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,IT2,0.1,0.1,0.1,,,,,,,,,0.2,0.1,4.2,5.0,15.4,0.1,14.8,0.1,0.0,16.5,0.0,0.0,,,,,,,,,0.1,0.1,,,,,,,,,0.1,0.1,,,,,,,,,0.0,0.1,,,,,,,,
26,IT3,0.1,0.1,0.1,,,,,,,,,0.1,0.1,9.8,9.6,18.6,0.1,18.1,0.2,0.1,17.8,0.0,0.0,,,,,,,,,0.1,0.1,,,,,,,,,0.4,0.3,,,,,,,,,0.1,0.1,,,,,,,,
27,IT6,2.0,,,,,,,,,2.2,2.2,,,,,,,,,1.7,2.6,,,,,,,,,1.5,1.6,,,,,,,,,1.5,2.0,,,,,,,,,1.6,2.0,2.0,1.6,1.6,0.6,2.0,1.8,2.3,7.9,1.8,1.8
28,ITP4,2.1,,,0.1,0.0,,,,,,,,,39.0,38.9,,,,,,,0.1,0.1,0.0,0.1,0.1,0.0,0.1,38.4,0.1,0.1,,,0.1,0.1,,,,,,,,,0.0,39.1,,,,,,,,,0.1,38.1,,,,,,
29,ITS4,4.8,,,0.7,0.8,,,,,,,,,11.9,11.4,,,,,,,0.7,0.9,0.8,0.7,0.7,0.7,0.9,9.1,0.7,0.9,,,0.9,0.7,,,,,,,,,0.7,10.4,,,,,,,,,0.9,8.3,,,,,,
30,IT5A,2.5,,,,,0.0,0.0,,,,,,,,,24.5,0.2,,,,,,,,,0.0,0.0,,,,,3.4,0.2,0.0,0.0,0.0,0.0,0.1,18.1,0.1,0.1,,,,,18.5,0.1,,,,,,,,,0.0,0.0,,,,
31,IT5B,2.0,,,,,,,23.3,23.4,,,,,,,,,23.7,22.1,,,,,,,,,1.5,22.9,,,,,,,,,1.8,22.0,,,23.2,23.0,1.6,22.8,21.8,1.9,23.7,23.5,1.9,4.5,,,,,,,15.8,23.2,,
32,PT5B,3.8,,,,,,,26.6,28.7,,,,,,,,,31.8,11.1,,,,,,,,,1.4,28.4,,,,,,,,,1.9,28.0,,,28.6,27.4,1.5,29.3,28.9,2.7,29.5,29.5,2.8,6.1,,,,,,,7.7,27.5,,
33,CT5A,0.5,,,,,0.5,0.6,,,,,,,,,36.7,0.6,,,,,,,,,0.4,0.2,,,,,0.8,0.6,0.4,0.3,0.7,0.5,0.4,40.0,0.5,0.7,,,,,39.3,0.4,,,,,,,,,0.7,0.6,,,,
34,CT5B,0.5,,,,,,,25.9,35.7,,,,,,,,,38.9,3.9,,,,,,,,,0.2,36.9,,,,,,,,,0.3,36.8,,,35.4,35.2,0.3,36.6,36.4,0.3,36.7,36.1,0.3,0.7,,,,,,,1.6,35.8,,
35,CT6,0.5,,,,,,,,,0.5,0.5,,,,,,,,,0.4,0.6,,,,,,,,,0.2,0.2,,,,,,,,,0.4,0.5,,,,,,,,,0.3,0.5,0.5,0.4,0.1,32.2,0.4,0.4,0.6,6.6,0.4,0.4
36,TC,9.9,,10.6,,10.6,,10.8,,14.6,,10.2,,10.7,,11.7,,11.1,,11.3,,11.1,,11.6,,10.4,,10.7,,15.2,,11.0,,10.9,,10.8,,10.6,,18.2,,10.1,,14.7,,15.4,,11.3,,14.8,,10.7,,11.1,,18.8,,10.2,,16.2,,10.1
37,TCM,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,HTC,10.0,,11.4,,11.3,,11.6,,15.3,,10.2,,11.6,,11.5,,11.7,,10.8,,11.1,,11.4,,11.3,,10.7,,15.9,,10.6,,11.6,,11.0,,11.4,,17.7,,10.4,,14.3,,15.8,,11.4,,15.1,,11.9,,10.8,,18.0,,10.3,,16.8,,10.1
39,IRE,10.4,,13.8,,14.1,,13.8,,14.8,,14.8,,13.9,,12.3,,13.2,,14.2,,13.8,,12.3,,14.1,,13.9,,13.7,,13.7,,13.3,,13.9,,13.5,,15.0,,14.6,,15.2,,13.8,,13.3,,14.7,,13.9,,13.9,,15.6,,14.6,,15.1,,14.6
40,IREM,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,TI,10.4,,9.3,,10.2,,10.2,,9.8,,9.9,,9.7,,10.5,,10.0,,10.1,,10.3,,10.6,,10.0,,10.3,,10.6,,9.8,,10.0,,10.2,,9.8,,10.5,,9.2,,10.7,,10.9,,10.0,,10.4,,9.3,,10.5,,10.4,,9.6,,9.9,,9.9
42,TIM,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
