ou_mean,ou_std,IT5A_V_num_-200_0,IT5A_V_mean_-200_0,IT5A_V_median_-200_0,IT5A_V_num_-200_-70,IT5A_V_mean_-200_-70,IT5A_V_median_-200_-70,IT5A_V_num_-70_-50,IT5A_V_mean_-70_-50,IT5A_V_median_-70_-50,IT5A_V_num_-50_0,IT5A_V_mean_-50_0,IT5A_V_median_-50_0
-0.0068421052631578,0.0063157894736842,319996,-92.50286605151958,-92.49143514410505,319996,-92.50286605151958,-92.49143514410505,0,,,0,,
-0.0005263157894736,0.0110526315789473,319964,-81.82717684707318,-81.79558168565549,310695,-82.25652206053185,-82.025539670384,9216,-67.64751833776326,-68.22911928218272,53,-30.587964135258535,-32.72059061133679
-0.0068421052631578,0.0236842105263157,319740,-91.7879512601033,-91.73793103276704,306143,-93.00794611086361,-92.43524699085606,13187,-65.40072381059429,-66.36029786741639,410,-29.533036090254377,-31.240565438883237
0.0089473684210526,0.0205263157894736,314199,-71.81780840035569,-72.1001328581879,183772,-79.06086349608024,-77.82931544771672,120940,-64.06949732143008,-64.86454690831701,9487,-30.28834922820012,-33.13701332361305
0.0373684210526315,0.0110526315789473,315548,-28.73550916635876,-23.469307647445635,230,-71.49032189846908,-71.14113102790056,45210,-60.61407575156949,-60.98322319892984,270108,-23.363348392720937,-23.20571011146386
0.0468421052631579,0.0110526315789473,319996,-22.396436565180974,-22.479325838006012,0,,,0,,,319996,-22.396436565180974,-22.479325838006012
0.0405263157894736,0.0284210526315789,319996,-22.60487580076169,-22.880135074119494,0,,,0,,,319996,-22.60487580076169,-22.880135074119494
0.0026315789473684,0.0236842105263157,317914,-80.00582084491712,-79.88605335941693,257883,-84.03716973991924,-82.79106753166558,56589,-64.67107382472547,-65.61188094028333,3442,-30.081838287040785,-32.79565862689262
0.0247368421052631,0.0031578947368421,310570,-62.567684957031304,-65.07029564692814,6042,-70.57113276553582,-70.43325958606555,287151,-64.25258710377675,-65.273733458542,17377,-31.942250877554155,-35.906107764422515
0.0026315789473684,0.0268421052631578,318356,-62.59664320962692,-72.52414757560621,172850,-85.6045054747113,-84.19116096912768,37048,-64.27862045203543,-65.14420411165972,108458,-25.35436614941392,-25.339223113190336
0.0373684210526315,0.03,319996,-22.804608807619825,-23.09055155071067,0,,,0,,,319996,-22.804608807619825,-23.09055155071067
-0.01,0.0189473684210526,319988,-96.41355066844375,-96.38134841382833,318529,-96.55283709356416,-96.44335107305965,1446,-66.35923496937352,-67.35854098007917,13,-26.55007325805263,-28.130866175574216
0.0089473684210526,0.0189473684210526,318428,-45.0994140845975,-26.84714009678236,88009,-78.91634834321837,-77.97228552399825,41550,-64.50196648144059,-65.40583476866259,188869,-25.072990376864688,-25.05950950534768
0.0405263157894736,0.0047368421052631,294493,-55.69595409785218,-59.715728521566376,0,,,253081,-59.683789636541384,-60.29560739393499,41412,-31.32510975401452,-34.94221127497083
0.0342105263157894,0.0126315789473684,319996,-23.324533062877293,-23.3953300264995,0,,,0,,,319996,-23.324533062877293,-23.3953300264995
0.0121052631578947,0.0126315789473684,315970,-65.93317188508254,-69.38733414963059,148083,-75.36224132687751,-74.64636808697426,137089,-64.64343644250688,-65.48481462691807,30798,-26.337212794814917,-25.047620318356834
0.0057894736842105,0.0284210526315789,318212,-50.63987309436757,-29.131438089282966,115346,-84.7093956656352,-83.25013355704334,32116,-64.14784390959464,-65.12752061778012,170750,-25.084352501645697,-25.1071072037277
-0.0005263157894736,0.0252631578947368,318585,-83.86760176913027,-83.61343723326496,275500,-87.11085006188945,-85.8435690771278,40787,-65.00689152653474,-66.00440932875256,2298,-29.801841982184246,-32.11751780188979
0.0310526315789473,0.0142105263157894,319996,-23.535920499592823,-23.6177817818035,0,,,0,,,319996,-23.535920499592823,-23.6177817818035
0.0405263157894736,0.001578947368421,303683,-57.93428725043932,-61.47231314353152,0,,,271494,-60.92283274389581,-61.92224815821446,32189,-32.72778284829976,-37.03876026957803
0.0468421052631579,0.0189473684210526,319996,-22.299969996389677,-22.4537709116111,0,,,0,,,319996,-22.299969996389677,-22.4537709116111
0.0057894736842105,0.0252631578947368,318231,-51.09062316589361,-29.749523591048998,118414,-83.36199526860352,-82.24031364741631,34621,-64.24315339434301,-65.27294884813982,165196,-25.201763839944817,-25.179321963158145
0.0278947368421052,0.03,319996,-23.484915256258173,-23.71328427579156,0,,,0,,,319996,-23.484915256258173,-23.71328427579156
-0.0005263157894736,0.0078947368421052,319996,-81.8881862566368,-81.86439846826582,318879,-81.93517103455015,-81.8850909398166,1117,-68.47506271480692,-68.73359837948999,0,,
0.0405263157894736,0.0205263157894736,319996,-22.749210775131253,-22.917124941543385,0,,,0,,,319996,-22.749210775131253,-22.917124941543385
-0.0068421052631578,0.0094736842105263,319996,-92.34552752749535,-92.32990290190762,319994,-92.34566744967043,-92.32994331691239,2,-69.95839928257826,-69.95839928257826,0,,
0.0057894736842105,0.0142105263157894,318233,-73.93401350200845,-74.19518285894485,224041,-77.96862534754206,-77.22765516646952,91181,-65.44798196346764,-66.31284076193825,3011,-30.70796542180256,-33.87065690592898
0.0278947368421052,0.0173684210526315,319996,-23.719723939798182,-23.824851701061718,0,,,0,,,319996,-23.719723939798182,-23.824851701061718
0.0373684210526315,0.0268421052631578,319996,-22.86955273996439,-23.10980478765434,0,,,0,,,319996,-22.86955273996439,-23.10980478765434
-0.01,0.0142105263157894,319996,-96.73237744130653,-96.70879846692371,319900,-96.74107281759701,-96.71159575454666,96,-67.75684748990311,-68.33602120778208,0,,
-0.0068421052631578,0.0078947368421052,319996,-92.4275807099218,-92.41403712072619,319996,-92.4275807099218,-92.41403712072619,0,,,0,,
0.0373684210526315,0.0047368421052631,297838,-56.80440172787154,-60.36093513246311,68,-71.05542805766795,-71.09623491140636,260952,-60.37872767768592,-60.87741425627131,36818,-31.444616431375565,-35.04367947340997
0.0405263157894736,0.0252631578947368,319996,-22.66678003649628,-22.892263287076148,0,,,0,,,319996,-22.66678003649628,-22.892263287076148
0.0310526315789473,0.0268421052631578,319996,-23.327150093590184,-23.537318465229617,0,,,0,,,319996,-23.327150093590184,-23.537318465229617
