ou_mean,ou_std,PV4_V_num_-200_0,PV4_V_mean_-200_0,PV4_V_median_-200_0,PV4_V_num_-200_-70,PV4_V_mean_-200_-70,PV4_V_median_-200_-70,PV4_V_num_-70_-50,PV4_V_mean_-70_-50,PV4_V_median_-70_-50,PV4_V_num_-50_0,PV4_V_mean_-50_0,PV4_V_median_-50_0
0.025,0.015,715895,-44.74108698285045,-46.260097210070015,5128,-76.0331021970056,-74.49047467669189,208686,-54.85756720728129,-54.02762074443915,502081,-40.21665119234303,-43.561434689151675
0.0217142857142857,0.0085714285714285,713271,-44.434575630393056,-46.71669579588126,39,-71.70935381753951,-71.4861645608342,172989,-53.336220606963735,-52.69931605459702,540243,-41.58224736477689,-45.18343681270424
0.0085714285714285,0.0,799990,-57.1530601032696,-57.152360711323794,0,,,799990,-57.1530601032696,-57.152360711323794,0,,
0.0052857142857142,0.0064285714285714,799990,-63.595870312625266,-62.7613756068519,119726,-74.70578889913116,-73.36222413797402,679343,-61.65999109916965,-61.65602810341912,921,-47.287379344744586,-49.199921209687574
0.0151428571428571,0.0085714285714285,770141,-49.141052550446844,-50.51133499581642,2481,-73.37164198225548,-72.23012542283787,413422,-54.58298425209682,-53.70842578975709,354238,-42.62020955692313,-46.25208943271848
0.002,0.0064285714285714,799990,-70.55835127714201,-69.48181998494442,380012,-77.45995080824383,-75.88804243785977,419882,-64.31758264295517,-64.7723044972962,96,-46.55600384586213,-48.13641773710381
0.0085714285714285,0.0021428571428571,799990,-57.266353191581224,-57.200380818873874,0,,,799990,-57.266353191581224,-57.200380818873874,0,,
0.025,0.0021428571428571,688897,-42.251645478703175,-44.91324608557586,0,,,66274,-54.10909754949015,-54.51878227012645,622623,-40.989500041513516,-44.427878222839006
0.0217142857142857,0.0128571428571428,728432,-45.78218023903761,-47.33918196651631,4277,-75.27984087684376,-73.67152424910195,243988,-54.72401311415677,-53.83565751092303,480167,-40.97580784342844,-44.42325850645066
0.0085714285714285,0.0085714285714285,799772,-58.77691763535979,-57.969343484013294,60146,-75.54730952345093,-73.93473179659458,679469,-58.50312338451756,-57.969478506459765,60157,-45.10207871926348,-47.57688921407719
0.0118571428571428,0.0,799990,-52.779122361478784,-52.777027662976494,0,,,799990,-52.779122361478784,-52.777027662976494,0,,
0.0052857142857142,0.015,799722,-68.6276905942336,-65.012435236485,307966,-86.13696698377697,-82.20653438628963,421216,-59.83888303597104,-59.69438408356744,70540,-44.66574775157754,-46.145979410252934
0.002,0.015,799934,-76.6022151107837,-72.56551556670993,441605,-90.44540830658075,-86.2962829284542,330059,-60.74299212797924,-60.90026039953827,28270,-45.51823729866896,-47.156926242394164
0.0151428571428571,0.0021428571428571,747645,-47.18731484167453,-49.525032073918005,0,,,313050,-51.980680317214826,-51.365505534423136,434595,-43.73452992211056,-48.13620247117216
0.0052857142857142,0.0128571428571428,799900,-67.18344580743377,-64.37944880625034,278657,-83.05426814579471,-79.74566384640751,472643,-60.09986203454054,-60.01431534349291,48600,-45.074197758687944,-46.86605642721267
