ou_mean,ou_std,PV4_V_num_-200_0,PV4_V_mean_-200_0,PV4_V_median_-200_0,PV4_V_num_-200_-70,PV4_V_mean_-200_-70,PV4_V_median_-200_-70,PV4_V_num_-70_-50,PV4_V_mean_-70_-50,PV4_V_median_-70_-50,PV4_V_num_-50_0,PV4_V_mean_-50_0,PV4_V_median_-50_0
0.04,0.0102631578947368,260028,-39.02781450555815,-41.036520580771594,0,,,34217,-53.67098861476856,-53.40169689329613,225811,-36.808943465197615,-39.97527592264455
0.02,0.0039473684210526,284508,-44.30962218692599,-46.99251850291441,0,,,46495,-52.95920853366862,-51.90977967969812,238013,-42.619956004020864,-46.216664953949056
0.022,0.0078947368421052,283819,-44.10594198985953,-46.451426745326344,0,,,61348,-53.17820567345077,-52.5038358075378,222471,-41.60419914490016,-45.155568717934145
0.028,0.0126315789473684,277531,-42.62393443800565,-44.69472226717594,116,-73.30681398111074,-73.13029304488202,54476,-53.81583067942439,-53.40715928912784,222939,-39.87318668335291,-43.16802897500368
0.022,0.0039473684210526,280738,-43.43732548666387,-46.12772318910967,0,,,33134,-53.622745691885825,-53.542266149010274,247604,-42.07432766320452,-45.54604244192251
0.032,0.0086842105263157,269557,-40.52592820728457,-42.77646875007097,0,,,28730,-53.31501803013442,-53.485322467131795,240827,-39.00022489905719,-42.09367449467181
0.02,0.0118421052631578,294758,-46.40687590943897,-47.983542969565875,1227,-74.49411550492837,-72.89924501916543,108799,-54.72308846238109,-53.81767851652631,184732,-41.322436545759615,-44.825459781890984
0.006,0.001578947368421,319996,-61.01925405143456,-60.97479099545485,0,,,319996,-61.01925405143456,-60.97479099545485,0,,
0.028,0.0063157894736842,273026,-41.55298800706775,-43.942328536125714,0,,,28379,-53.61208575629597,-53.8945769440765,244647,-40.154135231332326,-43.35300820198694
0.038,0.0118421052631578,262950,-39.69268718069154,-41.781132596898914,0,,,36375,-53.752781454848176,-53.48324980478276,226575,-37.435439341245676,-40.621493971205055
0.032,0.0047368421052631,268268,-40.27068771423559,-42.57355783131122,0,,,26126,-53.36477124254996,-53.6954910703907,242142,-38.857896764046274,-42.01837820055151
0.03,0.0047368421052631,270253,-40.833677505121365,-43.216276051356424,0,,,26366,-53.584821798100315,-53.92379667882911,243887,-39.45518389771841,-42.67877808311415
0.022,0.0,279680,-43.257177037040876,-46.031572926307234,0,,,26044,-54.44219799212358,-54.8986193528093,253636,-42.10867017778521,-45.60922392064521
0.022,0.0071052631578947,283013,-43.92042616654862,-46.353473584593445,0,,,55156,-53.084367205073185,-52.38557354175598,227857,-41.70216501187327,-45.2261702523171
0.006,0.0086842105263157,319996,-63.29941901482205,-61.947605055824305,63092,-76.75976218779394,-74.87867406378139,250474,-60.351792348992866,-60.19098799517526,6430,-46.046521662995545,-48.40325838095548
0.032,0.0126315789473684,271599,-41.24587378825252,-43.37553672104198,8,-70.4242909213626,-70.44024262297292,41957,-53.64381688832111,-53.37960844198143,229634,-38.97959821065232,-42.16958665292131
0.022,0.0126315789473684,289957,-45.47010454859235,-47.14882448043725,1104,-74.82507834138848,-73.14879774942878,93588,-54.62154787168366,-53.776929628876914,195265,-40.91796684450449,-44.41249461467747
0.008,0.0086842105263157,319951,-59.71829998340912,-58.759694112572355,31328,-75.67133593004058,-74.16828636157818,268466,-58.94332558193646,-58.450781038860704,20157,-45.2457875822429,-47.68168229286318
0.038,0.0023684210526315,262898,-38.6041815128038,-40.62602927161028,0,,,24739,-52.69102258972892,-52.983218819641614,238159,-37.14089706249099,-40.05787169623189
0.006,0.0,319996,-60.96813103191721,-60.967930941719025,0,,,319996,-60.96813103191721,-60.967930941719025,0,,
0.006,0.0142105263157894,319876,-66.4020863739896,-63.24036257428536,107564,-84.29010177170959,-80.81802245567008,180477,-59.60858431764632,-59.31125551539392,31835,-44.4754139185889,-45.89654215240878
0.028,0.0007894736842105,271679,-41.31669809277247,-43.84049033769686,0,,,26658,-53.78923288502904,-54.16502280318244,245021,-39.959700804817665,-43.32484742350989
0.016,0.0071052631578947,302599,-47.7082301188598,-49.6283126126668,46,-70.97665276384402,-71.09485412600469,140925,-53.54140113264818,-52.83717156199295,161628,-42.615610198055236,-46.597148353680964
0.026,0.0118421052631578,280314,-43.24033468672747,-45.29836353822143,126,-72.83165260691015,-72.62211480791636,60122,-53.80488797358588,-53.292440791513854,220066,-40.337157554546934,-43.694217662501714
0.006,0.0118421052631578,319957,-64.94596743003801,-62.65553660966379,92248,-80.9286929764724,-78.12682076753555,206351,-59.86819456375796,-59.624382960445814,21358,-44.973546909496655,-46.83258262634747
0.01,0.0126315789473684,318747,-58.10173340011051,-56.70102186261139,44059,-78.93690471574364,-76.37690173941209,208529,-58.26153353713113,-57.5490545911825,66159,-43.72274073443767,-45.59219931118269
0.036,0.0031578947368421,264559,-39.14951798980934,-41.273836734070485,0,,,25245,-52.913937884935976,-53.21611970411591,239314,-37.697522785799244,-40.71212067855651
0.018,0.0142105263157894,303595,-48.96295023283784,-49.472761106145,8881,-76.86313511136723,-74.76969043411661,134479,-56.04001048926688,-54.99874932276224,160235,-41.47708554578108,-44.42232700362176
0.016,0.0063157894736842,301415,-47.48079291041505,-49.551761735989096,0,,,137222,-53.159331699359484,-52.51340157218165,164193,-42.73503365334238,-46.85475014147248
0.02,0.0023684210526315,283659,-44.12465112619434,-46.912710375609464,0,,,33133,-53.66804110154471,-53.57454467189902,250526,-42.8625021274745,-46.39380166064251
0.024,0.0094736842105263,281432,-43.53214878852132,-45.7812506622284,0,,,57406,-53.446311003781545,-52.9287448648954,224026,-40.99167403947778,-44.41986056740852
0.006,0.0031578947368421,319996,-61.25023151772698,-61.065013524172365,1043,-71.21685255469646,-70.85944708517496,318953,-61.21763992667264,-61.05348795173171,0,,
0.028,0.0086842105263157,274446,-41.807390853382586,-44.09533142286108,0,,,34771,-53.331170837695716,-53.28510842896856,239675,-40.13557129007999,-43.308136958141624
0.016,0.0126315789473684,308009,-50.01154035636135,-50.54020537203058,8606,-76.01384991151565,-74.09689244875355,154639,-56.05126704437515,-55.009866464848706,144764,-42.01401907110106,-44.90601852513211
0.036,0.0094736842105263,265065,-39.632214478946835,-41.75597494975477,0,,,29961,-53.375173596129684,-53.36703032805942,235104,-37.88084998446817,-40.9660474867388
0.016,0.0110526315789473,306814,-49.30280970096333,-50.30753096247278,3731,-74.88636002439686,-73.45630780832784,155624,-55.49401188409631,-54.47854638224631,147459,-42.12147878996694,-45.37777720619456
0.04,0.015,261387,-39.96502648992858,-42.00649448102745,0,,,45222,-54.20501741026567,-53.701327898140036,216165,-36.9860018124855,-40.29505203409137
0.028,0.0047368421052631,272486,-41.431159432956996,-43.89273036633047,0,,,26779,-53.76090696981652,-54.1343408749839,245707,-40.08737065490199,-43.35001304417894
0.04,0.0078947368421052,260249,-38.567796508300084,-40.55702548002984,0,,,29603,-53.20897006817056,-53.1217312133046,230646,-36.688628168537655,-39.729206254308366
0.028,0.015,279964,-43.32004209157637,-45.09558126809877,694,-75.59905213145394,-74.35814626014138,67324,-54.51855519639681,-53.82673028451353,211946,-39.65717358150019,-42.95678660953714
0.03,0.0126315789473684,274600,-41.9140790378518,-44.030782099038774,69,-71.76890042943283,-71.42988997798406,47985,-53.648321377251285,-53.2790992223032,226546,-39.41954105734408,-42.65387782339567
0.024,0.0071052631578947,279397,-43.07276892084553,-45.50906100216556,0,,,42088,-53.247268006115995,-52.80930813404042,237309,-41.26826796428313,-44.64276420971463
0.012,0.001578947368421,319996,-52.58184743841532,-52.579159634084576,0,,,318240,-52.60818420604816,-52.586324990198236,1756,-47.80883324053521,-49.57408922598925
0.016,0.0094736842105263,305271,-48.630949733818724,-50.032566028453964,1112,-73.84680317465205,-72.74071389671724,152271,-54.745088656439215,-53.84066973872797,151888,-42.31678352639909,-45.89518842492649
0.022,0.0055263157894736,281582,-43.59780954658422,-46.21026768737511,0,,,42259,-53.18288958797682,-52.50524883661084,239323,-41.905302359773046,-45.407423194710326
0.006,0.0071052631578947,319996,-62.562853026907355,-61.626011389681274,43462,-74.92920358379831,-73.58188215349493,274583,-60.71950082720892,-60.569073221491585,1951,-46.513057612348305,-48.633525726937464
0.014,0.0039473684210526,310274,-48.856454033492675,-50.608789654352854,0,,,182043,-52.48895019356752,-52.062251220788056,128231,-43.69958480164939,-47.951256095435454
0.028,0.0031578947368421,272022,-41.361591406834755,-43.869315424410814,0,,,26531,-53.79143131223174,-54.16879105423866,245491,-40.01825872852849,-43.349483387097784
0.036,0.0142105263157894,266430,-40.576845361806306,-42.69614176606336,0,,,43896,-53.97214004485521,-53.62660588701695,222534,-37.93455314844964,-41.1979318760244
0.032,0.0063157894736842,268777,-40.33921910704231,-42.621622184356944,0,,,26262,-53.37618897827712,-53.67866387089276,242515,-38.92744291687523,-42.049805385026715
0.002,0.0126315789473684,319996,-74.71042003770616,-71.48703887009913,171116,-86.93351491101313,-83.70324924051157,143366,-61.227949641021716,-61.51489311453696,5514,-45.94015318066338,-47.93155381894714
0.014,0.0078947368421052,311791,-50.14516001542584,-51.35064183202153,739,-72.95585318733411,-71.85256777418593,188546,-54.71809909134509,-53.91415499441818,122506,-42.96945863539292,-46.53917130835082
0.016,0.0047368421052631,298960,-47.038361475920034,-49.36675007734523,0,,,125617,-52.54515677219794,-51.91235887234602,173343,-43.04773534892014,-47.30329489393569
0.022,0.0047368421052631,281085,-43.5061604436368,-46.14652265828919,0,,,37632,-53.3615536326074,-52.90945184176461,243453,-41.982752818808436,-45.469753408796436
0.002,0.0039473684210526,319996,-69.32262761470172,-68.89837485485032,132657,-74.09698645202339,-73.2974531138555,187339,-65.94184667596191,-66.3007444982427,0,,
0.014,0.0071052631578947,311415,-49.85318563525348,-51.201457040545556,247,-72.6072425322501,-72.2805687884529,188297,-54.25083102342987,-53.537814664639065,122871,-43.06815348193005,-46.79409523437121
0.024,0.0078947368421052,279963,-43.204406338245,-45.58753105364187,0,,,46903,-53.23929924310832,-52.79300034417856,233060,-41.18489813470599,-44.587976612229966
0.026,0.0007894736842105,274054,-41.90897265171222,-44.52468435894255,0,,,26715,-53.98614563955084,-54.395525162890365,247339,-40.604521366754696,-44.034513468618464
0.012,0.015,316777,-56.32106841553349,-54.733647917846135,42116,-80.54336725420426,-77.52621111170347,177175,-57.95537873666254,-57.13153856176471,97486,-42.88626476131138,-44.6225415389987
0.038,0.001578947368421,262866,-38.60606534281999,-40.63171875360932,0,,,24723,-52.688738511945424,-52.97379365755583,238143,-37.14406171995353,-40.058371997319114
0.002,0.001578947368421,319996,-68.70916129830363,-68.64450214142607,80690,-71.25905078716094,-70.98616698483161,239306,-67.84938100505612,-68.00775362724475,0,,
0.032,0.0,267668,-40.21175474628849,-42.52355656298107,0,,,26352,-53.33868431788289,-53.68632345763697,241316,-38.77827810955221,-41.98235830271155
0.03,0.0,269560,-40.75034962336538,-43.17110125748772,0,,,26560,-53.57580716852916,-53.90182341471488,243000,-39.348521835712916,-42.64537136143462
0.022,0.0118421052631578,288970,-45.21443011906913,-47.03909740349291,580,-74.65105700758704,-73.68914890304207,89042,-54.35444974796907,-53.5710759541644,199348,-41.04624748672843,-44.57336051038962
0.02,0.0078947368421052,288751,-45.15717244981194,-47.463640389301595,0,,,81763,-53.247758380360594,-52.538489405216396,206988,-41.96128390825664,-45.70294910078776
0.002,0.0047368421052631,319996,-69.64399113501582,-69.03789464830678,140195,-75.14104065672139,-74.12790739977335,179801,-65.35781443023942,-65.75804141121185,0,,
0.01,0.0,319996,-55.22107963242783,-55.219939215101434,0,,,319996,-55.22107963242783,-55.219939215101434,0,,
0.034,0.0086842105263157,267275,-39.99780397901206,-42.19656541796609,0,,,28389,-53.31708891481028,-53.44780943713377,238886,-38.414951990857155,-41.49317558164676
0.03,0.0055263157894736,270600,-40.872051916341434,-43.233597367021574,0,,,26557,-53.56412380289094,-53.90001396488342,244043,-39.49088813335608,-42.67887280234516
0.032,0.0071052631578947,268950,-40.39585417840882,-42.65027462826863,0,,,26728,-53.36957441639674,-53.620212000024424,242222,-38.96426830049127,-42.05649726966705
0.022,0.015,293653,-46.35453889997569,-47.459741440211516,3876,-76.27554754653995,-74.38210586788452,103864,-55.419661351175144,-54.437035852495214,185913,-40.66632071305243,-43.87009581441631
0.002,0.015,319989,-76.52487795659796,-72.4350285711089,175148,-90.68461092196239,-86.81704511216242,132802,-60.665009487066875,-60.82336210951342,12039,-45.473573286195,-47.08044672609904
0.036,0.001578947368421,264458,-39.131683183018836,-41.264638474738035,0,,,25283,-52.90200990196384,-53.2090911831938,239175,-37.676032841490304,-40.69622730364988
0.016,0.0142105263157894,309287,-50.8446717589502,-50.84089631944991,14205,-77.85728419999215,-75.73219150882515,153500,-56.590157047033514,-55.53165278957905,141582,-41.905356369664894,-44.478565616176084
0.008,0.0007894736842105,319996,-57.958679543443274,-57.95038120396731,0,,,319996,-57.958679543443274,-57.95038120396731,0,,
0.016,0.0086842105263157,304493,-48.307111317226195,-49.90666165840905,496,-73.20087770918101,-72.47428444457124,149441,-54.32390671319093,-53.486654523786854,154556,-42.40955166959829,-46.124332299781585
0.012,0.0102631578947368,316872,-53.73373443389601,-53.72515194920544,12434,-75.47619997111784,-73.98192784425463,214118,-56.86044275186786,-55.97537275342323,90320,-43.32817256368667,-45.91601719947195
0.032,0.0023684210526315,267852,-40.212423668388965,-42.535786925704755,0,,,26240,-53.35143100298821,-53.70803704456458,241612,-38.78547652809839,-41.98574377444946
0.01,0.0071052631578947,319671,-55.88207868215548,-55.67726224525438,5144,-73.19186678854412,-72.25803451886459,280407,-56.91541674001858,-56.272714678385356,34120,-44.78018024105115,-47.61075202557309
0.02,0.0071052631578947,287634,-44.93484995682485,-47.338369211482515,0,,,74266,-53.044819348546994,-52.33795391944624,213368,-42.11205091083091,-45.83676656646957
0.008,0.0134210526315789,319549,-62.02880914580606,-59.73342282536644,74074,-81.22891369297045,-78.16637011344142,200097,-58.97659881230476,-58.46882221148821,45378,-44.14590524691156,-45.794796014293254
0.026,0.0094736842105263,278187,-42.71815297468851,-44.98558686881441,0,,,46258,-53.315748763370635,-52.969924288415704,231929,-40.60447341761347,-43.89808084877418
0.022,0.0110526315789473,287813,-44.954948746242174,-46.92245472897525,328,-73.90286692091283,-72.88027798042175,84329,-54.041550110531006,-53.30830640370382,203156,-41.136410659203634,-44.69262985572402
0.016,0.0023684210526315,294800,-46.437343226168075,-48.990046891998716,0,,,100898,-51.989843860942386,-51.19880402644103,193902,-43.54806818492326,-47.712164562759035
0.024,0.0086842105263157,280846,-43.36880747813144,-45.692757872292056,0,,,52246,-53.281545312768905,-52.775290356624204,228600,-41.103274228313126,-44.52688379623558
0.004,0.0063157894736842,319996,-65.94453795487796,-65.04627394485622,80668,-75.33638845143305,-74.00816443752885,239218,-62.786341372868186,-62.960162223829386,110,-46.632484310390076,-48.313840603369556
0.002,0.0134210526315789,319996,-75.30471030869997,-71.79840651291502,172596,-88.17893370748581,-84.73901881704671,139802,-61.01571037387344,-61.25137955782592,7598,-45.769478293930106,-47.63257263073062
0.022,0.0134210526315789,291089,-45.76028887166452,-47.27412231252448,1755,-75.46138811386943,-73.89339845180776,98131,-54.87271149743005,-53.96104205679873,191203,-40.810907461022076,-44.21940063389391
0.018,0.0071052631578947,293809,-46.14552197512285,-48.40221642922361,0,,,102994,-53.1684831442627,-52.42475514959642,190815,-42.354819657933966,-46.327797024351185
0.012,0.0031578947368421,319568,-52.284082291711286,-52.59987379423177,0,,,285448,-53.06740717391908,-52.88234662053448,34120,-45.73078449052585,-48.88227904405031
0.014,0.0094736842105263,312542,-50.81554694640715,-51.670156741035385,3261,-74.14358892142089,-72.97982665157349,187895,-55.56813374147002,-54.62387798776429,121386,-42.83225364455309,-45.99964368123939
0.008,0.0102631578947368,319855,-60.349669282568485,-59.04225948393035,47181,-77.33441000973274,-75.25109354714137,243154,-58.9575749935148,-58.4604038495379,29520,-44.67000270100418,-46.80466761881183
0.036,0.0023684210526315,264513,-39.13918561462101,-41.27081256039087,0,,,25247,-52.90700046223084,-53.21904616175904,239266,-37.68642583488796,-40.703080926738835
