ou_mean,ou_std,PV2_V_num_-200_0,PV2_V_mean_-200_0,PV2_V_median_-200_0,PV2_V_num_-200_-70,PV2_V_mean_-200_-70,PV2_V_median_-200_-70,PV2_V_num_-70_-50,PV2_V_mean_-70_-50,PV2_V_median_-70_-50,PV2_V_num_-50_0,PV2_V_mean_-50_0,PV2_V_median_-50_0,PV3_V_num_-200_0,PV3_V_mean_-200_0,PV3_V_median_-200_0,PV3_V_num_-200_-70,PV3_V_mean_-200_-70,PV3_V_median_-200_-70,PV3_V_num_-70_-50,PV3_V_mean_-70_-50,PV3_V_median_-70_-50,PV3_V_num_-50_0,PV3_V_mean_-50_0,PV3_V_median_-50_0,PV4_V_num_-200_0,PV4_V_mean_-200_0,PV4_V_median_-200_0,PV4_V_num_-200_-70,PV4_V_mean_-200_-70,PV4_V_median_-200_-70,PV4_V_num_-70_-50,PV4_V_mean_-70_-50,PV4_V_median_-70_-50,PV4_V_num_-50_0,PV4_V_mean_-50_0,PV4_V_median_-50_0,PV5A_V_num_-200_0,PV5A_V_mean_-200_0,PV5A_V_median_-200_0,PV5A_V_num_-200_-70,PV5A_V_mean_-200_-70,PV5A_V_median_-200_-70,PV5A_V_num_-70_-50,PV5A_V_mean_-70_-50,PV5A_V_median_-70_-50,PV5A_V_num_-50_0,PV5A_V_mean_-50_0,PV5A_V_median_-50_0,PV5B_V_num_-200_0,PV5B_V_mean_-200_0,PV5B_V_median_-200_0,PV5B_V_num_-200_-70,PV5B_V_mean_-200_-70,PV5B_V_median_-200_-70,PV5B_V_num_-70_-50,PV5B_V_mean_-70_-50,PV5B_V_median_-70_-50,PV5B_V_num_-50_0,PV5B_V_mean_-50_0,PV5B_V_median_-50_0,PV6_V_num_-200_0,PV6_V_mean_-200_0,PV6_V_median_-200_0,PV6_V_num_-200_-70,PV6_V_mean_-200_-70,PV6_V_median_-200_-70,PV6_V_num_-70_-50,PV6_V_mean_-70_-50,PV6_V_median_-70_-50,PV6_V_num_-50_0,PV6_V_mean_-50_0,PV6_V_median_-50_0
0.008,0.0063157894736842,319996,-58.980302888338855,-58.40775812797001,10441,-73.18502619224506,-72.30896676350784,303860,-58.72459903813947,-58.312396676578494,5695,-46.58112043100792,-48.912369617247535,319996,-59.1319459021348,-58.51876840725775,10522,-73.27719661632547,-72.45734765594725,305020,-58.82597860588023,-58.40329234220371,4454,-46.668950098106166,-48.86677832459618,319988,-58.97265579797302,-58.43390193232098,9556,-73.51635312279798,-72.32799326969817,305340,-58.735442416318804,-58.35005739126671,5092,-45.903363244609636,-48.32511371205137,319996,-58.96673817278624,-58.39700402422544,9986,-73.23735114004745,-72.41221296942928,304420,-58.725826320848086,-58.30986169864585,5590,-46.59322205041502,-48.916846678165314,319996,-59.23370514382734,-58.700766089079394,10192,-73.14921076366,-72.32993227227121,305391,-58.95076712216091,-58.588253705937795,4413,-46.67533036417496,-48.92618193732445,319996,-59.22397362595841,-58.65144233109889,10233,-73.22266174529793,-72.29255622585102,305752,-58.924077455869124,-58.53510090239449,4011,-46.37063986179377,-48.758527766160945
0.032,0.0142105263157894,272538,-41.63291436962023,-43.651015463608815,132,-73.0896341208998,-72.85598050185192,49466,-53.897020497912976,-53.47503000771675,222940,-38.89312536473419,-42.114007953059044,272862,-41.715444230326376,-43.75909017447797,150,-73.48385685242194,-72.79911610221842,50190,-53.931441699968744,-53.51604421464317,222522,-38.93870226820727,-42.160074022229665,272357,-41.61054721301171,-43.63343463682193,144,-78.13406271947491,-72.96684918935603,48817,-53.96088401018637,-53.57588096193153,223396,-38.88818075317981,-42.12840655055682,272545,-41.62886486082323,-43.699066124625155,22,-73.58863280181416,-74.41048825337631,50000,-53.87672755667913,-53.47709969229565,222523,-38.87366090578265,-42.13296959104769,273096,-41.75079079036178,-43.82412273182437,95,-72.27720311324977,-72.09233582098166,50313,-53.93779245367022,-53.522343668678964,222688,-38.98429855074084,-42.25003138987017,273031,-41.72997487448142,-43.76983936314437,38,-70.71419049046322,-70.6647023930806,50276,-53.879167757784806,-53.48689516167855,222717,-38.982478178699914,-42.19943736141372
0.014,0.0055263157894736,310759,-49.269699731224215,-50.87179937908362,0,,,184319,-53.33230976655265,-52.78320234841689,126440,-43.34739492972385,-47.3689694519547,311215,-49.28385312055588,-50.822710917415456,0,,,183445,-53.33393582842062,-52.794068174339685,127770,-43.46897151811211,-47.45937996345977,311067,-49.25065992352103,-50.817721802492756,54,-72.32285230323212,-72.34088807569263,184196,-53.24560310723853,-52.68250235749055,126817,-43.438359892322204,-47.438815373961404,310866,-49.249393975343125,-50.82277537614077,0,,,183606,-53.301969720822775,-52.74667282130085,127260,-43.40248825222092,-47.38897950000861,311855,-49.39617087581337,-50.95297019333263,0,,,188677,-53.31691837184361,-52.792310615007324,123178,-43.39059459345368,-47.38639730058085,311589,-49.33766047259613,-50.90404114153228,0,,,186764,-53.3066909046703,-52.77985823013601,124825,-43.399170589833055,-47.38574179893757
0.012,0.0047368421052631,318548,-52.13823167048439,-52.75253624149828,0,,,257161,-53.92308678872925,-53.529818136598806,61387,-44.66115790791303,-48.09749880387936,318742,-52.29615550880067,-52.83393414044466,0,,,261329,-53.95720094433102,-53.5506468623483,57413,-44.73550996473035,-48.18389338749178,318715,-52.21470364497626,-52.78048416212477,61,-71.98306633866152,-71.75043548116089,260018,-53.88243378834831,-53.48329060602343,58636,-44.798684023180236,-48.20392050933629,318641,-52.171988855986136,-52.753140353625994,0,,,259816,-53.88987035171797,-53.498899123880335,58825,-44.58451586499493,-48.039311790514816,318917,-52.40715120724887,-52.922416514895424,0,,,264695,-53.96421219011613,-53.57344034165842,54222,-44.80606203938259,-48.172514354492606,318919,-52.41375076327837,-52.89702092377076,0,,,265075,-53.94533512501577,-53.54916170708519,53844,-44.87373284693596,-48.237023775600555
0.028,0.0142105263157894,279228,-43.072831026840504,-44.95898331411859,422,-75.2892590231192,-74.24521559183461,63260,-54.26329556091022,-53.68864737908521,215546,-39.725498582537774,-43.03783331060706,279678,-43.14336930904567,-45.02512132888627,426,-73.98706845232404,-73.05575007996188,63894,-54.285211574394886,-53.70237402817007,215358,-39.77671338942687,-43.06926685184743,279160,-43.05751217994205,-44.923742994466394,541,-78.42424699420741,-75.41808284424192,62733,-54.24359083780825,-53.66224457834814,215886,-39.71839025458125,-43.038843750411274,278949,-43.03533488027706,-44.942706030611824,343,-74.4175069038301,-73.3715643090249,63286,-54.17696160062616,-53.6253146404377,215320,-39.71064105885737,-43.03849502768847,279769,-43.161478456363064,-45.08971442261994,370,-73.62017881939612,-72.7919147241422,64182,-54.22754133961633,-53.61593301300161,215217,-39.808993443063535,-43.11673553750413,279812,-43.15499520957331,-45.0172846625159,412,-73.98425344866416,-73.1096927057853,64198,-54.21209093952675,-53.594850957460224,215202,-39.79747489811682,-43.09046119308945
0.01,0.0,319996,-55.2210796271982,-55.219939209874035,0,,,319996,-55.2210796271982,-55.219939209874035,0,,,319996,-55.221079616738926,-55.21993920464663,0,,,319996,-55.221079616738926,-55.21993920464663,0,,,319996,-55.221079420906456,-55.219938987309305,0,,,319996,-55.221079420906456,-55.219938987309305,0,,,319996,-55.22107963242783,-55.219939215101434,0,,,319996,-55.22107963242783,-55.219939215101434,0,,,319996,-55.22107963242783,-55.219939215101434,0,,,319996,-55.22107963242783,-55.219939215101434,0,,,319996,-55.22107963242783,-55.219939215101434,0,,,319996,-55.22107963242783,-55.219939215101434,0,,
0.004,0.0126315789473684,319990,-69.83827855395637,-66.82094522920036,133581,-84.19297626843142,-81.06009643956354,174369,-60.51927298993838,-60.54386660508563,12040,-45.53851159340456,-47.420145165918385,319996,-70.15389682651924,-67.09832720337695,135326,-84.32243522574711,-81.01353636618937,173628,-60.67070761449261,-60.78705846253882,11042,-45.6271398161809,-47.53402382201095,319981,-69.70869224616526,-66.89076070550267,132314,-83.74742521230723,-80.56569029101011,176698,-60.6978816690257,-60.77416348454129,10969,-45.519731873960694,-47.480510159377125,319980,-69.70558117615104,-66.74380839214476,133296,-83.9425861140829,-80.75091728636673,174315,-60.53636832387238,-60.503754824522986,12369,-45.49954415928566,-47.39963771655877,319996,-70.42756883958222,-67.65309828277262,140139,-83.91010628927866,-80.75407568688411,169598,-60.785409947013676,-60.907440869040514,10259,-45.65532478059318,-47.49462936889439,319989,-70.38116291328315,-67.52927677594835,138857,-83.91454542013977,-80.59473484697519,172341,-60.75091424161895,-60.809910778064406,8791,-45.41037364797588,-47.26691565179761
0.002,0.0,319996,-68.62849457053075,-68.6285059040688,0,,,319996,-68.62849457053075,-68.6285059040688,0,,,319996,-68.62849455614065,-68.62850588950253,0,,,319996,-68.62849455614065,-68.62850588950253,0,,,319996,-68.6284944780999,-68.62850327523407,0,,,319996,-68.6284944780999,-68.62850327523407,0,,,319996,-68.62849457772579,-68.62850591128296,0,,,319996,-68.62849457772579,-68.62850591128296,0,,,319996,-68.62849457772579,-68.62850591128296,0,,,319996,-68.62849457772579,-68.62850591128296,0,,,319996,-68.62849457772579,-68.62850591128296,0,,,319996,-68.62849457772579,-68.62850591128296,0,,
0.024,0.0142105263157894,287506,-44.94579975526095,-46.54588619758806,1501,-75.73356141783633,-73.93272445604495,86024,-54.761230656993334,-53.910364523333655,199981,-40.49250140118656,-43.83915221405245,287902,-44.989145352641785,-46.52808353041634,1521,-75.40688112903449,-73.36412544506273,87481,-54.78610886579485,-53.917657139809144,198900,-40.44759914243546,-43.792144207154735,287569,-44.96322802319875,-46.49396014514896,1792,-77.05280642417772,-73.9851737758383,85409,-54.78580286366441,-53.93551136836868,200368,-40.48925603643496,-43.83907271915231,287493,-44.93098355507445,-46.48101062481067,1468,-74.84964732148423,-73.80194897795786,86272,-54.83498992003108,-53.96827405573144,199753,-40.43363415092719,-43.80524558152127,288058,-45.03434448650447,-46.619576125206976,1345,-75.72060357494101,-73.68443184575933,88723,-54.745485552421876,-53.89390462164838,197990,-40.474141510266605,-43.83014518962978,287957,-45.01984854256305,-46.59921102706972,1475,-75.25764986301583,-73.71411369961581,87854,-54.782658705829334,-53.94953289427131,198628,-40.47717237892416,-43.870407996441415
0.024,0.0,276634,-42.55978874088678,-45.253922820920565,0,,,26782,-54.1660810073419,-54.64321960418424,249852,-41.315693358499594,-44.79734991121384,276633,-42.559940773374215,-45.25420942212464,0,,,26782,-54.1660967323626,-54.64413890733766,249851,-41.3158550226923,-44.79732717907036,276663,-42.55657213439608,-45.25672040765567,0,,,26670,-54.18460971302814,-54.626107091415115,249993,-41.31605835112168,-44.79739695288103,276636,-42.55948049199526,-45.2538492124149,0,,,26780,-54.166395191358134,-54.64410115746648,249856,-41.315431217017114,-44.79741018809215,276636,-42.55948049199526,-45.2538492124149,0,,,26780,-54.166395191358134,-54.64410115746648,249856,-41.315431217017114,-44.79741018809215,276636,-42.55948049199526,-45.2538492124149,0,,,26780,-54.166395191358134,-54.64410115746648,249856,-41.315431217017114,-44.79741018809215
