ou_mean,ou_std,IRE_V_num_-200_0,IRE_V_mean_-200_0,IRE_V_median_-200_0,IRE_V_num_-200_-70,IRE_V_mean_-200_-70,IRE_V_median_-200_-70,IRE_V_num_-70_-50,IRE_V_mean_-70_-50,IRE_V_median_-70_-50,IRE_V_num_-50_0,IRE_V_mean_-50_0,IRE_V_median_-50_0,IREM_V_num_-200_0,IREM_V_mean_-200_0,IREM_V_median_-200_0,IREM_V_num_-200_-70,IREM_V_mean_-200_-70,IREM_V_median_-200_-70,IREM_V_num_-70_-50,IREM_V_mean_-70_-50,IREM_V_median_-70_-50,IREM_V_num_-50_0,IREM_V_mean_-50_0,IREM_V_median_-50_0
-0.04,0.0,80004,-74.0800419684876,-74.0802689165094,80004,-74.0800419684876,-74.0802689165094,0,,,0,,,80004,-74.0800419685176,-74.08026891656935,80004,-74.0800419685176,-74.08026891656935,0,,,0,,
-0.04,0.0133333333333333,79910,-73.78297713913635,-74.08029579012555,77948,-74.16476092614377,-74.0803259383107,1622,-62.79398115013431,-64.09591804066935,340,-38.6796502700426,-42.793273553857375,79940,-73.78116021589362,-74.08025821154732,77213,-74.18007299538746,-74.08030632198843,2495,-64.66884856870723,-65.53505265619515,232,-39.013768477406856,-42.8875539492408
-0.04,0.0266666666666666,78735,-69.61513509803143,-74.03150215428634,53736,-74.87533481923803,-75.39959974848144,20355,-62.68648634584121,-63.48648047794362,4644,-39.1178381841799,-43.022882702433215,78694,-69.35356780198475,-74.04880896847374,53289,-74.76650950273724,-75.24214937177456,20509,-62.46540309724094,-63.69943554399536,4896,-39.29211347972011,-43.143842122875114
-0.04,0.04,77820,-65.29836404115113,-68.7347400214405,35375,-74.19551723387596,-74.61117081528228,34250,-62.34924306392483,-63.52256174339121,8195,-39.21790025559405,-42.961936992433884,77938,-66.15309426109613,-69.64731363478847,37928,-74.2767221722065,-74.87016619363204,32353,-63.066663664424524,-64.30584042900786,7657,-38.954756750520346,-42.79417544403324
-0.0166666666666666,0.0,80004,-74.0800419684876,-74.0802689165094,80004,-74.0800419684876,-74.0802689165094,0,,,0,,,80004,-74.0800419685176,-74.08026891656935,80004,-74.0800419685176,-74.08026891656935,0,,,0,,
-0.0166666666666666,0.0133333333333333,78779,-68.68814650148012,-73.45454714182566,49680,-74.675468655105,-75.16683163297003,24027,-62.3182602230574,-63.08794076405683,5072,-40.21793613467777,-44.02246685526226,78750,-68.99403333617012,-72.98866905484738,50787,-74.52280935406054,-75.05966511942057,23179,-62.955117810599916,-64.45172681841233,4784,-39.559684537380356,-43.35604601695047
-0.0166666666666666,0.0266666666666666,77355,-63.131280626489485,-66.25790085142135,26561,-73.68611408063461,-73.79428905997055,40313,-62.32918371120575,-63.419480741057534,10481,-39.46827152146934,-43.18407549763066,77489,-63.2981957060364,-66.7100256778981,27462,-73.54664844632883,-73.5394893423973,39643,-62.31844037089322,-63.42119152686556,10384,-39.93508241608747,-43.584516351123455
-0.0166666666666666,0.04,76214,-60.60407908283529,-63.80192451812238,20403,-73.4142638352373,-73.46807048461375,41609,-61.74781473955287,-62.46819558368054,14202,-38.84968558588981,-42.70937824730977,76319,-60.89302577888348,-64.55466437796943,20347,-73.38182957002151,-73.42664715017573,42442,-62.00666997661412,-63.10983944417312,13530,-38.61845240280292,-42.431844290958885
0.0066666666666666,0.0,76046,-52.88406931500229,-53.52408700552621,0,,,48162,-58.99121130778121,-58.653790974174754,27884,-42.33564826148709,-44.836694567023976,76050,-52.881310502359675,-53.523729397495366,0,,,48158,-58.99201349738544,-58.65454753554364,27892,-42.33064239557453,-44.83746954270957
0.0066666666666666,0.0133333333333333,75344,-55.611174819790804,-57.42810122229358,7106,-72.26531115486662,-71.97026226420704,46443,-60.19259693692004,-60.4985254871977,21795,-40.41873250811921,-43.77155317195151,75392,-55.86356804582753,-57.74469701689435,6723,-72.06950662856325,-71.79432158391239,47561,-60.401172653603446,-60.699704431447174,21108,-40.47766991042092,-43.79978663011009
