,i1 HTR,E2/3,i2/3PV,i23SST,i23HTR,E4,i4PV,i4SST,i4HTR,E5,i5PV,i5SST,i5HTR,E6,i6PV,i6SST,i6HTR
i1HTR,0.656,0.356,0.093,0.068,0.464,0.148,,,,0.148,0.00,0.00,,0.148,,,
E2/3,0.00,0.160,0.395,0.182,0.105,0.016,0.083,0.083,0.083,0.083,0.081,0.102,,0.00,,,
i23PV,0.024,0.411,0.451,0.03,0.22,0.050,0.050,0.050,0.050,0.070,0.073,,,,,,
i23SST,0.279,0.424,0.857,0.082,0.77,0.050,0.050,0.050,0.050,0.021,,0.00,,,,,
i23HTR,0.00,0.087,0.02,0.625,0.028,0.050,0.050,0.050,0.050,0.00,,,,,,,
E4,,0.140,0.100,0.100,0.100,0.243,0.430,0.571,0.571,0.104,0.101,0.128,0.050,0.032,,,
i4PV,,0.250,0.050,0.050,0.050,0.437,0.451,0.03,0.22,0.088,0.091,0.030,0.030,,,,
i4SST,0.241,0.250,0.050,0.050,0.050,0.351,0.857,0.082,0.77,0.026,0.030,0.00,0.030,,,,
i4HTR,,0.250,0.050,0.050,0.050,0.351,0.02,0.625,0.028,0.00,0.030,0.030,0.030,,,,
E5,0.017,0.021,0.05,0.05,0.05,0.007,0.05,0.05,0.05,0.116,0.083,0.063,0.105,0.047,0.030,0.030,0.030
i5PV,0.00,0.00,0.102,,,0.00,0.034,0.030,0.030,0.455,0.361,0.03,0.22,0.030,0.010,0.010,0.010
i5SST,0.203,0.169,,0.017,,0.056,0.030,0.006,0.030,0.317,0.857,0.04,0.77,0.030,0.010,0.010,0.010
i5HTR,,,,,,0.030,0.030,0.030,0.030,0.125,0.02,0.625,0.02,0.030,0.010,0.010,0.010
E6,,0.00,,,,0.00,,,,0.012,0.010,0.010,0.010,0.026,0.145,0.100,0.100
i6PV,,0.100,,,,0.100,,,,0.100,0.030,0.030,0.030,0.100,0.080,0.100,0.080
i6SST,,,,,,,,,,0.030,0.030,0.030,0.030,0.100,0.050,0.050,0.050
i6HTR,,,,,,,,,,0.030,0.030,0.030,0.030,0.100,0.050,0.050,0.030
