,trial_label,trial_path,prePop,saveFolder,simLabel,dummy,loss
0,v45_batch28_00000,/ddn/smcelroy97/A1/simOutput/v45_batch28,NGF1,../A1/simOutput/v45_batch28/,v45_batch28_00000,"[1, 2, 3]",700.0
1,v45_batch28_00001,/ddn/smcelroy97/A1/simOutput/v45_batch28,IT2,../A1/simOutput/v45_batch28/,v45_batch28_00001,"[1, 2, 3]",700.0
2,v45_batch28_00002,/ddn/smcelroy97/A1/simOutput/v45_batch28,SOM2,../A1/simOutput/v45_batch28/,v45_batch28_00002,"[1, 2, 3]",700.0
3,v45_batch28_00003,/ddn/smcelroy97/A1/simOutput/v45_batch28,PV2,../A1/simOutput/v45_batch28/,v45_batch28_00003,"[1, 2, 3]",700.0
4,v45_batch28_00004,/ddn/smcelroy97/A1/simOutput/v45_batch28,VIP2,../A1/simOutput/v45_batch28/,v45_batch28_00004,"[1, 2, 3]",700.0
5,v45_batch28_00005,/ddn/smcelroy97/A1/simOutput/v45_batch28,NGF2,../A1/simOutput/v45_batch28/,v45_batch28_00005,"[1, 2, 3]",700.0
6,v45_batch28_00006,/ddn/smcelroy97/A1/simOutput/v45_batch28,IT3,../A1/simOutput/v45_batch28/,v45_batch28_00006,"[1, 2, 3]",700.0
7,v45_batch28_00007,/ddn/smcelroy97/A1/simOutput/v45_batch28,SOM3,../A1/simOutput/v45_batch28/,v45_batch28_00007,"[1, 2, 3]",700.0
8,v45_batch28_00008,/ddn/smcelroy97/A1/simOutput/v45_batch28,PV3,../A1/simOutput/v45_batch28/,v45_batch28_00008,"[1, 2, 3]",700.0
9,v45_batch28_00009,/ddn/smcelroy97/A1/simOutput/v45_batch28,VIP3,../A1/simOutput/v45_batch28/,v45_batch28_00009,"[1, 2, 3]",700.0
10,v45_batch28_00010,/ddn/smcelroy97/A1/simOutput/v45_batch28,NGF3,../A1/simOutput/v45_batch28/,v45_batch28_00010,"[1, 2, 3]",700.0
11,v45_batch28_00011,/ddn/smcelroy97/A1/simOutput/v45_batch28,ITP4,../A1/simOutput/v45_batch28/,v45_batch28_00011,"[1, 2, 3]",700.0
12,v45_batch28_00012,/ddn/smcelroy97/A1/simOutput/v45_batch28,ITS4,../A1/simOutput/v45_batch28/,v45_batch28_00012,"[1, 2, 3]",700.0
13,v45_batch28_00013,/ddn/smcelroy97/A1/simOutput/v45_batch28,SOM4,../A1/simOutput/v45_batch28/,v45_batch28_00013,"[1, 2, 3]",700.0
14,v45_batch28_00014,/ddn/smcelroy97/A1/simOutput/v45_batch28,PV4,../A1/simOutput/v45_batch28/,v45_batch28_00014,"[1, 2, 3]",700.0
15,v45_batch28_00015,/ddn/smcelroy97/A1/simOutput/v45_batch28,VIP4,../A1/simOutput/v45_batch28/,v45_batch28_00015,"[1, 2, 3]",700.0
16,v45_batch28_00016,/ddn/smcelroy97/A1/simOutput/v45_batch28,NGF4,../A1/simOutput/v45_batch28/,v45_batch28_00016,"[1, 2, 3]",700.0
17,v45_batch28_00017,/ddn/smcelroy97/A1/simOutput/v45_batch28,IT5A,../A1/simOutput/v45_batch28/,v45_batch28_00017,"[1, 2, 3]",700.0
18,v45_batch28_00018,/ddn/smcelroy97/A1/simOutput/v45_batch28,CT5A,../A1/simOutput/v45_batch28/,v45_batch28_00018,"[1, 2, 3]",700.0
19,v45_batch28_00019,/ddn/smcelroy97/A1/simOutput/v45_batch28,SOM5A,../A1/simOutput/v45_batch28/,v45_batch28_00019,"[1, 2, 3]",700.0
20,v45_batch28_00020,/ddn/smcelroy97/A1/simOutput/v45_batch28,PV5A,../A1/simOutput/v45_batch28/,v45_batch28_00020,"[1, 2, 3]",700.0
21,v45_batch28_00021,/ddn/smcelroy97/A1/simOutput/v45_batch28,VIP5A,../A1/simOutput/v45_batch28/,v45_batch28_00021,"[1, 2, 3]",700.0
22,v45_batch28_00022,/ddn/smcelroy97/A1/simOutput/v45_batch28,NGF5A,../A1/simOutput/v45_batch28/,v45_batch28_00022,"[1, 2, 3]",700.0
23,v45_batch28_00023,/ddn/smcelroy97/A1/simOutput/v45_batch28,IT5B,../A1/simOutput/v45_batch28/,v45_batch28_00023,"[1, 2, 3]",700.0
24,v45_batch28_00024,/ddn/smcelroy97/A1/simOutput/v45_batch28,PT5B,../A1/simOutput/v45_batch28/,v45_batch28_00024,"[1, 2, 3]",700.0
